window_id,object_A,object_B,A_peak_day,B_peak_day,delta_observed,delta_median,delta_q025,delta_q975,P_A_earlier,P_B_earlier,P_same_day,peak_order_decision,target_name,phase_group,phase_group_size,years_in_phase_group,group_role,targeted_best_direction,targeted_best_prob,targeted_order_level
W045,P,V,46.0,46.0,0.0,0.0,-4.0,15.524999999999977,0.386,0.432,0.182,peak_order_unresolved,W045_Je_earlier_minus_Jw_earlier,target_mode_high,15,1987;1988;1991;1994;1998;1999;2008;2010;2015;2016;2017;2018;2019;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W045,P,H,46.0,51.0,5.0,-2.0,-16.0,10.0,0.37,0.558,0.072,B_peak_earlier_tendency,W045_Je_earlier_minus_Jw_earlier,target_mode_high,15,1987;1988;1991;1994;1998;1999;2008;2010;2015;2016;2017;2018;2019;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W045,P,Je,46.0,44.0,-2.0,-2.0,-7.0,10.0,0.164,0.78,0.056,B_peak_earlier_tendency,W045_Je_earlier_minus_Jw_earlier,target_mode_high,15,1987;1988;1991;1994;1998;1999;2008;2010;2015;2016;2017;2018;2019;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W045,P,Jw,46.0,48.0,2.0,2.0,-3.0,14.0,0.754,0.136,0.11,A_peak_earlier_tendency,W045_Je_earlier_minus_Jw_earlier,target_mode_high,15,1987;1988;1991;1994;1998;1999;2008;2010;2015;2016;2017;2018;2019;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W045,V,H,46.0,51.0,5.0,-3.0,-18.0,8.524999999999977,0.334,0.618,0.048,B_peak_earlier_tendency,W045_Je_earlier_minus_Jw_earlier,target_mode_high,15,1987;1988;1991;1994;1998;1999;2008;2010;2015;2016;2017;2018;2019;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W045,V,Je,46.0,44.0,-2.0,-2.0,-9.0,4.0,0.154,0.692,0.154,B_peak_earlier_tendency,W045_Je_earlier_minus_Jw_earlier,target_mode_high,15,1987;1988;1991;1994;1998;1999;2008;2010;2015;2016;2017;2018;2019;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W045,V,Jw,46.0,48.0,2.0,2.0,-5.0,5.0,0.648,0.24,0.112,A_peak_earlier_tendency,W045_Je_earlier_minus_Jw_earlier,target_mode_high,15,1987;1988;1991;1994;1998;1999;2008;2010;2015;2016;2017;2018;2019;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W045,H,Je,51.0,44.0,-7.0,0.5,-11.0,13.0,0.5,0.456,0.044,A_peak_earlier_tendency,W045_Je_earlier_minus_Jw_earlier,target_mode_high,15,1987;1988;1991;1994;1998;1999;2008;2010;2015;2016;2017;2018;2019;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W045,H,Jw,51.0,48.0,-3.0,4.0,-6.0,17.0,0.674,0.29,0.036,A_peak_earlier_tendency,W045_Je_earlier_minus_Jw_earlier,target_mode_high,15,1987;1988;1991;1994;1998;1999;2008;2010;2015;2016;2017;2018;2019;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W045,Je,Jw,44.0,48.0,4.0,4.0,-1.0,6.0,0.948,0.04,0.012,A_peak_earlier_tendency,W045_Je_earlier_minus_Jw_earlier,target_mode_high,15,1987;1988;1991;1994;1998;1999;2008;2010;2015;2016;2017;2018;2019;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
