day,detector_score,score_valid,object
49,,False,P
50,,False,P
51,,False,P
52,,False,P
53,,False,P
54,,False,P
55,,False,P
56,,False,P
57,,False,P
58,,False,P
59,4.748904709708889,True,P
60,5.970888744511425,True,P
61,8.161413244438695,True,P
62,11.043894375736285,True,P
63,13.974412313273014,True,P
64,16.25150029251228,True,P
65,17.206599258152806,True,P
66,16.442026226089567,True,P
67,15.652891658139161,True,P
68,15.396772346471572,True,P
69,15.603562636796514,True,P
70,16.519254054800943,True,P
71,18.615251456416885,True,P
72,22.354239563128925,True,P
73,28.01234876973806,True,P
74,34.430005012433526,True,P
75,40.62255928180666,True,P
76,45.725257719434694,True,P
77,49.44429681814528,True,P
78,52.333653359340815,True,P
79,54.95677182721146,True,P
80,57.09541841398471,True,P
81,58.71217332743492,True,P
82,59.21762425438138,True,P
83,58.00973149781387,True,P
84,55.83504790998616,True,P
85,52.70639802808164,True,P
86,48.87683040567832,True,P
87,44.62173444681972,True,P
88,39.976874062524615,True,P
89,36.251938447045816,True,P
90,33.413095917496236,True,P
91,31.270637153828254,True,P
92,30.562137097006705,True,P
93,,False,P
94,,False,P
95,,False,P
96,,False,P
97,,False,P
98,,False,P
99,,False,P
100,,False,P
101,,False,P
102,,False,P
49,,False,V
50,,False,V
51,,False,V
52,,False,V
53,,False,V
54,,False,V
55,,False,V
56,,False,V
57,,False,V
58,,False,V
59,2.9836851507702806,True,V
60,4.029921852067707,True,V
61,5.722740604235266,True,V
62,7.830137499468828,True,V
63,10.031855075586051,True,V
64,12.039528952666217,True,V
65,13.475085311113489,True,V
66,14.387973451048428,True,V
67,15.067933633308899,True,V
68,15.52234266736076,True,V
69,15.678308096706484,True,V
70,15.483832580479003,True,V
71,15.376277492229582,True,V
72,15.666766019545522,True,V
73,16.40613533870948,True,V
74,17.391488270211497,True,V
75,18.574462746294607,True,V
76,19.52154228642429,True,V
77,20.14945937845848,True,V
78,20.606371017910877,True,V
79,20.893911808495147,True,V
80,20.958436491781047,True,V
81,20.60992109511487,True,V
82,19.813936480235007,True,V
83,18.50567658893936,True,V
84,16.876986976424295,True,V
85,14.92834023071871,True,V
86,12.784746065475893,True,V
87,10.686603613825113,True,V
88,8.862263422625851,True,V
89,7.463613671055438,True,V
90,6.7579498191746525,True,V
91,6.913889703464083,True,V
92,7.882447395766093,True,V
93,,False,V
94,,False,V
95,,False,V
96,,False,V
97,,False,V
98,,False,V
99,,False,V
100,,False,V
101,,False,V
102,,False,V
49,,False,H
50,,False,H
51,,False,H
52,,False,H
53,,False,H
54,,False,H
55,,False,H
56,,False,H
57,,False,H
58,,False,H
59,2.828793291951,True,H
60,2.7309754687758425,True,H
61,2.7688805332373847,True,H
62,2.9139712502757074,True,H
63,3.1202989649057935,True,H
64,3.388703616741095,True,H
65,3.7694038052573773,True,H
66,4.280685153171373,True,H
67,4.931499107623527,True,H
68,5.800557331894736,True,H
69,6.911416450159935,True,H
70,8.04791025505957,True,H
71,9.08877036998779,True,H
72,10.095353460487463,True,H
73,11.082671441961097,True,H
74,12.001298240670767,True,H
75,12.777374006839231,True,H
76,13.312640589011737,True,H
77,13.498661553176767,True,H
78,13.241060062281143,True,H
79,12.645042336160685,True,H
80,11.906781007858935,True,H
81,11.086424097084208,True,H
82,10.143048281828067,True,H
83,9.075358969592168,True,H
84,7.995089720806907,True,H
85,7.036577395562967,True,H
86,6.308832465588756,True,H
87,5.901292114095188,True,H
88,5.89312378222573,True,H
89,6.463499920293229,True,H
90,7.736996917443479,True,H
91,9.481173863828767,True,H
92,11.20832839865356,True,H
93,,False,H
94,,False,H
95,,False,H
96,,False,H
97,,False,H
98,,False,H
99,,False,H
100,,False,H
101,,False,H
102,,False,H
49,,False,Je
50,,False,Je
51,,False,Je
52,,False,Je
53,,False,Je
54,,False,Je
55,,False,Je
56,,False,Je
57,,False,Je
58,,False,Je
59,3.4123555287578826,True,Je
60,3.245639177189866,True,Je
61,3.0925905543130527,True,Je
62,3.0315062084730773,True,Je
63,3.0465132183676404,True,Je
64,3.093320188082494,True,Je
65,3.1744370109872078,True,Je
66,3.2926593915580638,True,Je
67,3.422182472503688,True,Je
68,3.5428547117411435,True,Je
69,3.6775673565861244,True,Je
70,3.8729232576037935,True,Je
71,4.131351940854008,True,Je
72,4.4332759116664375,True,Je
73,4.748245736478719,True,Je
74,5.037537091502003,True,Je
75,5.270966456976614,True,Je
76,5.476615298590638,True,Je
77,5.636927927466381,True,Je
78,5.754162439496927,True,Je
79,5.838258156572779,True,Je
80,5.912215056022428,True,Je
81,5.948923321784777,True,Je
82,5.873653416749018,True,Je
83,5.740769171723617,True,Je
84,5.722763127669891,True,Je
85,5.8657182241578125,True,Je
86,6.121295556100941,True,Je
87,6.400552880655631,True,Je
88,6.620162900207162,True,Je
89,6.756436894874135,True,Je
90,6.859351551736157,True,Je
91,7.0285914641388905,True,Je
92,7.329933754992022,True,Je
93,,False,Je
94,,False,Je
95,,False,Je
96,,False,Je
97,,False,Je
98,,False,Je
99,,False,Je
100,,False,Je
101,,False,Je
102,,False,Je
49,,False,Jw
50,,False,Jw
51,,False,Jw
52,,False,Jw
53,,False,Jw
54,,False,Jw
55,,False,Jw
56,,False,Jw
57,,False,Jw
58,,False,Jw
59,2.188496054725308,True,Jw
60,2.30056387706099,True,Jw
61,2.4744150451002933,True,Jw
62,2.7124716336107073,True,Jw
63,3.038980579715127,True,Jw
64,3.46645361275921,True,Jw
65,3.9221962254721636,True,Jw
66,4.352294645105784,True,Jw
67,4.783725931859982,True,Jw
68,5.200916470121817,True,Jw
69,5.596306993429233,True,Jw
70,5.959448895154668,True,Jw
71,6.34468050040945,True,Jw
72,6.798809547225458,True,Jw
73,7.338026745867444,True,Jw
74,8.037702738960377,True,Jw
75,8.924300762801398,True,Jw
76,9.936940735545601,True,Jw
77,10.940946048577981,True,Jw
78,11.840246837069596,True,Jw
