window_id,target_name,object,abs_loading_fraction,positive_loading_fraction,negative_loading_fraction,early_half_abs_loading_fraction,late_half_abs_loading_fraction,dominant_day_start,dominant_day_end,dominant_profile_coord_min,dominant_profile_coord_max,dominant_object_rank
W045,W045_P_vs_V_delta_peak,H,0.1513546241778033,0.8581445502679135,0.14185544973208658,0.5238744660704142,0.47612553392958595,6.0,74.0,0.0,10.0,5
W045,W045_P_vs_V_delta_peak,Je,0.1881081312276181,0.551704820706313,0.4482951792936869,0.5269213759173706,0.47307862408262935,5.0,74.0,0.0,10.0,3
W045,W045_P_vs_V_delta_peak,Jw,0.1777926894498058,0.5977580296626553,0.40224197033734466,0.534209108263636,0.46579089173636395,4.0,74.0,0.0,10.0,4
W045,W045_P_vs_V_delta_peak,P,0.2462354533582492,0.5072642164746024,0.49273578352539754,0.5252379863659281,0.4747620136340719,4.0,74.0,0.0,12.0,1
W045,W045_P_vs_V_delta_peak,V,0.23650910178652354,0.5320568651232065,0.46794313487679345,0.45184983374283305,0.548150166257167,6.0,73.0,0.0,10.0,2
W045,W045_P_vs_H_delta_peak,H,0.20470157898058136,0.6408012427382744,0.3591987572617256,0.4670179148094047,0.5329820851905953,8.0,61.0,3.0,10.0,3
W045,W045_P_vs_H_delta_peak,Je,0.21798334898524566,0.5842764731733311,0.415723526826669,0.4387688025018039,0.5612311974981962,7.0,65.0,0.0,10.0,2
W045,W045_P_vs_H_delta_peak,Jw,0.172237635529079,0.141368929841484,0.8586310701585157,0.6703227364333747,0.32967726356662513,6.0,74.0,1.0,10.0,5
W045,W045_P_vs_H_delta_peak,P,0.22759877075869367,0.33583189811921543,0.6641681018807846,0.46639709047094846,0.5336029095290515,4.0,71.0,0.0,12.0,1
W045,W045_P_vs_H_delta_peak,V,0.17747866574640023,0.30537643913951135,0.6946235608604887,0.43638547453899496,0.563614525461005,14.0,74.0,0.0,10.0,4
W045,W045_P_vs_Je_delta_peak,H,0.18953312289868438,0.1617620698960679,0.838237930103932,0.4331377276945498,0.5668622723054502,11.0,74.0,0.0,10.0,5
W045,W045_P_vs_Je_delta_peak,Je,0.1921489037446695,0.6126726570142252,0.3873273429857747,0.549452063748451,0.450547936251549,4.0,74.0,0.0,10.0,4
W045,W045_P_vs_Je_delta_peak,Jw,0.21570300804969267,0.5770794164335773,0.4229205835664227,0.3855860893981259,0.614413910601874,10.0,71.0,0.0,10.0,1
W045,W045_P_vs_Je_delta_peak,P,0.19518742764363423,0.48697162203217476,0.5130283779678253,0.4673382230144633,0.5326617769855365,4.0,65.0,0.0,12.0,3
W045,W045_P_vs_Je_delta_peak,V,0.2074275376633193,0.4309632152033637,0.5690367847966362,0.4432580320178958,0.5567419679821041,14.0,61.0,0.0,10.0,2
W045,W045_P_vs_Jw_delta_peak,H,0.21405258364866767,0.9164495212915124,0.08355047870848764,0.4576559353784355,0.5423440646215644,8.0,66.0,1.0,10.0,1
W045,W045_P_vs_Jw_delta_peak,Je,0.19517058592528924,0.49141902054969533,0.5085809794503048,0.3068256422712137,0.6931743577287863,7.0,66.0,0.0,10.0,4
W045,W045_P_vs_Jw_delta_peak,Jw,0.1881984515129303,0.588542462633699,0.41145753736630086,0.3950118598489315,0.6049881401510684,23.0,74.0,0.0,10.0,5
W045,W045_P_vs_Jw_delta_peak,P,0.19560928944542363,0.43831463855529174,0.5616853614447083,0.46770389272488444,0.5322961072751156,4.0,74.0,0.0,12.0,3
W045,W045_P_vs_Jw_delta_peak,V,0.20696908946768908,0.42976765979950116,0.570232340200499,0.5078461361909244,0.4921538638090755,4.0,61.0,0.0,10.0,2
W045,W045_V_vs_H_delta_peak,H,0.18443077058649449,0.5118038797267646,0.48819612027323545,0.3881314456044373,0.6118685543955628,26.0,74.0,0.0,10.0,5
W045,W045_V_vs_H_delta_peak,Je,0.18966027213396788,0.5697469872478113,0.43025301275218863,0.39611217596348774,0.6038878240365122,7.0,68.0,0.0,10.0,4
W045,W045_V_vs_H_delta_peak,Jw,0.21047122536886237,0.17517281856261718,0.8248271814373829,0.6957542102950472,0.3042457897049527,4.0,74.0,1.0,10.0,2
W045,W045_V_vs_H_delta_peak,P,0.20460323416572807,0.3182166298319826,0.6817833701680174,0.43684777078708653,0.5631522292129134,4.0,74.0,0.0,12.0,3
