window_id,target_name,target_pair,target_set,was_in_original_v9_1_f,score_group,object,n_bootstrap_group,n_valid_peak,missing_peak_fraction,mean_peak_day,median_peak_day,q25_peak_day,q75_peak_day,std_peak_day,min_peak_day,max_peak_day,permutation_level,signflip_level,mode_stability_status,extreme_year_dominated_flag
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,high,H,334,334,0.0,37.6497005988024,36.0,35.0,38.0,5.477229678873689,23.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,high,Je,334,334,0.0,47.15568862275449,47.0,46.0,48.0,2.756321803551798,22.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,high,Jw,334,334,0.0,43.0,42.0,40.0,46.0,3.676073110469039,33.0,50.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,high,P,334,334,0.0,44.26047904191617,45.0,43.25,45.0,2.0047528536116226,35.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,high,V,334,334,0.0,45.368263473053894,45.0,44.0,46.0,1.6726950370973916,40.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,low,H,333,333,0.0,40.693693693693696,37.0,33.0,47.0,8.269692954184954,20.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,low,Je,333,333,0.0,45.033033033033036,45.0,44.0,46.0,1.1389022359809464,41.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,low,Jw,333,333,0.0,43.13513513513514,43.0,40.0,46.0,3.297004353589347,34.0,50.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,low,P,333,333,0.0,43.74474474474474,44.0,42.0,45.0,2.2756591149686876,31.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,low,V,333,333,0.0,44.948948948948946,45.0,44.0,46.0,2.125669371634832,39.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,mid,H,333,333,0.0,38.28228228228228,36.0,34.0,43.0,6.743909672220162,20.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,mid,Je,333,333,0.0,45.945945945945944,46.0,45.0,46.0,2.0232288305290176,30.0,57.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,mid,Jw,333,333,0.0,42.966966966966964,42.0,40.0,46.0,3.4215109027064736,32.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,mid,P,333,333,0.0,43.993993993993996,45.0,43.0,45.0,2.180132075685714,34.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,mid,V,333,333,0.0,45.030030030030034,45.0,44.0,46.0,1.9370357583730773,37.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,high,H,334,334,0.0,38.22754491017964,36.0,34.0,39.0,6.408212304958728,20.0,57.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,high,Je,334,334,0.0,46.1497005988024,46.0,45.0,47.0,3.0543205110079072,22.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,high,Jw,334,334,0.0,45.69760479041916,46.0,44.0,48.0,3.095311810901078,37.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,high,P,334,334,0.0,43.895209580838326,44.0,43.0,45.0,2.3502171232706432,31.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,high,V,334,334,0.0,45.4251497005988,45.0,45.0,46.0,1.793907559456949,37.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,low,H,333,333,0.0,40.249249249249246,37.0,34.0,47.0,7.59246462046343,24.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,low,Je,333,333,0.0,45.93693693693694,46.0,45.0,47.0,1.3617800138979994,42.0,53.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,low,Jw,333,333,0.0,40.933933933933936,41.0,39.0,42.0,2.382508136338366,34.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,low,P,333,333,0.0,44.066066066066064,45.0,43.0,45.0,2.036228017141205,35.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,low,V,333,333,0.0,44.84084084084084,45.0,44.0,46.0,2.034761586167743,39.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,mid,H,333,333,0.0,38.147147147147145,36.0,34.0,40.0,6.888918504527211,20.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,mid,Je,333,333,0.0,46.051051051051054,46.0,45.0,47.0,2.0136074234616026,30.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,mid,Jw,333,333,0.0,42.46246246246246,42.0,40.0,45.0,2.9953683024649895,32.0,50.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,mid,P,333,333,0.0,44.03903903903904,45.0,43.0,45.0,2.0959603231412105,35.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Jw_delta_peak,H-Jw,added_all_pair,False,mid,V,333,333,0.0,45.08108108108108,45.0,44.0,46.0,1.9065603378123939,37.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,high,H,334,334,0.0,38.9251497005988,36.0,34.0,45.0,7.325370111797747,20.0,57.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,high,Je,334,334,0.0,45.41616766467066,45.0,45.0,46.0,2.6628084107695016,22.0,57.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,high,Jw,334,334,0.0,45.64670658682635,46.0,44.0,48.0,2.93181337424433,34.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,high,P,334,334,0.0,43.67365269461078,44.0,42.0,45.0,2.397087912780698,31.0,52.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,high,V,334,334,0.0,45.24251497005988,45.0,44.0,46.0,1.9291943014969688,37.0,51.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,low,H,333,333,0.0,38.93993993993994,36.0,34.0,46.0,6.7993618585223805,23.0,58.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,low,Je,333,333,0.0,46.627627627627625,46.0,46.0,47.0,1.614902199494821,34.0,53.0,strict_99,direction_specific_99,stable,False
W045,W045_Je_vs_Jw_delta_peak,Je-Jw,original_priority,True,low,Jw,333,333,0.0,40.67867867867868,40.0,39.0,42.0,2.083077700586943,33.0,51.0,strict_99,direction_specific_99,stable,False
