window_id,target_name,object,block_energy,block_contribution_fraction,dominant_object_warning
W113,W113_Je_earlier_minus_Jw_earlier,P,0.17587800442162568,0.1758780044216257,False
W113,W113_Je_earlier_minus_Jw_earlier,V,0.16678096149459065,0.16678096149459068,False
W113,W113_Je_earlier_minus_Jw_earlier,H,0.20250481359684006,0.2025048135968401,False
W113,W113_Je_earlier_minus_Jw_earlier,Je,0.2897374207469182,0.2897374207469183,False
W113,W113_Je_earlier_minus_Jw_earlier,Jw,0.16509879974002528,0.1650987997400253,False
W113,W113_P_earlier_minus_V_earlier,P,0.2376349842083473,0.23763498420834736,False
W113,W113_P_earlier_minus_V_earlier,V,0.3376014366471036,0.3376014366471037,False
W113,W113_P_earlier_minus_V_earlier,H,0.15865253482013236,0.1586525348201324,False
W113,W113_P_earlier_minus_V_earlier,Je,0.08109967275464824,0.08109967275464826,False
W113,W113_P_earlier_minus_V_earlier,Jw,0.18501137156976827,0.1850113715697683,False
W113,W113_V_earlier_minus_Je_earlier,P,0.18368590767954535,0.18368590767954535,False
W113,W113_V_earlier_minus_Je_earlier,V,0.28861958406929744,0.28861958406929744,False
W113,W113_V_earlier_minus_Je_earlier,H,0.16573143889248948,0.16573143889248948,False
W113,W113_V_earlier_minus_Je_earlier,Je,0.19601332362597124,0.19601332362597124,False
W113,W113_V_earlier_minus_Je_earlier,Jw,0.16594974573269644,0.16594974573269644,False
W113,W113_P_earlier_minus_H_earlier,P,0.23552730546613698,0.23552730546613698,False
W113,W113_P_earlier_minus_H_earlier,V,0.3231499778058117,0.3231499778058117,False
W113,W113_P_earlier_minus_H_earlier,H,0.15202459199143104,0.15202459199143104,False
W113,W113_P_earlier_minus_H_earlier,Je,0.07339261570596767,0.07339261570596767,False
W113,W113_P_earlier_minus_H_earlier,Jw,0.21590550903065264,0.21590550903065264,False
W113,W113_P_earlier_minus_Je_earlier,P,0.21921900195666952,0.21921900195666957,False
W113,W113_P_earlier_minus_Je_earlier,V,0.1882807635293099,0.18828076352930995,False
W113,W113_P_earlier_minus_Je_earlier,H,0.2097757933636487,0.20977579336364877,False
W113,W113_P_earlier_minus_Je_earlier,Je,0.1871223160541331,0.18712231605413313,False
W113,W113_P_earlier_minus_Je_earlier,Jw,0.1956021250962386,0.19560212509623864,False
W113,W113_H_earlier_minus_Je_earlier,P,0.17980316749177017,0.17980316749177014,False
W113,W113_H_earlier_minus_Je_earlier,V,0.252101435941062,0.25210143594106194,False
W113,W113_H_earlier_minus_Je_earlier,H,0.19407826519602014,0.1940782651960201,False
W113,W113_H_earlier_minus_Je_earlier,Je,0.25041174576581116,0.2504117457658111,False
W113,W113_H_earlier_minus_Je_earlier,Jw,0.12360538560533688,0.12360538560533685,False
W113,W113_Je_late_minus_early_peak_influence,P,0.0989401506804065,0.09894015068040651,False
W113,W113_Je_late_minus_early_peak_influence,V,0.12976241742263522,0.12976241742263525,False
W113,W113_Je_late_minus_early_peak_influence,H,0.21732694987660323,0.21732694987660325,False
W113,W113_Je_late_minus_early_peak_influence,Je,0.3517790375041018,0.35177903750410183,False
W113,W113_Je_late_minus_early_peak_influence,Jw,0.20219144451625318,0.2021914445162532,False
W113,W113_V_late_minus_early_peak_influence,P,0.19544576429720284,0.19544576429720278,False
W113,W113_V_late_minus_early_peak_influence,V,0.4214387069348504,0.4214387069348503,False
W113,W113_V_late_minus_early_peak_influence,H,0.14295837867475553,0.1429583786747555,False
W113,W113_V_late_minus_early_peak_influence,Je,0.09642521862148491,0.09642521862148488,False
W113,W113_V_late_minus_early_peak_influence,Jw,0.14373193147170643,0.1437319314717064,False
W113,W113_H_late_minus_early_peak_influence,P,0.16609123153684668,0.1660912315368467,False
W113,W113_H_late_minus_early_peak_influence,V,0.3707802255500522,0.37078022555005224,False
W113,W113_H_late_minus_early_peak_influence,H,0.22321369003207586,0.2232136900320759,False
W113,W113_H_late_minus_early_peak_influence,Je,0.13788827713851598,0.137888277138516,False
W113,W113_H_late_minus_early_peak_influence,Jw,0.10202657574250938,0.1020265757425094,False
