day,detector_score,score_valid,object
0,,False,P
1,,False,P
2,,False,P
3,,False,P
4,,False,P
5,,False,P
6,,False,P
7,,False,P
8,,False,P
9,,False,P
10,,False,P
11,,False,P
12,,False,P
13,,False,P
14,4.400409339837881,True,P
15,4.624876231128891,True,P
16,4.633617612722337,True,P
17,4.596128332582877,True,P
18,4.698734265329099,True,P
19,4.627286357049675,True,P
20,4.0901604217348435,True,P
21,3.411590916371882,True,P
22,3.0920880814504024,True,P
23,2.919192172430031,True,P
24,2.9757658785910523,True,P
25,3.4490179645195065,True,P
26,4.294728687263761,True,P
27,5.253232844084997,True,P
28,6.174662722672269,True,P
29,7.100196860497216,True,P
30,8.389789530196829,True,P
31,9.815016554538133,True,P
32,11.145659761972743,True,P
33,12.462368205611261,True,P
34,13.170076876576445,True,P
35,13.114661530740165,True,P
36,13.15575449419936,True,P
37,13.809761551829801,True,P
38,15.011627201822623,True,P
39,17.080891456966242,True,P
40,19.606601774515653,True,P
41,21.79119492278679,True,P
42,23.51065727098314,True,P
43,24.99091024803176,True,P
44,26.249595777159243,True,P
45,26.563465838769993,True,P
46,24.791612115879776,True,P
47,20.931446314397853,True,P
48,16.08892037930392,True,P
49,11.20824222418974,True,P
50,7.393165815863778,True,P
51,4.783355078776255,True,P
52,2.8933462785328246,True,P
53,1.7931582192807323,True,P
54,1.5953803456584774,True,P
55,2.0799144253422295,True,P
56,2.9928667429706213,True,P
57,3.7408248717407524,True,P
58,4.206564344173297,True,P
59,4.748904709708889,True,P
60,,False,P
61,,False,P
62,,False,P
63,,False,P
64,,False,P
65,,False,P
66,,False,P
67,,False,P
68,,False,P
69,,False,P
0,,False,V
1,,False,V
2,,False,V
3,,False,V
4,,False,V
5,,False,V
6,,False,V
7,,False,V
8,,False,V
9,,False,V
10,,False,V
11,,False,V
12,,False,V
13,,False,V
14,4.689069360033319,True,V
15,5.101033195704611,True,V
16,5.335538519795408,True,V
17,5.272810501572227,True,V
18,4.950908114829897,True,V
19,4.3845330545052486,True,V
20,3.797568801469305,True,V
21,3.4946978650071223,True,V
22,3.5091585762373683,True,V
23,3.692783586566124,True,V
24,3.942859910022266,True,V
25,4.265022094404673,True,V
26,4.738527422782342,True,V
27,5.312876198471043,True,V
28,5.957652183946038,True,V
29,6.6102859603440285,True,V
30,6.941599316355871,True,V
31,6.741751054745135,True,V
32,6.23685485209638,True,V
33,5.74252157315015,True,V
34,5.488306559140682,True,V
35,5.5231952285900725,True,V
36,5.97766501711585,True,V
37,6.867710033578259,True,V
38,8.126451448039939,True,V
39,9.79089190044655,True,V
40,11.723371554917993,True,V
41,13.619042058255335,True,V
42,15.454294380933383,True,V
43,17.17299025462375,True,V
44,18.575540197036105,True,V
45,19.235007755373612,True,V
46,18.753834070287763,True,V
47,17.231841496314843,True,V
48,15.223386141224116,True,V
49,13.123626056626083,True,V
50,10.972375391612863,True,V
51,8.69287070272132,True,V
52,6.349150896157054,True,V
53,4.260674462028415,True,V
54,2.7155623208435875,True,V
55,1.9209870931078865,True,V
56,1.7768464571194142,True,V
57,2.0186809542074986,True,V
58,2.4136398197494975,True,V
59,2.9836851507702806,True,V
60,,False,V
61,,False,V
62,,False,V
63,,False,V
64,,False,V
65,,False,V
66,,False,V
67,,False,V
68,,False,V
69,,False,V
0,,False,H
1,,False,H
2,,False,H
3,,False,H
4,,False,H
5,,False,H
6,,False,H
7,,False,H
8,,False,H
9,,False,H
10,,False,H
11,,False,H
12,,False,H
13,,False,H
14,13.485844807453383,True,H
15,14.658745903228548,True,H
16,15.758662787648024,True,H
17,16.707266075316635,True,H
18,17.550833454525677,True,H
19,18.08402735192542,True,H
20,17.76800036369331,True,H
21,16.442538537983282,True,H
22,14.61782147815967,True,H
23,12.813381443550638,True,H
