window_id,year,method,k,cluster_id,cluster_size,medoid_year,medoid_year_flag,distance_to_medoid,small_cluster_warning,feature_source
W081,2001,kmedoids_behavior_pca,3,2,19,1985,False,5.594427462411732,False,whole_window_behavior_features_not_single_year_peak
W081,2002,kmedoids_behavior_pca,3,2,19,1985,False,5.94254718126563,False,whole_window_behavior_features_not_single_year_peak
W081,2003,kmedoids_behavior_pca,3,2,19,1985,False,5.394314364110622,False,whole_window_behavior_features_not_single_year_peak
W081,2004,kmedoids_behavior_pca,3,2,19,1985,False,6.301411819040172,False,whole_window_behavior_features_not_single_year_peak
W081,2005,kmedoids_behavior_pca,3,0,8,1995,False,6.0646566632844605,False,whole_window_behavior_features_not_single_year_peak
W081,2006,kmedoids_behavior_pca,3,2,19,1985,False,4.387778203324576,False,whole_window_behavior_features_not_single_year_peak
W081,2007,kmedoids_behavior_pca,3,1,18,2016,False,5.997611758771555,False,whole_window_behavior_features_not_single_year_peak
W081,2008,kmedoids_behavior_pca,3,2,19,1985,False,4.681201835150977,False,whole_window_behavior_features_not_single_year_peak
W081,2009,kmedoids_behavior_pca,3,2,19,1985,False,6.242399650189816,False,whole_window_behavior_features_not_single_year_peak
W081,2010,kmedoids_behavior_pca,3,1,18,2016,False,6.014074852342624,False,whole_window_behavior_features_not_single_year_peak
W081,2011,kmedoids_behavior_pca,3,1,18,2016,False,6.725143917003192,False,whole_window_behavior_features_not_single_year_peak
W081,2012,kmedoids_behavior_pca,3,0,8,1995,False,5.334865995553752,False,whole_window_behavior_features_not_single_year_peak
W081,2013,kmedoids_behavior_pca,3,1,18,2016,False,5.049688346242324,False,whole_window_behavior_features_not_single_year_peak
W081,2014,kmedoids_behavior_pca,3,0,8,1995,False,3.129472773724205,False,whole_window_behavior_features_not_single_year_peak
W081,2015,kmedoids_behavior_pca,3,1,18,2016,False,10.705203385704264,False,whole_window_behavior_features_not_single_year_peak
W081,2016,kmedoids_behavior_pca,3,1,18,2016,True,0.0,False,whole_window_behavior_features_not_single_year_peak
W081,2017,kmedoids_behavior_pca,3,0,8,1995,False,5.895134684433719,False,whole_window_behavior_features_not_single_year_peak
W081,2018,kmedoids_behavior_pca,3,2,19,1985,False,5.7548159316843295,False,whole_window_behavior_features_not_single_year_peak
W081,2019,kmedoids_behavior_pca,3,0,8,1995,False,3.7169931629113027,False,whole_window_behavior_features_not_single_year_peak
W081,2020,kmedoids_behavior_pca,3,1,18,2016,False,9.783450865133911,False,whole_window_behavior_features_not_single_year_peak
W081,2021,kmedoids_behavior_pca,3,1,18,2016,False,5.850682467132869,False,whole_window_behavior_features_not_single_year_peak
W081,2022,kmedoids_behavior_pca,3,1,18,2016,False,7.407457720356553,False,whole_window_behavior_features_not_single_year_peak
W081,2023,kmedoids_behavior_pca,3,1,18,2016,False,6.467526828271834,False,whole_window_behavior_features_not_single_year_peak
W081,1979,kmedoids_behavior_pca,4,3,7,1993,False,6.3434301314120605,True,whole_window_behavior_features_not_single_year_peak
W081,1980,kmedoids_behavior_pca,4,1,16,2016,False,4.334324160145128,False,whole_window_behavior_features_not_single_year_peak
W081,1981,kmedoids_behavior_pca,4,0,12,2006,False,4.414737325891429,False,whole_window_behavior_features_not_single_year_peak
W081,1982,kmedoids_behavior_pca,4,1,16,2016,False,8.501977328068415,False,whole_window_behavior_features_not_single_year_peak
W081,1983,kmedoids_behavior_pca,4,2,10,1995,False,5.162299342786727,False,whole_window_behavior_features_not_single_year_peak
W081,1984,kmedoids_behavior_pca,4,0,12,2006,False,5.115692147764538,False,whole_window_behavior_features_not_single_year_peak
W081,1985,kmedoids_behavior_pca,4,0,12,2006,False,4.387778203324576,False,whole_window_behavior_features_not_single_year_peak
W081,1986,kmedoids_behavior_pca,4,3,7,1993,False,7.0184222452929905,True,whole_window_behavior_features_not_single_year_peak
W081,1987,kmedoids_behavior_pca,4,0,12,2006,False,5.8859251796099095,False,whole_window_behavior_features_not_single_year_peak
W081,1988,kmedoids_behavior_pca,4,1,16,2016,False,5.387836073714484,False,whole_window_behavior_features_not_single_year_peak
W081,1989,kmedoids_behavior_pca,4,2,10,1995,False,3.7150879274574398,False,whole_window_behavior_features_not_single_year_peak
W081,1990,kmedoids_behavior_pca,4,2,10,1995,False,5.741871815250594,False,whole_window_behavior_features_not_single_year_peak
W081,1991,kmedoids_behavior_pca,4,1,16,2016,False,6.804636597174771,False,whole_window_behavior_features_not_single_year_peak
W081,1992,kmedoids_behavior_pca,4,3,7,1993,False,4.987850162692145,True,whole_window_behavior_features_not_single_year_peak
W081,1993,kmedoids_behavior_pca,4,3,7,1993,True,0.0,True,whole_window_behavior_features_not_single_year_peak
W081,1994,kmedoids_behavior_pca,4,2,10,1995,False,6.074156679173712,False,whole_window_behavior_features_not_single_year_peak
W081,1995,kmedoids_behavior_pca,4,2,10,1995,True,0.0,False,whole_window_behavior_features_not_single_year_peak
W081,1996,kmedoids_behavior_pca,4,1,16,2016,False,4.885259209149648,False,whole_window_behavior_features_not_single_year_peak
W081,1997,kmedoids_behavior_pca,4,3,7,1993,False,5.231981184604946,True,whole_window_behavior_features_not_single_year_peak
W081,1998,kmedoids_behavior_pca,4,1,16,2016,False,6.072018200517163,False,whole_window_behavior_features_not_single_year_peak
W081,1999,kmedoids_behavior_pca,4,1,16,2016,False,4.3604505957445845,False,whole_window_behavior_features_not_single_year_peak
W081,2000,kmedoids_behavior_pca,4,0,12,2006,False,6.368353016852721,False,whole_window_behavior_features_not_single_year_peak
W081,2001,kmedoids_behavior_pca,4,0,12,2006,False,5.4001375222914065,False,whole_window_behavior_features_not_single_year_peak
W081,2002,kmedoids_behavior_pca,4,0,12,2006,False,5.304242817482697,False,whole_window_behavior_features_not_single_year_peak
W081,2003,kmedoids_behavior_pca,4,1,16,2016,False,6.366850547355813,False,whole_window_behavior_features_not_single_year_peak
W081,2004,kmedoids_behavior_pca,4,0,12,2006,False,5.769599694601681,False,whole_window_behavior_features_not_single_year_peak
W081,2005,kmedoids_behavior_pca,4,2,10,1995,False,6.0646566632844605,False,whole_window_behavior_features_not_single_year_peak
W081,2006,kmedoids_behavior_pca,4,0,12,2006,True,0.0,False,whole_window_behavior_features_not_single_year_peak
W081,2007,kmedoids_behavior_pca,4,0,12,2006,False,4.56094340138319,False,whole_window_behavior_features_not_single_year_peak
W081,2008,kmedoids_behavior_pca,4,1,16,2016,False,5.182259365423155,False,whole_window_behavior_features_not_single_year_peak
