window_id,basis,object_A,object_B,baseline_config,metric_family,metric_name,median,q025,q975,P_positive,P_negative,decision
W113,2d_field,H,P,C2_immediate_pre,2d_dist_early_growth_share,2d_dist_early_growth_share,-0.01801290710322412,-0.12875730733257054,0.09665711265248468,0.367,0.633,unresolved
W113,2d_field,H,P,C2_immediate_pre,2d_dist_growth_center,2d_dist_growth_center,1.500347649045466,-1.3656373650283082,4.8598934073852815,0.843,0.157,A_direction_tendency
W113,2d_field,H,P,C2_immediate_pre,2d_dist_late_growth_share,2d_dist_late_growth_share,-0.042751911033747814,-0.22049549933946092,0.1350569688964966,0.329,0.671,unresolved
W113,2d_field,H,P,C2_immediate_pre,2d_dist_state_compare,2d_dist_state_compare,0.04261910728457105,-0.010038181305518363,0.09082712956367087,0.94,0.06,A_direction_tendency
W113,2d_field,H,P,C2_immediate_pre,2d_dist_state_core,2d_dist_state_core,0.0699552866218705,-0.03429185719233016,0.1920375044834312,0.905,0.095,A_direction_tendency
W113,2d_field,H,P,C2_immediate_pre,2d_dist_state_early,2d_dist_state_early,-0.053732953416657125,-0.11757460477879346,0.0035886480851327093,0.039,0.961,B_direction_tendency
W113,2d_field,H,P,C2_immediate_pre,2d_dist_state_late,2d_dist_state_late,0.12026047111842225,0.04772978497041061,0.197637328041563,0.999,0.001,A_direction_supported
W113,2d_field,H,P,C2_immediate_pre,2d_pattern_core_growth_share,2d_pattern_core_growth_share,0.05451615713671262,-0.09217804669727259,0.2112640573989688,0.757,0.243,unresolved
W113,2d_field,H,P,C2_immediate_pre,2d_pattern_early_growth_share,2d_pattern_early_growth_share,-0.10463235986596951,-0.25988131106089124,0.04290263013766265,0.086,0.914,B_direction_tendency
W113,2d_field,H,P,C2_immediate_pre,2d_pattern_growth_center,2d_pattern_growth_center,2.8879105466637043,-2.037848656440631,9.002817652683856,0.863,0.137,A_direction_tendency
W113,2d_field,H,P,C2_immediate_pre,2d_pattern_late_growth_share,2d_pattern_late_growth_share,0.09448862257634023,-0.06258592330471152,0.24903346863035764,0.883,0.117,A_direction_tendency
W113,2d_field,H,P,C2_immediate_pre,2d_pattern_state_compare,2d_pattern_state_compare,0.0887381974746963,-0.03939538963574441,0.23302963013794337,0.906,0.094,A_direction_tendency
W113,2d_field,H,P,C2_immediate_pre,2d_pattern_state_core,2d_pattern_state_core,0.013618749966246263,-0.2097483705791959,0.23899165507019612,0.553,0.447,unresolved
W113,2d_field,H,P,C2_immediate_pre,2d_pattern_state_early,2d_pattern_state_early,-0.031114287439965596,-0.1665466840353166,0.10413855504510813,0.309,0.691,unresolved
W113,2d_field,H,P,C2_immediate_pre,2d_pattern_state_late,2d_pattern_state_late,0.25323408039697953,0.04096818410885513,0.5047624509274276,0.993,0.007,A_direction_supported
W113,2d_field,H,V,C0_full_stage,2d_dist_core_growth_share,2d_dist_core_growth_share,0.05226018505255398,-0.05542983285804084,0.17159989201273182,0.829,0.171,A_direction_tendency
W113,2d_field,H,V,C0_full_stage,2d_dist_early_growth_share,2d_dist_early_growth_share,0.2384879976819957,0.11055717232427549,0.3690659318980953,0.999,0.001,A_direction_supported
W113,2d_field,H,V,C0_full_stage,2d_dist_growth_center,2d_dist_growth_center,4.897046220312291,2.1280956873625207,7.8271061509914075,0.999,0.001,A_direction_supported
W113,2d_field,H,V,C0_full_stage,2d_dist_late_growth_share,2d_dist_late_growth_share,-0.21872592448347844,-0.3500459961089932,-0.08233172272347136,0.0,1.0,B_direction_supported
W113,2d_field,H,V,C0_full_stage,2d_dist_state_compare,2d_dist_state_compare,0.1737612568569898,0.11793610780960172,0.24493947783247333,1.0,0.0,A_direction_supported
W113,2d_field,H,V,C0_full_stage,2d_dist_state_core,2d_dist_state_core,0.2908873147826794,0.19929125996576397,0.38090767801450115,1.0,0.0,A_direction_supported
W113,2d_field,H,V,C0_full_stage,2d_dist_state_early,2d_dist_state_early,0.13029421543085415,0.06815450999117949,0.19463304571870305,1.0,0.0,A_direction_supported
W113,2d_field,H,V,C0_full_stage,2d_dist_state_late,2d_dist_state_late,0.15076616923774788,0.04344815700806699,0.2496141582336728,0.997,0.003,A_direction_supported
