scope,object,config_id,candidate_id,point_day,month_day,registry_rank,source_run_tag,peak_score,peak_prominence,is_formal_primary,nearest_primary_day,sensitivity_group,changed_factor,changed_value,input_source,smoothed_fields_path,bootstrap_status
P_only,P,DET_PEN_5,CP001,18,04-19,1,v10_3_P_only_DET_PEN_5,4.698734265329099,0.2983249254912179,False,45,detector_penalty,detector_penalty,5.0,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,not_run_by_mode
P_only,P,DET_PEN_5,CP002,34,05-05,2,v10_3_P_only_DET_PEN_5,13.170076876576445,0.055415345836280494,False,45,detector_penalty,detector_penalty,5.0,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,not_run_by_mode
P_only,P,DET_PEN_5,CP003,45,05-16,3,v10_3_P_only_DET_PEN_5,26.563465838769993,23.644273666339963,True,45,detector_penalty,detector_penalty,5.0,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,not_run_by_mode
P_only,P,DET_PEN_5,CP004,65,06-05,4,v10_3_P_only_DET_PEN_5,17.206599258152806,1.8098269116812347,False,82,detector_penalty,detector_penalty,5.0,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,not_run_by_mode
P_only,P,DET_PEN_5,CP005,82,06-22,5,v10_3_P_only_DET_PEN_5,59.21762425438138,57.01919573862771,True,82,detector_penalty,detector_penalty,5.0,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,not_run_by_mode
P_only,P,DET_PEN_5,CP006,95,07-05,6,v10_3_P_only_DET_PEN_5,33.259216108942724,2.697079011936019,False,82,detector_penalty,detector_penalty,5.0,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,not_run_by_mode
P_only,P,DET_PEN_5,CP007,113,07-23,7,v10_3_P_only_DET_PEN_5,26.616812351441734,13.671071573827309,True,113,detector_penalty,detector_penalty,5.0,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,not_run_by_mode
P_only,P,DET_PEN_5,CP008,126,08-05,8,v10_3_P_only_DET_PEN_5,5.946778876241709,2.2733764861211645,False,138,detector_penalty,detector_penalty,5.0,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,not_run_by_mode
P_only,P,DET_PEN_5,CP009,138,08-17,9,v10_3_P_only_DET_PEN_5,5.071550450487186,1.9478064100064794,True,138,detector_penalty,detector_penalty,5.0,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,not_run_by_mode
P_only,P,DET_PEN_5,CP010,158,09-06,10,v10_3_P_only_DET_PEN_5,21.186921722771807,15.203520896940669,True,158,detector_penalty,detector_penalty,5.0,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,not_run_by_mode
