scope,object,config_id,candidate_id,point_day,bootstrap_strict_fraction,bootstrap_match_fraction,bootstrap_near_fraction,bootstrap_no_match_fraction,median_bootstrap_matched_peak_score,median_bootstrap_abs_offset_days,object_support_class,sensitivity_group,changed_factor,changed_value,input_source,smoothed_fields_path,bootstrap_status
P_only,P,BASELINE,CP001,18,0.574,0.793,0.029,0.178,7.438819024012823,2.0,object_weak_candidate,baseline,none,baseline,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run
P_only,P,BASELINE,CP002,34,0.513,0.6,0.204,0.196,18.845171169777103,2.0,object_weak_candidate,baseline,none,baseline,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run
P_only,P,BASELINE,CP003,45,0.79,0.985,0.01,0.005,29.238095423720182,1.0,object_strong_candidate,baseline,none,baseline,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run
P_only,P,BASELINE,CP004,65,0.699,0.811,0.088,0.101,23.830949528722574,1.0,object_candidate,baseline,none,baseline,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run
P_only,P,BASELINE,CP005,82,0.538,0.916,0.077,0.007,68.9784010843959,2.0,object_candidate,baseline,none,baseline,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run
P_only,P,BASELINE,CP006,95,0.454,0.695,0.161,0.144,47.24245301857129,3.0,object_weak_candidate,baseline,none,baseline,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run
P_only,P,BASELINE,CP007,113,0.665,0.938,0.029,0.033,32.99046848682678,2.0,object_candidate,baseline,none,baseline,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run
P_only,P,BASELINE,CP008,126,0.627,0.839,0.098,0.063,12.958043917429865,2.0,object_candidate,baseline,none,baseline,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run
P_only,P,BASELINE,CP009,138,0.617,0.918,0.063,0.019,10.807102635374703,1.0,object_candidate,baseline,none,baseline,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run
P_only,P,BASELINE,CP010,158,0.726,0.957,0.039,0.004,25.18466626736317,1.0,object_strong_candidate,baseline,none,baseline,baseline_smooth9,D:\easm_project01\foundation\V1\outputs\baseline_a\preprocess\smoothed_fields.npz,run
