day,detector_score,score_valid,object
119,,False,P
120,,False,P
121,,False,P
122,,False,P
123,,False,P
124,,False,P
125,,False,P
126,,False,P
127,,False,P
128,,False,P
129,4.418438035861691,True,P
130,4.01229578232779,True,P
131,3.472644540900264,True,P
132,3.123744040480706,True,P
133,3.1785202058177564,True,P
134,3.3285695403759714,True,P
135,3.597728155159995,True,P
136,4.132054575827651,True,P
137,4.864621967165027,True,P
138,5.071550450487186,True,P
139,4.697837904270265,True,P
140,4.249051020777699,True,P
141,3.8144560575975386,True,P
142,3.2109972201100785,True,P
143,2.559288599236856,True,P
144,2.201961555151513,True,P
145,2.198428515753669,True,P
146,2.543575497183328,True,P
147,3.1405372567094716,True,P
148,3.833110468817182,True,P
149,5.07149493603472,True,P
150,7.084108572219209,True,P
151,9.520710598123664,True,P
152,12.349912490840335,True,P
153,14.93534115250964,True,P
154,17.103740042524826,True,P
155,18.739719715808558,True,P
156,20.038379639918126,True,P
157,21.02810941477442,True,P
158,21.186921722771807,True,P
159,19.749519002548524,True,P
160,17.76029095214629,True,P
161,15.618548639594898,True,P
162,13.572455514006393,True,P
163,11.92922475353723,True,P
164,10.320547307747235,True,P
165,8.885666155393693,True,P
166,7.470763330079012,True,P
167,6.3463306988578285,True,P
168,5.983400825831138,True,P
169,,False,P
170,,False,P
171,,False,P
172,,False,P
173,,False,P
174,,False,P
175,,False,P
176,,False,P
177,,False,P
178,,False,P
179,,False,P
180,,False,P
181,,False,P
182,,False,P
119,,False,V
120,,False,V
121,,False,V
122,,False,V
123,,False,V
124,,False,V
125,,False,V
126,,False,V
127,,False,V
128,,False,V
129,3.3617180024645705,True,V
130,3.4190251240350555,True,V
131,3.874254144604839,True,V
132,4.58666703490997,True,V
133,5.5031504187055695,True,V
134,6.653392937766398,True,V
135,7.837632064477557,True,V
136,8.498506242322458,True,V
137,8.277366218978703,True,V
138,7.554137883974091,True,V
139,6.7707832662312075,True,V
140,6.1305428147278604,True,V
141,5.588357771188993,True,V
142,5.1089790752996,True,V
143,4.673339226731834,True,V
144,4.3633699145939895,True,V
145,4.257472817570308,True,V
146,4.384161402889835,True,V
147,4.953999420495874,True,V
148,6.060419802693465,True,V
149,7.378682481401112,True,V
150,8.59316664770476,True,V
151,9.905125175237888,True,V
152,11.801109714904982,True,V
153,14.729375434145773,True,V
154,18.565749147048223,True,V
155,22.37029727573204,True,V
156,25.227418961709308,True,V
157,27.139169207696106,True,V
158,28.818893059905392,True,V
159,30.857005968908307,True,V
160,32.95904552211712,True,V
161,34.08042868585578,True,V
162,33.59825982364314,True,V
163,31.582649697346206,True,V
164,29.00517277605967,True,V
165,26.62284114777471,True,V
166,24.428359717363843,True,V
167,22.46992797355086,True,V
168,20.733141945033893,True,V
169,,False,V
170,,False,V
171,,False,V
172,,False,V
173,,False,V
174,,False,V
175,,False,V
176,,False,V
177,,False,V
178,,False,V
179,,False,V
180,,False,V
181,,False,V
182,,False,V
119,,False,H
120,,False,H
121,,False,H
122,,False,H
123,,False,H
124,,False,H
125,,False,H
126,,False,H
127,,False,H
128,,False,H
129,4.241067494898854,True,H
130,4.15697809347793,True,H
131,3.819912911943309,True,H
132,3.1728981625036172,True,H
133,2.4000696259621668,True,H
134,1.7674553650420197,True,H
135,1.2894168648661601,True,H
136,0.8991200817685452,True,H
137,0.6436161462413115,True,H
138,0.5473840983700522,True,H
139,0.5700456992938472,True,H
140,0.6536117567986119,True,H
141,0.773194713126128,True,H
142,0.9424199193240285,True,H
143,1.1077674170537783,True,H
144,1.2514891547509566,True,H
145,1.4870141538253683,True,H
146,1.9002460379439565,True,H
