window,source,target,source_family,target_family,lead_lag_label,lead_lag_group,direction_label,same_day_coupling_flag,p_pos_surrogate,q_pos_within_window,q_pos_global,p_pos_audit_surrogate,q_pos_audit_within_window,q_pos_audit_global,audit_support_shift,positive_peak_lag,positive_peak_signed_r,positive_peak_abs_r,negative_peak_lag,negative_peak_signed_r,negative_peak_abs_r,lag0_signed_r,lag0_abs_r,D_pos_neg,D_pos_neg_CI90_low,D_pos_neg_CI90_high,D_pos_neg_CI95_low,D_pos_neg_CI95_high,P_D_pos_neg_gt_0,D_pos_0,D_pos_0_CI90_low,D_pos_0_CI90_high,D_pos_0_CI95_low,D_pos_0_CI95_high,P_D_pos_0_gt_0,source_raw_phi,target_raw_phi,source_phi_after_clip,target_phi_after_clip,source_phi_clip_severity,target_phi_clip_severity,pair_phi_risk,source_phi_clip_amount,target_phi_clip_amount,evidence_tier,evidence_tier_reason,recommended_usage,failure_reason,risk_note,suggested_reverse_direction
T3_back17,V_strength,P_main_band_share,V,P,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,0.18281718281718282,0.28457391664938836,0.28457391664938836,0.24675324675324675,0.4031117397454031,0.4031117397454031,same_p_support_flag,2,0.16400325500731594,0.16400325500731594,-4,-0.09289425904824897,0.09289425904824897,0.09421888726965769,0.09421888726965769,0.07314067333539825,-0.11228618247954696,0.16698912264469115,-0.1393850706777866,0.18367206400243605,0.718,0.06284046492986914,0.003783531741927776,0.14728282898805659,-0.004028448439886271,0.1653249625358601,0.964,0.947044526428635,0.9411063465393363,0.947044526428635,0.9411063465393363,none,none,none,0.0,0.0,Tier5a_no_not_supported,positive-lag statistical support not established,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,
T3_back17,V_strength,P_south_band_share_18_24,V,P,lead_lag_yes_clear,lead_lag_yes,clear_X_leads_Y_strong,False,0.014985014985014986,0.05886970172684459,0.05886970172684459,0.030969030969030968,0.14194139194139194,0.14194139194139194,same_p_support_flag,4,-0.3025851680453209,0.3025851680453209,-3,0.05842275022264275,0.05842275022264275,-0.08771427741524619,0.08771427741524619,0.23373141314077658,0.06064163494228589,0.3074447120700453,0.035071796458654644,0.32239731002614397,0.991,0.19490476358331152,0.09596897100014765,0.29696467040905866,0.07550169077357503,0.3191550474647977,1.0,0.947044526428635,0.9402990378699781,0.947044526428635,0.9402990378699781,none,none,none,0.0,0.0,Tier2_main_supported_audit_moderate,main yes; audit p pass but audit-FDR or phi-risk prevents Tier1,usable candidate with audit/moderate-risk flag; not a core-only claim,,,
T3_back17,V_strength,P_main_minus_south,V,P,lead_lag_ambiguous_marginal_statistical_support,lead_lag_ambiguous,direction_not_assessed_as_strict_due_to_marginal_stat_support,False,0.04295704295704296,0.1073926073926074,0.1073926073926074,0.12087912087912088,0.2524690499374044,0.2524690499374044,audit_more_conservative,3,0.23553924512963642,0.23553924512963642,-4,-0.08539431636907716,0.08539431636907716,0.10264206565175642,0.10264206565175642,0.14712937232591036,-0.02754735029333712,0.23843577247428685,-0.05898779189043389,0.2580917512128439,0.904,0.12376530521606934,0.045843631856609605,0.21942701087529276,0.0305926808944311,0.23111019532815313,0.998,0.947044526428635,0.9428372918109434,0.947044526428635,0.9428372918109434,none,none,none,0.0,0.0,Tier4d_ambiguous_marginal_statistical_support,ambiguous because statistical support is marginal,expanded temporal risk pool only; useful for feedback/same-day/transition audit,marginal_statistical_support,marginal,
T3_back17,V_strength,P_spread_lat,V,P,lead_lag_yes_clear,lead_lag_yes,clear_X_leads_Y_strong,False,0.00999000999000999,0.04455004455004455,0.04455004455004455,0.017982017982017984,0.12527472527472527,0.12527472527472527,same_p_support_flag,4,0.29797102025180766,0.29797102025180766,-1,0.03262575304765752,0.03262575304765752,0.08787315811664399,0.08787315811664399,0.2671244612096787,0.08574233802667466,0.3198492644939085,0.057157151987519104,0.3456444845032317,0.994,0.19882168000217915,0.09258069497696363,0.31422460438968036,0.06687796369595862,0.3298716833928786,0.997,0.947044526428635,0.9301833769799221,0.947044526428635,0.9301833769799221,none,none,none,0.0,0.0,Tier2_main_supported_audit_moderate,main yes; audit p pass but audit-FDR or phi-risk prevents Tier1,usable candidate with audit/moderate-risk flag; not a core-only claim,,,
T3_back17,V_strength,P_north_band_share_35_45,V,P,lead_lag_yes_clear,lead_lag_yes,clear_X_leads_Y_strong,False,0.008991008991008992,0.04455004455004455,0.04455004455004455,0.02197802197802198,0.13540031397174254,0.13540031397174254,same_p_support_flag,4,0.3090067598360268,0.3090067598360268,-1,0.057628677476181465,0.057628677476181465,0.1329559511487267,0.1329559511487267,0.25995775343266153,0.09587357455326176,0.30765635071445974,0.06892610630841128,0.3189043932920338,0.996,0.16143126947571446,0.08543641579824882,0.2506972323763126,0.060220134652744055,0.266025162236025,0.998,0.947044526428635,0.9223838668163357,0.947044526428635,0.9223838668163357,none,none,none,0.0,0.0,Tier2_main_supported_audit_moderate,main yes; audit p pass but audit-FDR or phi-risk prevents Tier1,usable candidate with audit/moderate-risk flag; not a core-only claim,,,
T3_back17,V_strength,P_north_minus_main_35_45,V,P,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,0.45554445554445555,0.5302389917774534,0.5302389917774534,0.4985014985014985,0.5868599485620762,0.5868599485620762,same_p_support_flag,5,0.09532935823410227,0.09532935823410227,-4,0.03951381979110987,0.03951381979110987,6.611650828900461e-05,6.611650828900461e-05,0.05722077863432079,-0.12334066485348458,0.1544410157448659,-0.14697909674657972,0.18722701943175865,0.626,0.08189881032306606,-0.029357447382842645,0.18043528493015717,-0.037562957017336994,0.19857953075337148,0.798,0.947044526428635,0.9264410501550391,0.947044526428635,0.9264410501550391,none,none,none,0.0,0.0,Tier5a_no_not_supported,positive-lag statistical support not established,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,
T3_back17,V_strength,P_total_centroid_lat_10_50,V,P,lead_lag_yes_clear,lead_lag_yes,clear_X_leads_Y_moderate,False,0.005994005994005994,0.03803888419273035,0.03803888419273035,0.01898101898101898,0.12527472527472527,0.12527472527472527,same_p_support_flag,3,0.3274680690637931,0.3274680690637931,-4,-0.12898769142252092,0.12898769142252092,0.1298093607229967,0.1298093607229967,0.2016799366486892,0.0073201164220597845,0.3035108255704629,-0.024219802404979833,0.32710066171626345,0.954,0.18568924235806053,0.10642573999362011,0.2772807339645122,0.09711109191384278,0.2922436626690548,1.0,0.947044526428635,0.9424824575659914,0.947044526428635,0.9424824575659914,none,none,none,0.0,0.0,Tier2_main_supported_audit_moderate,main yes; audit p pass but audit-FDR or phi-risk prevents Tier1,usable candidate with audit/moderate-risk flag; not a core-only claim,,,
T3_back17,V_strength,P_main_28_35_mean,V,P,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,0.05194805194805195,0.12605042016806722,0.12605042016806722,0.15384615384615385,0.29864253393665163,0.29864253393665163,same_p_support_flag,1,0.23088752402691126,0.23088752402691126,-1,0.15795879413961397,0.15795879413961397,0.2104793560770659,0.2104793560770659,0.07027844007526818,-0.016659255202597766,0.1515518649119956,-0.03330130416520737,0.1655734943954056,0.912,-9.920537168828236e-05,-0.03616862087476415,0.05430230226081995,-0.043275370142526456,0.06972008269076643,0.503,0.947044526428635,0.9304560080221362,0.947044526428635,0.9304560080221362,none,none,none,0.0,0.0,Tier5a_no_not_supported,positive-lag statistical support not established,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,
T3_back17,V_strength,P_south_10_25_mean,V,P,lead_lag_yes_clear,lead_lag_yes,clear_X_leads_Y_moderate,False,0.003996003996003996,0.03470213996529786,0.03470213996529786,0.011988011988011988,0.10714285714285714,0.10714285714285714,same_p_support_flag,3,-0.33369948584195847,0.33369948584195847,-4,0.1605126129369315,0.1605126129369315,-0.13232025760337895,0.13232025760337895,0.1753708136460226,0.014207703327619219,0.2866041188664064,-0.031069140646737155,0.30147888124230826,0.964,0.1955214950744357,0.11289546177542939,0.2981721592250222,0.09916307757890527,0.3231408806635937,1.0,0.947044526428635,0.9583714601047685,0.947044526428635,0.95,none,minor,minor,0.0,0.008371460104768524,Tier2_main_supported_audit_moderate,main yes; audit p pass but audit-FDR or phi-risk prevents Tier1,usable candidate with audit/moderate-risk flag; not a core-only claim,,,
T3_back17,V_strength,P_scs_10_20_mean,V,P,lead_lag_ambiguous_marginal_statistical_support,lead_lag_ambiguous,direction_not_assessed_as_strict_due_to_marginal_stat_support,False,0.03896103896103896,0.1053864168618267,0.1053864168618267,0.056943056943056944,0.17955259026687598,0.17955259026687598,audit_more_conservative,3,-0.25648749451147224,0.25648749451147224,-4,0.1686406366528692,0.1686406366528692,-0.11614057681834859,0.11614057681834859,0.08682978247664022,-0.08794792029279323,0.20530421270067845,-0.12306414764424532,0.22266653365174233,0.784,0.1258999782098406,0.047745790816321555,0.22927552973130189,0.03678032310060689,0.24877607501466417,0.997,0.947044526428635,0.9537051055515694,0.947044526428635,0.95,none,minor,minor,0.0,0.003705105551569443,Tier4d_ambiguous_marginal_statistical_support,ambiguous because statistical support is marginal,expanded temporal risk pool only; useful for feedback/same-day/transition audit,marginal_statistical_support,marginal,
T3_back17,V_strength,P_highlat_40_60_mean,V,P,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,0.18181818181818182,0.28457391664938836,0.28457391664938836,0.3026973026973027,0.43110735418427726,0.43110735418427726,same_p_support_flag,1,0.157771269155831,0.157771269155831,-1,0.13113643973410707,0.13113643973410707,0.1535516903517811,0.1535516903517811,0.033284795087988234,-0.03284120032959813,0.10149634012850564,-0.04790658265599168,0.11999666672178443,0.796,-0.005700117706209873,-0.03822801779478631,0.06225559006378707,-0.04253196201156191,0.08062555312315439,0.406,0.947044526428635,0.9180812680242554,0.947044526428635,0.9180812680242554,none,none,none,0.0,0.0,Tier5a_no_not_supported,positive-lag statistical support not established,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,
T3_back17,V_strength,P_highlat_35_60_mean,V,P,lead_lag_ambiguous_bidirectional_close,lead_lag_ambiguous,bidirectional_close,True,0.023976023976023976,0.07912087912087912,0.07912087912087912,0.09290709290709291,0.22880104969657208,0.22880104969657208,audit_more_conservative,1,0.2582667617433145,0.2582667617433145,-1,0.23235342493275069,0.23235342493275069,0.2555542724811145,0.2555542724811145,0.0287678922965518,-0.03996786544710393,0.09946664632538754,-0.05272901291862467,0.12051851194421362,0.763,-0.012589961097591806,-0.04677025296757901,0.033255511677039634,-0.053519949847197115,0.05347453198026928,0.275,0.947044526428635,0.9314341110880292,0.947044526428635,0.9314341110880292,none,none,none,0.0,0.0,Tier4a_ambiguous_bidirectional_close,ambiguous bidirectional/feedback-like temporal structure,expanded temporal risk pool only; useful for feedback/same-day/transition audit,positive_and_negative_supported_but_direction_difference_uncertain,bidirectional_or_feedback_like,
T3_back17,V_strength,P_highlat_minus_main,V,P,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,0.2057942057942058,0.3101898101898102,0.3101898101898102,0.2897102897102897,0.43110735418427726,0.43110735418427726,same_p_support_flag,1,-0.15424413812246676,0.15424413812246676,-1,-0.09814757950611466,0.09814757950611466,-0.13751798068872606,0.13751798068872606,0.059877248459256516,-0.04868335571867883,0.1373191588952027,-0.07365091777283429,0.15808549893922627,0.83,0.0020880579243195696,-0.031466551974819415,0.07863395386398299,-0.04092578791303121,0.09450186787382656,0.58,0.947044526428635,0.9320334605755766,0.947044526428635,0.9320334605755766,none,none,none,0.0,0.0,Tier5a_no_not_supported,positive-lag statistical support not established,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,
T3_back17,V_strength,P_south_minus_main,V,P,lead_lag_yes_clear,lead_lag_yes,clear_X_leads_Y_strong,False,0.008991008991008992,0.04455004455004455,0.04455004455004455,0.027972027972027972,0.13986013986013984,0.13986013986013984,same_p_support_flag,2,-0.31928418487584315,0.31928418487584315,-4,0.09914850472900402,0.09914850472900402,-0.19661775958947408,0.19661775958947408,0.2188729555594852,0.05557721838992595,0.2736162204822562,0.025341450862229963,0.28858777403782065,0.982,0.11028835448968524,0.04492736445435901,0.20227193681983574,0.03224824511989623,0.2244495859849944,0.999,0.947044526428635,0.9492374499639178,0.947044526428635,0.9492374499639178,none,none,none,0.0,0.0,Tier2_main_supported_audit_moderate,main yes; audit p pass but audit-FDR or phi-risk prevents Tier1,usable candidate with audit/moderate-risk flag; not a core-only claim,,,
T3_back17,V_strength,P_south_plus_highlat_minus_main,V,P,lead_lag_yes_clear,lead_lag_yes,clear_X_leads_Y_moderate,False,0.016983016983016984,0.06312836100070143,0.06312836100070143,0.04995004995004995,0.17170329670329673,0.17170329670329673,same_p_support_flag,3,-0.28549719982206667,0.28549719982206667,-4,0.10243682041166693,0.10243682041166693,-0.1608981902686414,0.1608981902686414,0.1744784085341634,0.010030383803774006,0.24654030001235294,-0.019525133921256214,0.258265978300851,0.957,0.10372959899524994,0.02890977755498925,0.2042792712749213,0.020221573310723325,0.2210823405007224,0.995,0.947044526428635,0.9502552866535717,0.947044526428635,0.95,none,minor,minor,0.0,0.0002552866535717735,Tier2_main_supported_audit_moderate,main yes; audit p pass but audit-FDR or phi-risk prevents Tier1,usable candidate with audit/moderate-risk flag; not a core-only claim,,,
T3_back17,V_pos_centroid_lat,P_main_band_share,V,P,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,0.2947052947052947,0.3859236002093145,0.3859236002093145,0.3046953046953047,0.43110735418427726,0.43110735418427726,same_p_support_flag,5,-0.12904947247227538,0.12904947247227538,-2,0.1841264712357364,0.1841264712357364,0.11558699501747362,0.11558699501747362,-0.05521594654616399,-0.1567053691070404,0.13601164813626737,-0.1755416201331289,0.16467424639191328,0.317,-0.002173230964289355,-0.08298099816522285,0.19368197568941228,-0.08862486568047333,0.22571746509328544,0.526,0.9196312232142454,0.9411063465393363,0.9196312232142454,0.9411063465393363,none,none,none,0.0,0.0,Tier5a_no_not_supported,positive-lag statistical support not established,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,
T3_back17,V_pos_centroid_lat,P_south_band_share_18_24,V,P,lead_lag_ambiguous_same_day_dominant,lead_lag_ambiguous,same_day_dominant,True,0.000999000999000999,0.016483516483516484,0.016483516483516484,0.002997002997002997,0.061813186813186816,0.061813186813186816,same_p_support_flag,1,-0.4080095506553364,0.4080095506553364,-1,-0.37455521745564263,0.37455521745564263,-0.4210752370025547,0.4210752370025547,0.02677164117096778,-0.03131179391203147,0.08150417287662058,-0.04787844620826297,0.0908029567601922,0.773,-0.03046512627597428,-0.06119349948065394,-0.003040192154641544,-0.06806754089580265,0.00022830448921994507,0.026,0.9196312232142454,0.9402990378699781,0.9196312232142454,0.9402990378699781,none,none,none,0.0,0.0,Tier4b_ambiguous_same_day_dominant,ambiguous because same-day coupling is dominant or mixed,expanded temporal risk pool only; useful for feedback/same-day/transition audit,same_day_exceeds_positive_lag,same_day_dominant,
T3_back17,V_pos_centroid_lat,P_main_minus_south,V,P,lead_lag_ambiguous_same_day_dominant,lead_lag_ambiguous,same_day_dominant,True,0.04095904095904096,0.10559752747252747,0.10559752747252747,0.07192807192807193,0.18838304552590268,0.18838304552590268,audit_more_conservative,1,0.23020041187665785,0.23020041187665785,-1,0.28391628505010413,0.28391628505010413,0.27680971896444884,0.27680971896444884,-0.04691780724648284,-0.09359332437838216,0.010213274311284073,-0.10530054441975109,0.026208669514011587,0.089,-0.055303921543078755,-0.07919153738129678,-0.007461145612813594,-0.08278823203758526,0.03570405424756261,0.041,0.9196312232142454,0.9428372918109434,0.9196312232142454,0.9428372918109434,none,none,none,0.0,0.0,Tier4b_ambiguous_same_day_dominant,ambiguous because same-day coupling is dominant or mixed,expanded temporal risk pool only; useful for feedback/same-day/transition audit,same_day_exceeds_positive_lag,same_day_dominant,
T3_back17,V_pos_centroid_lat,P_spread_lat,V,P,lead_lag_yes_with_same_day_coupling,lead_lag_yes,X_leads_Y_with_same_day_component,True,0.000999000999000999,0.016483516483516484,0.016483516483516484,0.000999000999000999,0.04120879120879121,0.04120879120879121,same_p_support_flag,1,0.5647891659485996,0.5647891659485996,-1,0.47482102848778035,0.47482102848778035,0.5558549768374252,0.5558549768374252,0.08536573181634904,0.03118158099855726,0.1388189136204902,0.020117175208870637,0.1506004138810078,0.997,-0.010196653561838964,-0.040079092459286716,0.016866575965005803,-0.04471768059689056,0.021566146457283032,0.28,0.9196312232142454,0.9301833769799221,0.9196312232142454,0.9301833769799221,none,none,none,0.0,0.0,Tier1b_audit_stable_with_same_day,main yes; audit-FDR pass; same-day coupling present; no severe phi risk,"usable strict temporal candidate, but must retain same-day coupling warning",,same_day_coupling_present,
T3_back17,V_pos_centroid_lat,P_north_band_share_35_45,V,P,lead_lag_no_reverse_dominant,lead_lag_no,reverse_dominant,True,0.001998001998001998,0.0253592561284869,0.0253592561284869,0.002997002997002997,0.061813186813186816,0.061813186813186816,same_p_support_flag,1,0.3806392691800973,0.3806392691800973,-1,0.4155434041118321,0.4155434041118321,0.42429393572282875,0.42429393572282875,-0.032576757877344764,-0.0626100023916689,-0.002196943559641447,-0.06822784629254003,0.0029350147532052574,0.037,-0.055108138568440296,-0.07318619815087558,-0.03893076657683469,-0.07633682266986735,-0.0353953798633394,0.0,0.9196312232142454,0.9223838668163357,0.9196312232142454,0.9223838668163357,none,none,none,0.0,0.0,Tier5b_no_reverse_dominant,original direction not supported; reverse direction is temporally stronger,do not use original direction; inspect suggested reverse if scientifically relevant,reverse_lag_dominant,reverse_direction,P_north_band_share_35_45 -> V_pos_centroid_lat
T3_back17,V_pos_centroid_lat,P_north_minus_main_35_45,V,P,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,0.1038961038961039,0.19047619047619047,0.19047619047619047,0.1018981018981019,0.2368054480730537,0.2368054480730537,same_p_support_flag,3,0.18537523518637913,0.18537523518637913,-1,0.10796634854207657,0.10796634854207657,0.14860564164417941,0.14860564164417941,0.07963248065746165,0.0008929911227749986,0.1431980608510313,-0.032629023402833204,0.15836787977341527,0.95,0.01776516166745995,-0.01468590480979986,0.10139117059939276,-0.017881347955107953,0.11767940453880942,0.807,0.9196312232142454,0.9264410501550391,0.9196312232142454,0.9264410501550391,none,none,none,0.0,0.0,Tier5a_no_not_supported,positive-lag statistical support not established,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,
T3_back17,V_pos_centroid_lat,P_total_centroid_lat_10_50,V,P,lead_lag_no_reverse_dominant,lead_lag_no,reverse_dominant,True,0.00999000999000999,0.04455004455004455,0.04455004455004455,0.03496503496503497,0.15182186234817815,0.15182186234817815,same_p_support_flag,1,0.28311946086785894,0.28311946086785894,-1,0.3914808110820363,0.3914808110820363,0.3647121171787186,0.3647121171787186,-0.1084381276487453,-0.15473320892299167,-0.06192989580278559,-0.16753967239713075,-0.05298849028319125,0.0,-0.0969711088325535,-0.12221196733492572,-0.07392010762543395,-0.12637849420888192,-0.07026170328756808,0.0,0.9196312232142454,0.9424824575659914,0.9196312232142454,0.9424824575659914,none,none,none,0.0,0.0,Tier5b_no_reverse_dominant,original direction not supported; reverse direction is temporally stronger,do not use original direction; inspect suggested reverse if scientifically relevant,reverse_lag_dominant,reverse_direction,P_total_centroid_lat_10_50 -> V_pos_centroid_lat
T3_back17,V_pos_centroid_lat,P_main_28_35_mean,V,P,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,0.4825174825174825,0.5528846153846154,0.5528846153846154,0.5014985014985015,0.5868599485620762,0.5868599485620762,same_p_support_flag,1,0.09328708939448477,0.09328708939448477,-1,0.08024893656523008,0.08024893656523008,0.09861474711493316,0.09861474711493316,0.00692790206576388,-0.04574472964325684,0.13855744629861405,-0.06650238783918802,0.16407672426140585,0.736,-0.028806498400565247,-0.04197173177549637,0.15099099312884626,-0.048027946286532196,0.18563848212930217,0.405,0.9196312232142454,0.9304560080221362,0.9196312232142454,0.9304560080221362,none,none,none,0.0,0.0,Tier5a_no_not_supported,positive-lag statistical support not established,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,
T3_back17,V_pos_centroid_lat,P_south_10_25_mean,V,P,lead_lag_no_reverse_dominant,lead_lag_no,reverse_dominant,True,0.006993006993006993,0.04273504273504273,0.04273504273504273,0.029970029970029972,0.141287284144427,0.141287284144427,same_p_support_flag,1,-0.284769459850915,0.284769459850915,-1,-0.4341837078519152,0.4341837078519152,-0.383339387483198,0.383339387483198,-0.1545863100452727,-0.22344256638068236,-0.10535239562896226,-0.23806539191852935,-0.0950322339767192,0.0,-0.11089786591987946,-0.13851232736542674,-0.08437153535731336,-0.14395017609817606,-0.0805239766927073,0.0,0.9196312232142454,0.9583714601047685,0.9196312232142454,0.95,none,minor,minor,0.0,0.008371460104768524,Tier5b_no_reverse_dominant,original direction not supported; reverse direction is temporally stronger,do not use original direction; inspect suggested reverse if scientifically relevant,reverse_lag_dominant,reverse_direction,P_south_10_25_mean -> V_pos_centroid_lat
T3_back17,V_pos_centroid_lat,P_scs_10_20_mean,V,P,lead_lag_no_same_day_only,lead_lag_no,same_day_only,True,0.22677322677322678,0.325370281892021,0.325370281892021,0.27972027972027974,0.43110735418427726,0.43110735418427726,same_p_support_flag,1,-0.145668494383293,0.145668494383293,-2,-0.37333494079853874,0.37333494079853874,-0.2558399647632768,0.2558399647632768,-0.23321258536932854,-0.2820426312361965,-0.13784327422544276,-0.298992297286526,-0.10871296988733764,0.0,-0.127886364291837,-0.14604806350807056,-0.022258122013401924,-0.15115426535593782,0.011715346078308396,0.031,0.9196312232142454,0.9537051055515694,0.9196312232142454,0.95,none,minor,minor,0.0,0.003705105551569443,Tier5c_no_same_day_only,same-day coupling exists but no positive-lag support,do not use as lead-lag candidate; retain as same-day coupling evidence,same_day_only_without_positive_lag_support,same_day_coupling,
T3_back17,V_pos_centroid_lat,P_highlat_40_60_mean,V,P,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,0.15584415584415584,0.2650957290132548,0.2650957290132548,0.1958041958041958,0.3586523366743147,0.3586523366743147,same_p_support_flag,5,0.16579211378532874,0.16579211378532874,-1,0.07851739041457198,0.07851739041457198,0.10022760924248587,0.10022760924248587,0.0912951447684549,-0.06748319800230002,0.14780713196287018,-0.09757220291423696,0.1689149089752869,0.783,0.053140597442880674,-0.0338779151527511,0.14320194277794873,-0.04460514247731891,0.1613595991873342,0.786,0.9196312232142454,0.9180812680242554,0.9196312232142454,0.9180812680242554,none,none,none,0.0,0.0,Tier5a_no_not_supported,positive-lag statistical support not established,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,
T3_back17,V_pos_centroid_lat,P_highlat_35_60_mean,V,P,lead_lag_ambiguous_coupled_or_feedback_like,lead_lag_ambiguous,same_day_short_lag_mixed,True,0.00999000999000999,0.04455004455004455,0.04455004455004455,0.04095904095904096,0.15716841298236647,0.15716841298236647,same_p_support_flag,5,0.26568549991157103,0.26568549991157103,-1,0.16712519724706015,0.16712519724706015,0.20244138745799362,0.20244138745799362,0.09755976863497295,-0.00014409141808968516,0.1941583579912695,-0.013234297750782347,0.21182529293039204,0.948,0.04336962894107885,-0.030122626865684773,0.14904605117423186,-0.036347885300145606,0.16692570687277636,0.762,0.9196312232142454,0.9314341110880292,0.9196312232142454,0.9314341110880292,none,none,none,0.0,0.0,Tier4b_ambiguous_same_day_dominant,ambiguous because same-day coupling is dominant or mixed,expanded temporal risk pool only; useful for feedback/same-day/transition audit,positive_support_with_same_day_or_uncertain_direction,same_day_short_lag_mixed,
T3_back17,V_pos_centroid_lat,P_highlat_minus_main,V,P,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,0.3356643356643357,0.4260355029585799,0.4260355029585799,0.36363636363636365,0.46153846153846156,0.46153846153846156,same_p_support_flag,5,0.11318929450118949,0.11318929450118949,-1,-0.04608032225230018,0.04608032225230018,-0.05543686722352954,0.05543686722352954,0.06941282306273887,-0.030127302396546658,0.18077275698914774,-0.048283687313195385,0.2035256759714066,0.859,0.044486456903969365,-0.023999513180653,0.18636682558238105,-0.028123295664563445,0.2064642561751636,0.722,0.9196312232142454,0.9320334605755766,0.9196312232142454,0.9320334605755766,none,none,none,0.0,0.0,Tier5a_no_not_supported,positive-lag statistical support not established,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,
T3_back17,V_pos_centroid_lat,P_south_minus_main,V,P,lead_lag_no_reverse_dominant,lead_lag_no,reverse_dominant,True,0.03996003996003996,0.10559752747252747,0.10559752747252747,0.06593406593406594,0.1813186813186813,0.1813186813186813,audit_more_conservative,1,-0.2442206583241096,0.2442206583241096,-1,-0.3415259027893947,0.3415259027893947,-0.31534269176645935,0.31534269176645935,-0.09988824254431541,-0.157979741378357,-0.03965977882500174,-0.172766456394705,-0.0200619950123855,0.011,-0.08474470793131034,-0.10821923825676433,-0.045854688339492224,-0.11444822995616141,-0.014153194995456227,0.02,0.9196312232142454,0.9492374499639178,0.9196312232142454,0.9492374499639178,none,none,none,0.0,0.0,Tier5b_no_reverse_dominant,original direction not supported; reverse direction is temporally stronger,do not use original direction; inspect suggested reverse if scientifically relevant,reverse_lag_dominant,reverse_direction,P_south_minus_main -> V_pos_centroid_lat
T3_back17,V_pos_centroid_lat,P_south_plus_highlat_minus_main,V,P,lead_lag_no_same_day_only,lead_lag_no,same_day_only,True,0.06593406593406594,0.15109890109890112,0.15109890109890112,0.1088911088911089,0.23956043956043957,0.23956043956043957,same_p_support_flag,1,-0.21543229392087185,0.21543229392087185,-1,-0.3114579650033672,0.3114579650033672,-0.282868413274254,0.282868413274254,-0.08831612406215497,-0.1457148485353684,-0.01995548735024758,-0.1570084031943584,0.007402501335943573,0.027,-0.07615155317048075,-0.09603299905245985,0.00021761353407282326,-0.10048969251287965,0.03368868558808366,0.051,0.9196312232142454,0.9502552866535717,0.9196312232142454,0.95,none,minor,minor,0.0,0.0002552866535717735,Tier5c_no_same_day_only,same-day coupling exists but no positive-lag support,do not use as lead-lag candidate; retain as same-day coupling evidence,same_day_only_without_positive_lag_support,same_day_coupling,
T3_back17,V_NS_diff,P_main_band_share,V,P,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,0.07492507492507493,0.16266628108733372,0.16266628108733372,0.11588411588411589,0.24513947590870666,0.24513947590870666,same_p_support_flag,1,0.22028036325395947,0.22028036325395947,-1,0.17585434868705738,0.17585434868705738,0.21556959639243395,0.21556959639243395,0.042926774599164885,-0.03090394833884038,0.10281973711129529,-0.04461837047450915,0.1181830069851753,0.825,-0.008438766286054389,-0.03676873950301301,0.027539278020055232,-0.042608691088467585,0.03816690174629053,0.337,0.9518975179739733,0.9411063465393363,0.95,0.9411063465393363,minor,none,minor,0.0018975179739733061,0.0,Tier5a_no_not_supported,positive-lag statistical support not established,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,
