replicate_id,replicate_kind,point_id,point_day,month_day,point_role_group,point_role_detail,is_headline_primary,neighbor_group_id,matched_candidate_id,matched_candidate_kind,nearest_peak_day,nearest_peak_score,day_offset,match_type,matched_flag,strict_match_flag,near_support_flag,no_match_flag,ambiguous_match,match_confidence_class,path_width,path_min_detection_fraction,path_local_optimum_fraction
0,param_path,RP001,45,05-16,formal_primary,headline_primary,True,,RP001,formal_primary,45,4.780767914260572,0,strict_match,True,True,False,False,False,high_confidence,18,0.18,0.35
0,param_path,RP002,81,06-21,formal_primary,headline_primary,True,,RP002,formal_primary,81,7.0382782153943095,0,strict_match,True,True,False,False,False,high_confidence,18,0.18,0.35
0,param_path,RP003,113,07-23,formal_primary,headline_primary,True,,RP004,formal_primary,113,7.6862779726974155,0,strict_match,True,True,False,False,False,high_confidence,18,0.18,0.35
0,param_path,LP006,132,08-11,neighbor_competition,neighbor_local_peak,False,NG001,LP007,local_peak,131,2.9002692730443775,-1,strict_match,True,True,False,False,False,high_confidence,18,0.18,0.35
0,param_path,RP004,135,08-14,formal_primary,headline_primary,True,NG001,RP005,formal_primary,135,2.9179933612201028,0,strict_match,True,True,False,False,False,high_confidence,18,0.18,0.35
0,param_path,RP005,160,09-08,formal_primary,headline_primary,True,,RP006,formal_primary,160,5.555489594981443,0,strict_match,True,True,False,False,False,high_confidence,18,0.18,0.35
1,param_path,RP001,45,05-16,formal_primary,headline_primary,True,,RP001,formal_primary,45,4.780767914260572,0,strict_match,True,True,False,False,False,high_confidence,18,0.18,0.4
1,param_path,RP002,81,06-21,formal_primary,headline_primary,True,,RP002,formal_primary,81,7.0382782153943095,0,strict_match,True,True,False,False,False,high_confidence,18,0.18,0.4
1,param_path,RP003,113,07-23,formal_primary,headline_primary,True,,RP004,formal_primary,113,7.6862779726974155,0,strict_match,True,True,False,False,False,high_confidence,18,0.18,0.4
1,param_path,LP006,132,08-11,neighbor_competition,neighbor_local_peak,False,NG001,LP007,local_peak,131,2.9002692730443775,-1,strict_match,True,True,False,False,False,high_confidence,18,0.18,0.4
1,param_path,RP004,135,08-14,formal_primary,headline_primary,True,NG001,RP005,formal_primary,135,2.9179933612201028,0,strict_match,True,True,False,False,False,high_confidence,18,0.18,0.4
1,param_path,RP005,160,09-08,formal_primary,headline_primary,True,,RP006,formal_primary,160,5.555489594981443,0,strict_match,True,True,False,False,False,high_confidence,18,0.18,0.4
2,param_path,RP001,45,05-16,formal_primary,headline_primary,True,,RP001,formal_primary,45,4.780767914260572,0,strict_match,True,True,False,False,False,high_confidence,18,0.18,0.45
2,param_path,RP002,81,06-21,formal_primary,headline_primary,True,,RP002,formal_primary,81,7.0382782153943095,0,strict_match,True,True,False,False,False,high_confidence,18,0.18,0.45
2,param_path,RP003,113,07-23,formal_primary,headline_primary,True,,RP004,formal_primary,113,7.6862779726974155,0,strict_match,True,True,False,False,False,high_confidence,18,0.18,0.45
2,param_path,LP006,132,08-11,neighbor_competition,neighbor_local_peak,False,NG001,LP007,local_peak,131,2.9002692730443775,-1,strict_match,True,True,False,False,False,high_confidence,18,0.18,0.45
2,param_path,RP004,135,08-14,formal_primary,headline_primary,True,NG001,RP005,formal_primary,135,2.9179933612201028,0,strict_match,True,True,False,False,False,high_confidence,18,0.18,0.45
2,param_path,RP005,160,09-08,formal_primary,headline_primary,True,,RP006,formal_primary,160,5.555489594981443,0,strict_match,True,True,False,False,False,high_confidence,18,0.18,0.45
3,param_path,RP001,45,05-16,formal_primary,headline_primary,True,,RP001,formal_primary,45,4.780767914260572,0,strict_match,True,True,False,False,False,high_confidence,18,0.2,0.35
3,param_path,RP002,81,06-21,formal_primary,headline_primary,True,,RP002,formal_primary,81,7.0382782153943095,0,strict_match,True,True,False,False,False,high_confidence,18,0.2,0.35
3,param_path,RP003,113,07-23,formal_primary,headline_primary,True,,RP004,formal_primary,113,7.6862779726974155,0,strict_match,True,True,False,False,False,high_confidence,18,0.2,0.35
3,param_path,LP006,132,08-11,neighbor_competition,neighbor_local_peak,False,NG001,LP007,local_peak,131,2.9002692730443775,-1,strict_match,True,True,False,False,False,high_confidence,18,0.2,0.35
3,param_path,RP004,135,08-14,formal_primary,headline_primary,True,NG001,RP005,formal_primary,135,2.9179933612201028,0,strict_match,True,True,False,False,False,high_confidence,18,0.2,0.35
3,param_path,RP005,160,09-08,formal_primary,headline_primary,True,,RP006,formal_primary,160,5.555489594981443,0,strict_match,True,True,False,False,False,high_confidence,18,0.2,0.35
4,param_path,RP001,45,05-16,formal_primary,headline_primary,True,,RP001,formal_primary,45,4.780767914260572,0,strict_match,True,True,False,False,False,high_confidence,18,0.2,0.4
4,param_path,RP002,81,06-21,formal_primary,headline_primary,True,,RP002,formal_primary,81,7.0382782153943095,0,strict_match,True,True,False,False,False,high_confidence,18,0.2,0.4
4,param_path,RP003,113,07-23,formal_primary,headline_primary,True,,RP004,formal_primary,113,7.6862779726974155,0,strict_match,True,True,False,False,False,high_confidence,18,0.2,0.4
4,param_path,LP006,132,08-11,neighbor_competition,neighbor_local_peak,False,NG001,LP007,local_peak,131,2.9002692730443775,-1,strict_match,True,True,False,False,False,high_confidence,18,0.2,0.4
4,param_path,RP004,135,08-14,formal_primary,headline_primary,True,NG001,RP005,formal_primary,135,2.9179933612201028,0,strict_match,True,True,False,False,False,high_confidence,18,0.2,0.4
4,param_path,RP005,160,09-08,formal_primary,headline_primary,True,,RP006,formal_primary,160,5.555489594981443,0,strict_match,True,True,False,False,False,high_confidence,18,0.2,0.4
5,param_path,RP001,45,05-16,formal_primary,headline_primary,True,,RP001,formal_primary,45,4.780767914260572,0,strict_match,True,True,False,False,False,high_confidence,18,0.2,0.45
