window_id,config_id,smoothing,detector_width,band_half_width,search_mode,selection_rule,P_peak_day,V_peak_day,H_peak_day,Je_peak_day,Jw_peak_day,sequence_string,sequence_with_days,front_object,last_object
W045,smooth5__baseline_w20_b10__baseline_search__baseline_rule,smooth5,20,10,baseline_search,baseline_rule,43.0,43.0,38.0,36.0,48.0,Je -> H -> P/V -> Jw,Je(day36/5月7日) -> H(day38/5月9日) -> P/V(day43/5月14日) -> Jw(day48/5月19日),Je,Jw
W045,smooth5__baseline_w20_b10__baseline_search__closest_anchor,smooth5,20,10,baseline_search,closest_anchor,43.0,43.0,38.0,36.0,48.0,Je -> H -> P/V -> Jw,Je(day36/5月7日) -> H(day38/5月9日) -> P/V(day43/5月14日) -> Jw(day48/5月19日),Je,Jw
W045,smooth5__baseline_w20_b10__baseline_search__max_overlap,smooth5,20,10,baseline_search,max_overlap,43.0,43.0,38.0,36.0,48.0,Je -> H -> P/V -> Jw,Je(day36/5月7日) -> H(day38/5月9日) -> P/V(day43/5月14日) -> Jw(day48/5月19日),Je,Jw
W045,smooth5__baseline_w20_b10__baseline_search__max_score,smooth5,20,10,baseline_search,max_score,43.0,69.0,17.0,30.0,69.0,H -> Je -> P -> Jw/V,H(day17/4月18日) -> Je(day30/5月1日) -> P(day43/5月14日) -> Jw/V(day69/6月9日),H,Jw/V
W045,smooth5__baseline_w20_b10__narrow_search__baseline_rule,smooth5,20,10,narrow_search,baseline_rule,43.0,43.0,48.0,46.0,48.0,P/V -> Je -> H/Jw,P/V(day43/5月14日) -> Je(day46/5月17日) -> H/Jw(day48/5月19日),P/V,H/Jw
W045,smooth5__baseline_w20_b10__narrow_search__closest_anchor,smooth5,20,10,narrow_search,closest_anchor,43.0,43.0,48.0,46.0,48.0,P/V -> Je -> H/Jw,P/V(day43/5月14日) -> Je(day46/5月17日) -> H/Jw(day48/5月19日),P/V,H/Jw
W045,smooth5__baseline_w20_b10__narrow_search__max_overlap,smooth5,20,10,narrow_search,max_overlap,43.0,43.0,38.0,46.0,48.0,H -> P/V -> Je -> Jw,H(day38/5月9日) -> P/V(day43/5月14日) -> Je(day46/5月17日) -> Jw(day48/5月19日),H,Jw
W045,smooth5__baseline_w20_b10__narrow_search__max_score,smooth5,20,10,narrow_search,max_score,43.0,43.0,32.0,30.0,48.0,Je -> H -> P/V -> Jw,Je(day30/5月1日) -> H(day32/5月3日) -> P/V(day43/5月14日) -> Jw(day48/5月19日),Je,Jw
W045,smooth5__baseline_w20_b10__wide_search__baseline_rule,smooth5,20,10,wide_search,baseline_rule,43.0,43.0,38.0,30.0,48.0,Je -> H -> P/V -> Jw,Je(day30/5月1日) -> H(day38/5月9日) -> P/V(day43/5月14日) -> Jw(day48/5月19日),Je,Jw
W045,smooth5__baseline_w20_b10__wide_search__closest_anchor,smooth5,20,10,wide_search,closest_anchor,43.0,43.0,38.0,30.0,48.0,Je -> H -> P/V -> Jw,Je(day30/5月1日) -> H(day38/5月9日) -> P/V(day43/5月14日) -> Jw(day48/5月19日),Je,Jw
W045,smooth5__baseline_w20_b10__wide_search__max_overlap,smooth5,20,10,wide_search,max_overlap,43.0,43.0,38.0,30.0,48.0,Je -> H -> P/V -> Jw,Je(day30/5月1日) -> H(day38/5月9日) -> P/V(day43/5月14日) -> Jw(day48/5月19日),Je,Jw
W045,smooth5__baseline_w20_b10__wide_search__max_score,smooth5,20,10,wide_search,max_score,43.0,74.0,17.0,30.0,74.0,H -> Je -> P -> Jw/V,H(day17/4月18日) -> Je(day30/5月1日) -> P(day43/5月14日) -> Jw/V(day74/6月14日),H,Jw/V
W045,smooth5__narrow_w16_b8__baseline_search__baseline_rule,smooth5,16,8,baseline_search,baseline_rule,44.0,43.0,39.0,35.0,42.0,Je -> H -> Jw/V/P,Je(day35/5月6日) -> H(day39/5月10日) -> Jw/V/P(day43/5月14日),Je,Jw/V/P
W045,smooth5__narrow_w16_b8__baseline_search__closest_anchor,smooth5,16,8,baseline_search,closest_anchor,44.0,43.0,39.0,35.0,42.0,Je -> H -> Jw/V/P,Je(day35/5月6日) -> H(day39/5月10日) -> Jw/V/P(day43/5月14日),Je,Jw/V/P
