window_id,object,selected_candidate_id,selected_peak_day,selected_window_start,selected_window_end,selected_role,support_class,selection_reason,excluded_candidates,early_secondary_candidates,late_secondary_candidates,mode,phase_group,phase_group_size,years_in_phase_group,group_role
W045,P,CP001,48,38,58,within_system_window,candidate_window,system_relevant_first,CP002@31:candidate_window,,,1,PC_high,15,1980;1983;1987;1991;1994;1995;1998;2003;2010;2015;2016;2018;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W045,V,CP001,47,37,57,within_system_window,accepted_window,system_relevant_first,CP002@30:candidate_window;CP003@15:weak_window,CP003@15:weak_window,,1,PC_high,15,1980;1983;1987;1991;1994;1995;1998;2003;2010;2015;2016;2018;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W045,H,CP001,38,28,48,front_or_early,candidate_window,system_relevant_first,CP002@50:candidate_window,,,1,PC_high,15,1980;1983;1987;1991;1994;1995;1998;2003;2010;2015;2016;2018;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W045,Je,CP003,44,34,54,within_system_window,candidate_window,system_relevant_first,CP001@26:candidate_window;CP002@15:unstable_window;CP004@52:weak_window,CP001@26:candidate_window;CP002@15:unstable_window,,1,PC_high,15,1980;1983;1987;1991;1994;1995;1998;2003;2010;2015;2016;2018;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W045,Jw,CP001,45,35,55,within_system_window,accepted_window,system_relevant_first,CP002@58:weak_window;CP003@20:candidate_window;CP004@35:weak_window,CP003@20:candidate_window,CP002@58:weak_window,1,PC_high,15,1980;1983;1987;1991;1994;1995;1998;2003;2010;2015;2016;2018;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W045,P,CP001,45,35,55,within_system_window,accepted_window,system_relevant_first,CP002@52:weak_window;CP003@23:candidate_window;CP004@35:weak_window,CP003@23:candidate_window,,1,PC_low,15,1979;1981;1982;1984;1985;1989;1992;1996;1997;1999;2000;2007;2008;2009;2013,PC_phase_group_multi_year_peak_not_single_year_peak
W045,V,CP002,43,33,53,within_system_window,candidate_window,system_relevant_first,CP001@52:candidate_window;CP003@30:candidate_window,,,1,PC_low,15,1979;1981;1982;1984;1985;1989;1992;1996;1997;1999;2000;2007;2008;2009;2013,PC_phase_group_multi_year_peak_not_single_year_peak
W045,H,CP002,33,23,43,front_or_early,candidate_window,system_relevant_first,CP001@20:candidate_window,CP001@20:candidate_window,,1,PC_low,15,1979;1981;1982;1984;1985;1989;1992;1996;1997;1999;2000;2007;2008;2009;2013,PC_phase_group_multi_year_peak_not_single_year_peak
W045,Je,CP001,46,36,56,within_system_window,accepted_window,system_relevant_first,CP002@34:accepted_window;CP003@23:weak_window,CP003@23:weak_window,,1,PC_low,15,1979;1981;1982;1984;1985;1989;1992;1996;1997;1999;2000;2007;2008;2009;2013,PC_phase_group_multi_year_peak_not_single_year_peak
W045,Jw,CP001,41,31,51,within_system_window,accepted_window,system_relevant_first,CP002@55:candidate_window;CP003@28:candidate_window,CP003@28:candidate_window,CP002@55:candidate_window,1,PC_low,15,1979;1981;1982;1984;1985;1989;1992;1996;1997;1999;2000;2007;2008;2009;2013,PC_phase_group_multi_year_peak_not_single_year_peak
W045,P,CP001,40,30,50,within_system_window,candidate_window,system_relevant_first,CP002@25:weak_window;CP003@19:weak_window,CP002@25:weak_window;CP003@19:weak_window,,1,PC_mid,15,1986;1988;1990;1993;2001;2002;2004;2005;2006;2011;2012;2014;2017;2020;2022,PC_phase_group_multi_year_peak_not_single_year_peak
W045,V,CP001,42,32,52,within_system_window,accepted_window,system_relevant_first,CP002@18:candidate_window,CP002@18:candidate_window,,1,PC_mid,15,1986;1988;1990;1993;2001;2002;2004;2005;2006;2011;2012;2014;2017;2020;2022,PC_phase_group_multi_year_peak_not_single_year_peak
W045,H,CP004,45,35,55,within_system_window,weak_window,system_relevant_first,CP001@28:weak_window;CP002@31:weak_window;CP003@21:weak_window,CP001@28:weak_window;CP003@21:weak_window,,1,PC_mid,15,1986;1988;1990;1993;2001;2002;2004;2005;2006;2011;2012;2014;2017;2020;2022,PC_phase_group_multi_year_peak_not_single_year_peak
W045,Je,CP001,48,38,58,within_system_window,candidate_window,system_relevant_first,CP002@26:candidate_window,CP002@26:candidate_window,,1,PC_mid,15,1986;1988;1990;1993;2001;2002;2004;2005;2006;2011;2012;2014;2017;2020;2022,PC_phase_group_multi_year_peak_not_single_year_peak
W045,Jw,CP001,38,28,48,front_or_early,candidate_window,system_relevant_first,CP002@17:weak_window;CP003@50:weak_window,CP002@17:weak_window,,1,PC_mid,15,1986;1988;1990;1993;2001;2002;2004;2005;2006;2011;2012;2014;2017;2020;2022,PC_phase_group_multi_year_peak_not_single_year_peak
W045,P,CP001,47,37,57,within_system_window,accepted_window,system_relevant_first,CP002@37:candidate_window;CP003@27:candidate_window;CP004@20:weak_window,CP003@27:candidate_window;CP004@20:weak_window,,2,PC_high,15,1980;1984;1989;1991;1995;1996;1999;2000;2008;2013;2014;2015;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W045,V,CP001,45,35,55,within_system_window,accepted_window,system_relevant_first,CP002@28:weak_window;CP003@21:candidate_window,CP002@28:weak_window;CP003@21:candidate_window,,2,PC_high,15,1980;1984;1989;1991;1995;1996;1999;2000;2008;2013;2014;2015;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W045,H,CP001,49,39,59,late_or_catchup,candidate_window,system_relevant_first,CP002@23:weak_window,CP002@23:weak_window,,2,PC_high,15,1980;1984;1989;1991;1995;1996;1999;2000;2008;2013;2014;2015;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W045,Je,CP002,49,39,59,late_or_catchup,candidate_window,system_relevant_first,CP001@23:candidate_window;CP003@36:weak_window,CP001@23:candidate_window,,2,PC_high,15,1980;1984;1989;1991;1995;1996;1999;2000;2008;2013;2014;2015;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W045,Jw,CP001,45,35,55,within_system_window,candidate_window,system_relevant_first,CP002@22:candidate_window;CP003@33:weak_window,CP002@22:candidate_window,,2,PC_high,15,1980;1984;1989;1991;1995;1996;1999;2000;2008;2013;2014;2015;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W045,P,CP001,46,36,56,within_system_window,accepted_window,system_relevant_first,CP002@31:accepted_window,,,2,PC_low,15,1979;1981;1982;1985;1988;1992;1993;1997;1998;2002;2003;2004;2005;2011;2020,PC_phase_group_multi_year_peak_not_single_year_peak
W045,V,CP001,45,35,55,within_system_window,accepted_window,system_relevant_first,CP002@28:accepted_window,CP002@28:accepted_window,,2,PC_low,15,1979;1981;1982;1985;1988;1992;1993;1997;1998;2002;2003;2004;2005;2011;2020,PC_phase_group_multi_year_peak_not_single_year_peak
W045,H,CP003,46,36,56,within_system_window,accepted_window,system_relevant_first,CP001@20:weak_window;CP002@31:candidate_window,CP001@20:weak_window,,2,PC_low,15,1979;1981;1982;1985;1988;1992;1993;1997;1998;2002;2003;2004;2005;2011;2020,PC_phase_group_multi_year_peak_not_single_year_peak
W045,Je,CP001,45,35,55,within_system_window,accepted_window,system_relevant_first,CP002@27:accepted_window,CP002@27:accepted_window,,2,PC_low,15,1979;1981;1982;1985;1988;1992;1993;1997;1998;2002;2003;2004;2005;2011;2020,PC_phase_group_multi_year_peak_not_single_year_peak
W045,Jw,CP001,38,28,48,front_or_early,accepted_window,system_relevant_first,CP002@55:weak_window,,CP002@55:weak_window,2,PC_low,15,1979;1981;1982;1985;1988;1992;1993;1997;1998;2002;2003;2004;2005;2011;2020,PC_phase_group_multi_year_peak_not_single_year_peak
W045,P,CP001,43,33,53,within_system_window,accepted_window,system_relevant_first,CP002@57:weak_window;CP003@25:candidate_window,CP003@25:candidate_window,CP002@57:weak_window,2,PC_mid,15,1983;1986;1987;1990;1994;2001;2006;2007;2009;2010;2012;2016;2017;2018;2022,PC_phase_group_multi_year_peak_not_single_year_peak
W045,V,CP001,46,36,56,within_system_window,accepted_window,system_relevant_first,CP002@27:accepted_window;CP003@17:weak_window,CP002@27:accepted_window;CP003@17:weak_window,,2,PC_mid,15,1983;1986;1987;1990;1994;2001;2006;2007;2009;2010;2012;2016;2017;2018;2022,PC_phase_group_multi_year_peak_not_single_year_peak
W045,H,CP002,34,24,44,front_or_early,candidate_window,system_relevant_first,CP001@18:weak_window,CP001@18:weak_window,,2,PC_mid,15,1983;1986;1987;1990;1994;2001;2006;2007;2009;2010;2012;2016;2017;2018;2022,PC_phase_group_multi_year_peak_not_single_year_peak
W045,Je,CP003,36,26,46,front_or_early,weak_window,system_relevant_first,CP001@28:accepted_window;CP002@56:candidate_window,CP001@28:accepted_window,CP002@56:candidate_window,2,PC_mid,15,1983;1986;1987;1990;1994;2001;2006;2007;2009;2010;2012;2016;2017;2018;2022,PC_phase_group_multi_year_peak_not_single_year_peak
