window_id,object,observed_peak_day,bootstrap_peak_median,bootstrap_peak_q025,bootstrap_peak_q975,abs_error_median,abs_error_q75,abs_error_q90,abs_error_q975,support_class,included_in_tau_estimation,mode,phase_group,phase_group_size,years_in_phase_group,group_role
W045,P,48.0,47.0,36.475,51.0,2.0,3.0,9.0,11.524999999999977,candidate_window,True,1,PC_high,15,1980;1983;1987;1991;1994;1995;1998;2003;2010;2015;2016;2018;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W045,V,47.0,48.0,42.0,51.0,2.0,3.0,4.0,5.0,accepted_window,True,1,PC_high,15,1980;1983;1987;1991;1994;1995;1998;2003;2010;2015;2016;2018;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W045,H,38.0,42.0,35.0,52.0,4.0,9.0,13.0,14.0,candidate_window,True,1,PC_high,15,1980;1983;1987;1991;1994;1995;1998;2003;2010;2015;2016;2018;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W045,Je,44.0,44.0,40.0,52.0,2.0,3.0,6.100000000000023,8.0,candidate_window,True,1,PC_high,15,1980;1983;1987;1991;1994;1995;1998;2003;2010;2015;2016;2018;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W045,Jw,45.0,45.0,43.0,47.52499999999998,1.0,1.0,2.0,3.0,accepted_window,True,1,PC_high,15,1980;1983;1987;1991;1994;1995;1998;2003;2010;2015;2016;2018;2019;2021;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W045,P,45.0,45.0,40.0,51.0,1.0,2.0,4.100000000000023,6.0,accepted_window,True,1,PC_low,15,1979;1981;1982;1984;1985;1989;1992;1996;1997;1999;2000;2007;2008;2009;2013,PC_phase_group_multi_year_peak_not_single_year_peak
W045,V,43.0,43.0,40.0,51.0,1.0,2.0,6.0,8.0,candidate_window,True,1,PC_low,15,1979;1981;1982;1984;1985;1989;1992;1996;1997;1999;2000;2007;2008;2009;2013,PC_phase_group_multi_year_peak_not_single_year_peak
W045,H,33.0,44.0,31.0,53.0,11.0,14.0,17.0,20.0,candidate_window,True,1,PC_low,15,1979;1981;1982;1984;1985;1989;1992;1996;1997;1999;2000;2007;2008;2009;2013,PC_phase_group_multi_year_peak_not_single_year_peak
W045,Je,46.0,46.0,43.475,51.0,1.0,2.0,4.0,6.0,accepted_window,True,1,PC_low,15,1979;1981;1982;1984;1985;1989;1992;1996;1997;1999;2000;2007;2008;2009;2013,PC_phase_group_multi_year_peak_not_single_year_peak
W045,Jw,41.0,41.0,38.0,48.0,2.0,2.0,3.0,7.0,accepted_window,True,1,PC_low,15,1979;1981;1982;1984;1985;1989;1992;1996;1997;1999;2000;2007;2008;2009;2013,PC_phase_group_multi_year_peak_not_single_year_peak
W045,P,40.0,41.0,35.475,50.0,1.0,4.0,7.0,10.0,candidate_window,True,1,PC_mid,15,1986;1988;1990;1993;2001;2002;2004;2005;2006;2011;2012;2014;2017;2020;2022,PC_phase_group_multi_year_peak_not_single_year_peak
