window_id,mode,object_A,object_B,full_sample_order_direction,full_sample_order_probability,full_sample_order_level,pc_high_order_direction,pc_high_order_probability,pc_high_order_level,pc_mid_order_direction,pc_mid_order_probability,pc_mid_order_level,pc_low_order_direction,pc_low_order_probability,pc_low_order_level,opposite_order_between_pc_high_low,group_internal_stabilization,mode_stability_status,eof_explains_peak_order_instability,recommended_interpretation
W045,1,H,Je,A_earlier,0.737,unresolved,A_earlier,0.646,unresolved,A_earlier,0.676,unresolved,A_earlier,0.612,unresolved,False,False,caution_mode,not_supported,PC phase grouping does not explain V9 peak/order instability in this audit
W045,1,H,Jw,A_earlier,0.722,unresolved,A_earlier,0.672,unresolved,B_earlier,0.534,unresolved,B_earlier,0.61,unresolved,True,False,caution_mode,not_supported,PC phase grouping does not explain V9 peak/order instability in this audit
W045,1,Je,Jw,B_earlier,0.715,unresolved,A_earlier,0.626,unresolved,B_earlier,0.702,unresolved,B_earlier,0.926,usable_90,True,True,caution_mode,partial_eof_mode_hint,PC phase has some relation to peak/order instability; hypothesis-generating only
W045,1,P,H,B_earlier,0.718,unresolved,B_earlier,0.686,unresolved,A_earlier,0.692,unresolved,B_earlier,0.542,unresolved,False,False,caution_mode,not_supported,PC phase grouping does not explain V9 peak/order instability in this audit
W045,1,P,Je,A_earlier,0.727,unresolved,B_earlier,0.682,unresolved,A_earlier,0.87,unresolved,A_earlier,0.74,unresolved,True,False,caution_mode,not_supported,PC phase grouping does not explain V9 peak/order instability in this audit
W045,1,P,Jw,B_earlier,0.582,unresolved,B_earlier,0.614,unresolved,B_earlier,0.504,unresolved,B_earlier,0.81,unresolved,False,False,caution_mode,not_supported,PC phase grouping does not explain V9 peak/order instability in this audit
W045,1,P,V,A_earlier,0.578,unresolved,A_earlier,0.536,unresolved,A_earlier,0.696,unresolved,B_earlier,0.686,unresolved,True,False,caution_mode,not_supported,PC phase grouping does not explain V9 peak/order instability in this audit
W045,1,V,H,B_earlier,0.741,unresolved,B_earlier,0.748,unresolved,A_earlier,0.58,unresolved,A_earlier,0.502,unresolved,True,False,caution_mode,not_supported,PC phase grouping does not explain V9 peak/order instability in this audit
W045,1,V,Je,A_earlier,0.602,unresolved,B_earlier,0.73,unresolved,A_earlier,0.812,unresolved,A_earlier,0.874,unresolved,True,False,caution_mode,not_supported,PC phase grouping does not explain V9 peak/order instability in this audit
W045,1,V,Jw,B_earlier,0.658,unresolved,B_earlier,0.702,unresolved,B_earlier,0.588,unresolved,B_earlier,0.638,unresolved,False,False,caution_mode,not_supported,PC phase grouping does not explain V9 peak/order instability in this audit
