window_id,target_name,object_A,object_B,Y_definition,target_priority,target_source_reason,method_role,target_pair,unordered_pair,target_set,was_in_original_v9_1_f,result_scope_note
W045,W045_P_vs_V_delta_peak,P,V,delta_B_minus_A = peak_B - peak_A; positive means A earlier than B,added_all_pair,added by V9.1_f_all_pairs_a to audit target-selection coverage,bootstrap_composite_MCA_target_not_physical_type,P-V,P-V,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W045,W045_P_vs_H_delta_peak,P,H,delta_B_minus_A = peak_B - peak_A; positive means A earlier than B,added_all_pair,added by V9.1_f_all_pairs_a to audit target-selection coverage,bootstrap_composite_MCA_target_not_physical_type,P-H,H-P,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W045,W045_P_vs_Je_delta_peak,P,Je,delta_B_minus_A = peak_B - peak_A; positive means A earlier than B,added_all_pair,added by V9.1_f_all_pairs_a to audit target-selection coverage,bootstrap_composite_MCA_target_not_physical_type,P-Je,Je-P,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W045,W045_P_vs_Jw_delta_peak,P,Jw,delta_B_minus_A = peak_B - peak_A; positive means A earlier than B,original_priority,original V9.1_f priority target; orientation preserved for direct comparison,bootstrap_composite_MCA_target_not_physical_type,P-Jw,Jw-P,original_priority,True,all-pair extension result; original priority targets are marked separately
W045,W045_V_vs_H_delta_peak,V,H,delta_B_minus_A = peak_B - peak_A; positive means A earlier than B,added_all_pair,added by V9.1_f_all_pairs_a to audit target-selection coverage,bootstrap_composite_MCA_target_not_physical_type,V-H,H-V,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W045,W045_V_vs_Je_delta_peak,V,Je,delta_B_minus_A = peak_B - peak_A; positive means A earlier than B,added_all_pair,added by V9.1_f_all_pairs_a to audit target-selection coverage,bootstrap_composite_MCA_target_not_physical_type,V-Je,Je-V,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W045,W045_V_vs_Jw_delta_peak,V,Jw,delta_B_minus_A = peak_B - peak_A; positive means A earlier than B,original_priority,original V9.1_f priority target; orientation preserved for direct comparison,bootstrap_composite_MCA_target_not_physical_type,V-Jw,Jw-V,original_priority,True,all-pair extension result; original priority targets are marked separately
W045,W045_H_vs_Je_delta_peak,H,Je,delta_B_minus_A = peak_B - peak_A; positive means A earlier than B,added_all_pair,added by V9.1_f_all_pairs_a to audit target-selection coverage,bootstrap_composite_MCA_target_not_physical_type,H-Je,H-Je,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W045,W045_H_vs_Jw_delta_peak,H,Jw,delta_B_minus_A = peak_B - peak_A; positive means A earlier than B,added_all_pair,added by V9.1_f_all_pairs_a to audit target-selection coverage,bootstrap_composite_MCA_target_not_physical_type,H-Jw,H-Jw,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W045,W045_Je_vs_Jw_delta_peak,Je,Jw,delta_B_minus_A = peak_B - peak_A; positive means A earlier than B,original_priority,original V9.1_f priority target; orientation preserved for direct comparison,bootstrap_composite_MCA_target_not_physical_type,Je-Jw,Je-Jw,original_priority,True,all-pair extension result; original priority targets are marked separately
W081,W081_P_vs_V_delta_peak,P,V,delta_B_minus_A = peak_B - peak_A; positive means A earlier than B,original_priority,original V9.1_f priority target; orientation preserved for direct comparison,bootstrap_composite_MCA_target_not_physical_type,P-V,P-V,original_priority,True,all-pair extension result; original priority targets are marked separately
