window,source,target,source_family,target_family,same_family_edge,tau,graph_entry,pcmci_graph_selected,val_matrix,p_matrix,edge_interpretation,direction_semantics,q_within_window_tau0,tau0_supported,support_rule
S1,P_main_band_share,V_strength,P,V,False,0,,False,0.01198250054158035,0.6416378690800248,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.8742594735702358,False,tau0_graph_selected_and_window_BH_q_le_alpha
S1,P_main_band_share,V_pos_centroid_lat,P,V,False,0,,False,-0.022036796962738615,0.3916839602553349,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.7714586257218272,False,tau0_graph_selected_and_window_BH_q_le_alpha
S1,P_main_band_share,V_NS_diff,P,V,False,0,,False,0.013289840596773224,0.605839537344064,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.8742594735702358,False,tau0_graph_selected_and_window_BH_q_le_alpha
S1,P_main_band_share,H_strength,P,H,False,0,,False,-0.036069912125667514,0.1612362954715554,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6710916081789062,False,tau0_graph_selected_and_window_BH_q_le_alpha
S1,P_main_band_share,H_centroid_lat,P,H,False,0,,False,-0.03461602796777382,0.17794923272615842,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.6949826839132821,False,tau0_graph_selected_and_window_BH_q_le_alpha
S1,P_main_band_share,H_west_extent_lon,P,H,False,0,,False,-0.02852221233822112,0.2678568810602054,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.763378462691161,False,tau0_graph_selected_and_window_BH_q_le_alpha
S1,P_main_band_share,H_zonal_width,P,H,False,0,,False,-0.02164632094051734,0.40013164468228996,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.7714586257218272,False,tau0_graph_selected_and_window_BH_q_le_alpha
S1,P_main_band_share,Je_strength,P,Je,False,0,,False,-0.018584912862975592,0.47006834186677804,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.809029505109494,False,tau0_graph_selected_and_window_BH_q_le_alpha
S1,P_main_band_share,Je_axis_lat,P,Je,False,0,,False,-0.007483261160730937,0.7710248253236515,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.9372737507178526,False,tau0_graph_selected_and_window_BH_q_le_alpha
S1,P_main_band_share,Je_meridional_width,P,Je,False,0,,False,-0.016740785735111483,0.5148369577969507,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.809029505109494,False,tau0_graph_selected_and_window_BH_q_le_alpha
S1,P_main_band_share,Jw_strength,P,Jw,False,0,,False,0.005150669281516742,0.8412339513699859,contemporaneous_diagnostic,"source(t)->target(t), contemporaneous orientation diagnostic only",0.9653672708715002,False,tau0_graph_selected_and_window_BH_q_le_alpha
