field,feature_index,lat_value,raw_mean_day,raw_std_day,z_mean_day,z_std_day
P,0,15.0,7.551015898426921,2.846577616733676,2.436146522606058e-16,0.9999999999999998
P,1,17.0,7.014995664185539,2.7738826015434483,-1.380483029476766e-15,0.9999999999999998
P,2,19.0,6.497481464121272,2.7722847387738976,7.308439567818173e-16,1.0
P,3,21.0,7.2885736907999465,2.6274306476686218,2.1113269862585835e-15,0.9999999999999994
P,4,23.0,7.471495502845776,1.526936496569662,8.729525039338374e-16,1.0000000000000007
P,5,25.0,7.105319893843307,1.558998171610839,1.1368683772161603e-15,0.9999999999999996
P,6,27.0,6.416307036180377,1.8065732993325487,-4.0602442043434295e-16,1.0000000000000002
P,7,29.0,6.678862362566375,1.8349985704545424,4.872293045212116e-16,1.0
P,8,31.0,5.886978136542087,1.8692911399072016,-5.988860201406559e-16,0.9999999999999998
P,9,33.0,4.681550581715925,1.7631479251702944,1.6240976817373719e-16,0.9999999999999998
P,10,35.0,3.5701949743111854,1.5196978032332826,8.120488408686859e-17,1.0
P,11,37.0,2.9708567145485443,1.4173020421603881,8.120488408686859e-16,0.9999999999999998
P,12,39.0,2.7276899789686473,1.3838607578990254,-7.308439567818173e-16,1.0
V,0,10.0,1.1287841210249299,0.7781317045842304,7.714463988252516e-16,0.9999999999999999
V,1,12.0,1.3875097955885316,0.720207529184087,-4.669280834994944e-16,1.0
V,2,14.0,1.6366530582105745,0.7137969973368832,4.77078694010353e-16,0.9999999999999998
V,3,16.0,2.003429350304231,0.8738481172063427,1.502290355607069e-15,1.0
V,4,18.0,2.2694929123254473,1.061443401468341,-2.0301221021717148e-17,1.0
V,5,20.0,2.442780875036755,1.250247025695879,1.1368683772161603e-15,1.0
V,6,22.0,2.8762503339241072,1.5921199892777826,8.932537249555546e-16,1.0
V,7,24.0,3.032103483006638,1.7665840414256972,4.466268624777773e-16,1.0
V,8,26.0,2.6619286570103036,1.8067836716260792,-1.1571695982378775e-15,0.9999999999999997
V,9,28.0,2.1239377179134444,1.497176266993266,-2.1316282072803005e-16,1.0
V,10,30.0,1.542325563115779,1.2507112458395762,4.0602442043434296e-17,0.9999999999999999
H,0,15.0,5870.418355375374,8.200365797725865,3.808509063674137e-14,1.0
H,1,17.0,5871.317577770058,7.897507690111094,-1.2034563821673925e-13,0.9999999999999998
H,2,19.0,5871.484450855163,6.622382104244315,2.7479732774996333e-13,0.9999999999999998
H,3,21.0,5870.404372055525,5.82885083135065,-2.416251326004775e-13,0.9999999999999997
H,4,23.0,5867.385909924233,9.634557797507854,6.252776074688882e-14,0.9999999999999998
H,5,25.0,5861.770874685085,17.430760071962855,-6.825270507501305e-14,1.0
H,6,27.0,5852.869333764397,27.28880907074987,1.1920876983952308e-13,1.0
H,7,29.0,5840.384353867296,37.99920245075669,-6.325860470367063e-14,1.0000000000000002
H,8,31.0,5824.281293020788,48.57676017181103,3.467448550509289e-14,0.9999999999999998
H,9,33.0,5804.725033061952,58.38493273769546,-1.9326762412674726e-14,1.0000000000000004
H,10,35.0,5782.461845107938,67.10960018010626,4.8722930452121156e-15,0.9999999999999999
Je,0,25.0,7.363011079224971,13.786017128565092,2.436146522606058e-16,0.9999999999999999
Je,1,27.0,10.795787431741848,15.44690377602039,8.120488408686859e-17,0.9999999999999999
Je,2,29.0,14.863756875152466,16.461085183323263,1.6240976817373719e-16,0.9999999999999998
Je,3,31.0,19.297432367804443,16.623801742347865,-5.684341886080802e-16,1.0
Je,4,33.0,23.668789170681816,15.661623363468612,6.496390726949487e-16,1.0
Je,5,35.0,27.336039046645876,13.556729041138393,-6.496390726949487e-16,1.0
Je,6,37.0,29.67716749034581,10.727874693385278,-1.9489172180848463e-15,1.0
Je,7,39.0,30.30688658582821,7.664600556590496,-1.908314776041412e-15,1.0
Je,8,41.0,29.299155276370968,5.350251188414517,5.278317465646459e-16,1.0
Je,9,43.0,27.0104940316219,4.762590040077409,-1.9387666075739876e-15,0.9999999999999998
Je,10,45.0,23.844321319879022,5.266553345519099,4.0602442043434296e-17,0.9999999999999998
Jw,0,25.0,5.091065325653257,15.700857005769528,1.6240976817373719e-16,0.9999999999999999
Jw,1,27.0,9.244983668450717,15.3296444256022,-3.2481953634747437e-16,1.0
Jw,2,29.0,13.54329557994682,13.844283010290114,-8.932537249555546e-16,0.9999999999999998
Jw,3,31.0,17.57779333566657,11.246426585882938,-3.2481953634747437e-16,0.9999999999999998
Jw,4,33.0,21.46896426177367,8.344543387233802,4.0602442043434295e-16,1.0
Jw,5,35.0,25.334783494295216,6.096035954928158,3.2075929214313092e-15,0.9999999999999997
Jw,6,37.0,28.70921559234429,4.699627899714598,2.7000623958883807e-15,1.0
Jw,7,39.0,30.664390674005087,4.010873940672834,-2.7203636169100977e-15,1.0
Jw,8,41.0,30.567697203973538,3.724918084673134,-1.827109891954543e-15,1.0
Jw,9,43.0,28.577164237421687,3.5408795947259075,8.120488408686859e-17,1.0000000000000002
Jw,10,45.0,25.698029809785154,3.2763045345278035,-4.953497929298984e-15,0.9999999999999999
