window,source_variable,target_variable,source_family,target_family,lead_lag_label,lead_lag_group,direction_label,same_day_coupling_flag,p_pos_surrogate,q_pos_within_window,q_pos_global,p_pos_audit_surrogate,q_pos_audit_within_window,q_pos_audit_global,audit_support_shift,positive_peak_lag,positive_peak_signed_r,positive_peak_abs_r,negative_peak_lag,negative_peak_signed_r,negative_peak_abs_r,lag0_signed_r,lag0_abs_r,D_pos_neg,D_pos_neg_CI90_low,D_pos_neg_CI90_high,D_pos_neg_CI95_low,D_pos_neg_CI95_high,P_D_pos_neg_gt_0,D_pos_0,D_pos_0_CI90_low,D_pos_0_CI90_high,D_pos_0_CI95_low,D_pos_0_CI95_high,P_D_pos_0_gt_0,source_raw_phi,target_raw_phi,source_phi_after_clip,target_phi_after_clip,source_phi_clip_severity,target_phi_clip_severity,pair_phi_risk,source_phi_clip_amount,target_phi_clip_amount,evidence_tier,evidence_tier_reason,recommended_usage,failure_reason,risk_note,suggested_reverse_direction,D_pos_neg_robustness,D_pos_0_robustness,D_pos_neg_bootstrap_mean,D_pos_neg_CI90_low_robustness,D_pos_neg_CI90_high_robustness,D_pos_neg_CI95_low_robustness,D_pos_neg_CI95_high_robustness,P_D_pos_neg_gt_0_robustness,D_pos_0_bootstrap_mean,D_pos_0_CI90_low_robustness,D_pos_0_CI90_high_robustness,D_pos_0_CI95_low_robustness,D_pos_0_CI95_high_robustness,P_D_pos_0_gt_0_robustness,LOO_direction_retained_fraction,LOO_flip_years,T_pos_null95,strength_excess,strength_ratio,statistical_support,strength_tier,sample_status,evidence_tier_prefix,lag_vs_tau0_label,forward_vs_reverse_label,same_day_coupling_detected,v1_stability_judgement,v1_stability_use_class,v1_stability_interpretation_guardrail,D_pos_0_used,D_pos_0_CI90_low_used,D_pos_0_CI90_high_used,P_D_pos_0_gt_0_used,D_pos_neg_used,D_pos_neg_CI90_low_used,D_pos_neg_CI90_high_used,P_D_pos_neg_gt_0_used,family_direction,T_pos_obs,T_pos_null90,T_pos_null95_null,T_pos_null99,T_neg_obs,T_neg_null90,T_neg_null95,T_neg_null99,T_0_obs,T_0_null90,T_0_null95,T_0_null99,S_pos,S_neg,S_0,audit_T_pos_obs,source_raw_phi_from_params,source_phi_after_clip_from_params,source_phi_clip_severity_from_params,target_raw_phi_from_params,target_phi_after_clip_from_params,target_phi_clip_severity_from_params,failure_stage,failure_reason_audit,margin_pos,audit_margin_pos
S1,V_strength,P_main_band_share,V,P,lead_lag_yes_with_same_day_coupling,lead_lag_yes,X_leads_Y_with_same_day_component,True,0.0009990009990009,0.0037523452157598,0.0076498087547811,0.0009990009990009,0.0069930069930069,0.0159151193633952,same_p_support_flag,1,0.7008638404837266,0.7008638404837266,-1,0.4968086503090844,0.4968086503090844,0.6394357292102134,0.6394357292102134,0.1953485644590638,0.1641159060254266,0.2348267500053824,0.158914021881075,0.2394483566047444,1.0,0.0434266247040496,0.0292219337510946,0.0604774525903427,0.0269542554659007,0.0629667371759129,1.0,0.9243060504122014,0.9183139809670569,0.9243060504122014,0.9183139809670569,none,none,none,0.0,0.0,Tier1b_audit_stable_with_same_day,main yes; audit-FDR pass; same-day coupling present; no severe phi risk,"usable strict temporal candidate, but must retain same-day coupling warning",,same_day_coupling_present,,0.1953485644590638,0.0434266247040496,0.1972077195851714,0.1641159060254266,0.2348267500053824,0.158914021881075,0.2394483566047444,1.0,0.044078489131354,0.0292219337510946,0.0604774525903427,0.0269542554659007,0.0629667371759129,1.0,1.0,0,0.1724377061931798,0.5284261342905467,4.064446552649902,supported,strong_above_null,ok,Tier1b,stable_lag_dominant,stable_forward_over_reverse,True,stable_lag_dominant,core_stable_lag_candidate,"Positive-lag band is stably stronger than both lag0 and reverse. Still temporal eligibility, not causal proof.",0.0434266247040496,0.0292219337510946,0.0604774525903427,1.0,0.1953485644590638,0.1641159060254266,0.2348267500053824,1.0,V→P,0.7008638404837266,0.1461317541572122,0.1724377061931798,0.2100882910909373,0.4968086503090844,0.1402925858836481,0.1637310804776014,0.2092199730374983,0.6394357292102134,0.1303436162095831,0.1544362196237163,0.2033514774372788,0.5284261342905467,0.3330775698314829,0.484999509586497,0.7008638404837266,0.9243060504122014,0.9243060504122014,none,0.9183139809670569,0.9183139809670569,none,passed_stable_lag,Entered stable_lag_dominant: positive lag stably exceeds lag0 and reverse.,0.5284261342905469,
S1,V_strength,P_south_band_share_18_24,V,P,lead_lag_ambiguous_same_day_dominant,lead_lag_ambiguous,same_day_dominant,True,0.0009990009990009,0.0037523452157598,0.0076498087547811,0.0009990009990009,0.0069930069930069,0.0159151193633952,same_p_support_flag,1,-0.3375973262222616,0.3375973262222616,-1,-0.3085772196205858,0.3085772196205858,-0.3654287782428007,0.3654287782428007,0.0248906611155438,-0.0178383492900966,0.066071533881205,-0.0254858159841889,0.0737103929011454,0.821,-0.0438994192919078,-0.0673023841413183,-0.020666996054342,-0.0711071547736254,-0.0173430986089442,0.001,0.9243060504122014,0.9057751234728724,0.9243060504122014,0.9057751234728724,none,none,none,0.0,0.0,Tier4b_ambiguous_same_day_dominant,ambiguous because same-day coupling is dominant or mixed,expanded temporal risk pool only; useful for feedback/same-day/transition audit,same_day_exceeds_positive_lag,same_day_dominant,,0.0248906611155438,-0.0438994192919078,0.0248409904240171,-0.0178383492900966,0.066071533881205,-0.0254858159841889,0.0737103929011454,0.821,-0.0440345380760796,-0.0673023841413183,-0.020666996054342,-0.0711071547736254,-0.0173430986089442,0.001,1.0,0,0.1651801869449909,0.1724171392772706,2.0438124721016924,supported,strong_above_null,ok,Tier4b,stable_tau0_dominant,forward_reverse_close_or_uncertain,True,not_supported,not_candidate,No V1 temporal-eligibility support under the existing V1 classification.,-0.0438994192919078,-0.0673023841413183,-0.020666996054342,0.001,0.0248906611155438,-0.0178383492900966,0.066071533881205,0.821,V→P,0.3375973262222616,0.1420197867011783,0.1651801869449909,0.1997958953280746,0.3085772196205858,0.1363540511781925,0.161050741458859,0.197958882735577,0.3654287782428007,0.1269822881259817,0.1491122196736221,0.1853185477836108,0.1724171392772706,0.1475264781617268,0.2163165585691785,0.3375973262222616,0.9243060504122014,0.9243060504122014,none,0.9057751234728724,0.9057751234728724,none,direction_uncertain,Forward-vs-reverse interval crosses zero; direction is not stable.,0.17241713927727068,
S1,V_strength,P_main_minus_south,V,P,lead_lag_yes_with_same_day_coupling,lead_lag_yes,X_leads_Y_with_same_day_component,True,0.0009990009990009,0.0037523452157598,0.0076498087547811,0.0009990009990009,0.0069930069930069,0.0159151193633952,same_p_support_flag,1,0.6279248840291017,0.6279248840291017,-1,0.4755847921180358,0.4755847921180358,0.5982293098780112,0.5982293098780112,0.148287039348144,0.116684339236159,0.1833992586428585,0.1126596237867641,0.1909963999062636,1.0,0.0132179511349701,-0.0036311546941555,0.0310276235857269,-0.0068423136446472,0.0347559480604424,0.902,0.9243060504122014,0.910114435704538,0.9243060504122014,0.910114435704538,none,none,none,0.0,0.0,Tier1b_audit_stable_with_same_day,main yes; audit-FDR pass; same-day coupling present; no severe phi risk,"usable strict temporal candidate, but must retain same-day coupling warning",,same_day_coupling_present,,0.148287039348144,0.0132179511349701,0.1492549073944555,0.116684339236159,0.1833992586428585,0.1126596237867641,0.1909963999062636,1.0,0.0134709401272217,-0.0036311546941555,0.0310276235857269,-0.0068423136446472,0.0347559480604424,0.902,1.0,0,0.1710432984487935,0.4568815855803081,3.6711457842768858,supported,strong_above_null,ok,Tier1b,lag_tau0_close_or_coupled,stable_forward_over_reverse,True,significant_lagged_but_tau0_coupled,temporal_candidate_with_tau0_coupling,"Forward direction is stable versus reverse, but positive lag is not stably stronger than lag0 or has same-day coupling.",0.0132179511349701,-0.0036311546941555,0.0310276235857269,0.902,0.148287039348144,0.116684339236159,0.1833992586428585,1.0,V→P,0.6279248840291017,0.1469486807560189,0.1710432984487935,0.2187570160828443,0.4755847921180358,0.1414479554374764,0.1669902458858717,0.2176924657733836,0.5982293098780112,0.132614060207344,0.1545656754326731,0.2104173575257052,0.4568815855803081,0.3085945462321641,0.443663634445338,0.6279248840291017,0.9243060504122014,0.9243060504122014,none,0.910114435704538,0.910114435704538,none,passed_tau0_coupled,"Entered temporal candidate pool, but lag0 is close/competitive.",0.4568815855803082,
S1,V_strength,P_spread_lat,V,P,lead_lag_yes_with_same_day_coupling,lead_lag_yes,X_leads_Y_with_same_day_component,True,0.0009990009990009,0.0037523452157598,0.0076498087547811,0.0009990009990009,0.0069930069930069,0.0159151193633952,same_p_support_flag,3,-0.4464681886117549,0.4464681886117549,-1,-0.1611549153782945,0.1611549153782945,-0.2412005737149276,0.2412005737149276,0.2864867564367897,0.2176708202303618,0.369728205291563,0.2078647896906678,0.382940256257815,1.0,0.1897616862862331,0.1347561496127036,0.2621956810307327,0.1257372477914321,0.2746186879334513,1.0,0.9243060504122014,0.8814436877970864,0.9243060504122014,0.8814436877970864,none,none,none,0.0,0.0,Tier1b_audit_stable_with_same_day,main yes; audit-FDR pass; same-day coupling present; no severe phi risk,"usable strict temporal candidate, but must retain same-day coupling warning",,same_day_coupling_present,,0.2864867564367897,0.1897616862862331,0.2901868292820289,0.2176708202303618,0.369728205291563,0.2078647896906678,0.382940256257815,1.0,0.1970411857590054,0.1347561496127036,0.2621956810307327,0.1257372477914321,0.2746186879334513,1.0,1.0,0,0.1580072126718596,0.2884609759398953,2.8256190401823904,supported,strong_above_null,ok,Tier1b,stable_lag_dominant,stable_forward_over_reverse,True,stable_lag_dominant,core_stable_lag_candidate,"Positive-lag band is stably stronger than both lag0 and reverse. Still temporal eligibility, not causal proof.",0.1897616862862331,0.1347561496127036,0.2621956810307327,1.0,0.2864867564367897,0.2176708202303618,0.369728205291563,1.0,V→P,0.4464681886117549,0.1359637366742156,0.1580072126718596,0.1939479953620885,0.1611549153782945,0.1297733324820497,0.1591806958751889,0.2061470334948964,0.2412005737149276,0.117299414252454,0.1425012840612655,0.1888086087126151,0.2884609759398953,0.0019742195031055,0.0986992896536621,0.4464681886117549,0.9243060504122014,0.9243060504122014,none,0.8814436877970864,0.8814436877970864,none,passed_stable_lag,Entered stable_lag_dominant: positive lag stably exceeds lag0 and reverse.,0.2884609759398953,
S1,V_strength,P_north_band_share_35_45,V,P,lead_lag_ambiguous_same_day_dominant,lead_lag_ambiguous,same_day_dominant,True,0.0009990009990009,0.0037523452157598,0.0076498087547811,0.0099900099900099,0.042149631190727,0.0697539236582057,same_p_support_flag,1,0.2524890933712406,0.2524890933712406,-1,0.2661723100136313,0.2661723100136313,0.2936558918249923,0.2936558918249923,-0.015378553919714,-0.0684866792845339,0.0323547847520008,-0.0761665199122297,0.0400853895400685,0.308,-0.0543736859188481,-0.0830268822215332,-0.0293369153255569,-0.0874071316866134,-0.0244883575007612,0.0,0.9243060504122014,0.8574037085880818,0.9243060504122014,0.8574037085880818,none,none,none,0.0,0.0,Tier4b_ambiguous_same_day_dominant,ambiguous because same-day coupling is dominant or mixed,expanded temporal risk pool only; useful for feedback/same-day/transition audit,same_day_exceeds_positive_lag,same_day_dominant,,-0.015378553919714,-0.0543736859188481,-0.0165845788309693,-0.0684866792845339,0.0323547847520008,-0.0761665199122297,0.0400853895400685,0.308,-0.0551658969317211,-0.0830268822215332,-0.0293369153255569,-0.0874071316866134,-0.0244883575007612,0.0,0.0,45,0.1422965072184548,0.1101925861527858,1.7743871462959888,supported,strong_above_null,ok,Tier4b,stable_tau0_dominant,forward_reverse_close_or_uncertain,True,not_supported,not_candidate,No V1 temporal-eligibility support under the existing V1 classification.,-0.0543736859188481,-0.0830268822215332,-0.0293369153255569,0.0,-0.015378553919714,-0.0684866792845339,0.0323547847520008,0.308,V→P,0.2524890933712406,0.1267845099746883,0.1422965072184548,0.1866422152337286,0.2661723100136313,0.1224589164117561,0.1406011699411314,0.1783309120696396,0.2936558918249923,0.1127064393704493,0.1290896197533583,0.1748491452202822,0.1101925861527858,0.1255711400724999,0.1645662720716339,0.2524890933712406,0.9243060504122014,0.9243060504122014,none,0.8574037085880818,0.8574037085880818,none,direction_uncertain,Forward-vs-reverse interval crosses zero; direction is not stable.,0.11019258615278579,
S1,V_strength,P_north_minus_main_35_45,V,P,lead_lag_yes_with_same_day_coupling,lead_lag_yes,X_leads_Y_with_same_day_component,True,0.0009990009990009,0.0037523452157598,0.0076498087547811,0.0009990009990009,0.0069930069930069,0.0159151193633952,same_p_support_flag,2,-0.5526002177848343,0.5526002177848343,-1,-0.340300803123337,0.340300803123337,-0.4665293964668331,0.4665293964668331,0.2063349066388444,0.166096228597995,0.2639088172780716,0.1562648221561073,0.271655975380603,1.0,0.0715491440075425,0.0495391612646435,0.1081241662043624,0.0461614940270074,0.1131503838644581,1.0,0.9243060504122014,0.8880473561335789,0.9243060504122014,0.8880473561335789,none,none,none,0.0,0.0,Tier1b_audit_stable_with_same_day,main yes; audit-FDR pass; same-day coupling present; no severe phi risk,"usable strict temporal candidate, but must retain same-day coupling warning",,same_day_coupling_present,,0.2063349066388444,0.0715491440075425,0.2114674670305788,0.166096228597995,0.2639088172780716,0.1562648221561073,0.271655975380603,1.0,0.0756334318003665,0.0495391612646435,0.1081241662043624,0.0461614940270074,0.1131503838644581,1.0,1.0,0,0.1603162188321968,0.3922839989526374,3.4469389423614185,supported,strong_above_null,ok,Tier1b,stable_lag_dominant,stable_forward_over_reverse,True,stable_lag_dominant,core_stable_lag_candidate,"Positive-lag band is stably stronger than both lag0 and reverse. Still temporal eligibility, not causal proof.",0.0715491440075425,0.0495391612646435,0.1081241662043624,1.0,0.2063349066388444,0.166096228597995,0.2639088172780716,1.0,V→P,0.5526002177848343,0.1385917412695276,0.1603162188321968,0.206741391861788,0.340300803123337,0.1320371277636747,0.154351710809544,0.1919559897249757,0.4665293964668331,0.1237558031099507,0.1457945415217382,0.1821575712753636,0.3922839989526374,0.1859490923137929,0.3207348549450949,0.5526002177848343,0.9243060504122014,0.9243060504122014,none,0.8880473561335789,0.8880473561335789,none,passed_stable_lag,Entered stable_lag_dominant: positive lag stably exceeds lag0 and reverse.,0.39228399895263744,
S1,V_strength,P_total_centroid_lat_10_50,V,P,lead_lag_yes_with_same_day_coupling,lead_lag_yes,X_leads_Y_with_same_day_component,True,0.0009990009990009,0.0037523452157598,0.0076498087547811,0.0009990009990009,0.0069930069930069,0.0159151193633952,same_p_support_flag,1,0.6341974119223507,0.6341974119223507,-1,0.5084801458346434,0.5084801458346434,0.6171585562180889,0.6171585562180889,0.1149951829941834,0.0817028145321972,0.1517883997466703,0.0752947806807732,0.1597428066057271,1.0,-0.0063367557245662,-0.0251301420955182,0.0112468426765048,-0.027731290130435,0.0149063455148325,0.289,0.9243060504122014,0.9192870117393004,0.9243060504122014,0.9192870117393004,none,none,none,0.0,0.0,Tier1b_audit_stable_with_same_day,main yes; audit-FDR pass; same-day coupling present; no severe phi risk,"usable strict temporal candidate, but must retain same-day coupling warning",,same_day_coupling_present,,0.1149951829941834,-0.0063367557245662,0.1157241620396239,0.0817028145321972,0.1517883997466703,0.0752947806807732,0.1597428066057271,1.0,-0.0064476056630383,-0.0251301420955182,0.0112468426765048,-0.027731290130435,0.0149063455148325,0.289,1.0,0,0.1777014924682226,0.456495919454128,3.568891870932151,supported,strong_above_null,ok,Tier1b,lag_tau0_close_or_coupled,stable_forward_over_reverse,True,significant_lagged_but_tau0_coupled,temporal_candidate_with_tau0_coupling,"Forward direction is stable versus reverse, but positive lag is not stably stronger than lag0 or has same-day coupling.",-0.0063367557245662,-0.0251301420955182,0.0112468426765048,0.289,0.1149951829941834,0.0817028145321972,0.1517883997466703,1.0,V→P,0.6341974119223507,0.1449595137122732,0.1777014924682226,0.2243362347064535,0.5084801458346434,0.1400980568346,0.1669794093746987,0.2109838071120617,0.6171585562180889,0.1323509145798322,0.1543258810393945,0.2131989586572469,0.456495919454128,0.3415007364599446,0.4628326751786943,0.6341974119223507,0.9243060504122014,0.9243060504122014,none,0.9192870117393004,0.9192870117393004,none,passed_tau0_coupled,"Entered temporal candidate pool, but lag0 is close/competitive.",0.4564959194541281,
S1,V_pos_centroid_lat,P_main_band_share,V,P,lead_lag_yes_clear,lead_lag_yes,clear_X_leads_Y_strong,False,0.0009990009990009,0.0037523452157598,0.0076498087547811,0.0009990009990009,0.0069930069930069,0.0159151193633952,same_p_support_flag,3,0.3243999989894233,0.3243999989894233,-3,-0.1211793545940039,0.1211793545940039,0.0976895981723551,0.0976895981723551,0.2005023647502712,0.0772704373226061,0.3245377674148427,0.0524276589943788,0.3375567024073608,0.996,0.2092989191075399,0.1600737892499987,0.2717129746525717,0.15109077300094,0.2803751329410281,1.0,0.8558047624097268,0.9183139809670569,0.8558047624097268,0.9183139809670569,none,none,none,0.0,0.0,Tier1a_audit_stable_clear_leadlag,main yes; audit-FDR pass; clear lead-lag; no severe phi risk,strict temporal core for pathway candidate screening,,,,0.2005023647502712,0.2092989191075399,0.2018536053115673,0.0772704373226061,0.3245377674148427,0.0524276589943788,0.3375567024073608,0.996,0.2129496794059955,0.1600737892499987,0.2717129746525717,0.15109077300094,0.2803751329410281,1.0,1.0,0,0.1438950609262627,0.1805049380631606,2.2544206653184444,supported,strong_above_null,ok,Tier1a,stable_lag_dominant,stable_forward_over_reverse,False,stable_lag_dominant,core_stable_lag_candidate,"Positive-lag band is stably stronger than both lag0 and reverse. Still temporal eligibility, not causal proof.",0.2092989191075399,0.1600737892499987,0.2717129746525717,1.0,0.2005023647502712,0.0772704373226061,0.3245377674148427,0.996,V→P,0.3243999989894233,0.1231048850029215,0.1438950609262627,0.1944698154265689,0.1211793545940039,0.1197058531207004,0.1411767812811146,0.1823725162037467,0.0976895981723551,0.1023126410626696,0.1264835792167344,0.1674405836723916,0.1805049380631606,-0.0199974266871106,-0.0287939810443793,0.3243999989894233,0.8558047624097268,0.8558047624097268,none,0.9183139809670569,0.9183139809670569,none,passed_stable_lag,Entered stable_lag_dominant: positive lag stably exceeds lag0 and reverse.,0.1805049380631606,
S1,V_pos_centroid_lat,P_south_band_share_18_24,V,P,lead_lag_yes_with_same_day_coupling,lead_lag_yes,X_leads_Y_with_same_day_component,True,0.0009990009990009,0.0037523452157598,0.0076498087547811,0.0009990009990009,0.0069930069930069,0.0159151193633952,same_p_support_flag,1,-0.5341915605858785,0.5341915605858785,-1,-0.3007483814336925,0.3007483814336925,-0.4587674217311616,0.4587674217311616,0.2306462625467543,0.1806598718076231,0.2827919902188141,0.1746939472686386,0.2924101060460033,1.0,0.0583557912904945,0.032583364925671,0.0854640033585052,0.0280928643417449,0.0898308426603361,1.0,0.8558047624097268,0.9057751234728724,0.8558047624097268,0.9057751234728724,none,none,none,0.0,0.0,Tier1b_audit_stable_with_same_day,main yes; audit-FDR pass; same-day coupling present; no severe phi risk,"usable strict temporal candidate, but must retain same-day coupling warning",,same_day_coupling_present,,0.2306462625467543,0.0583557912904945,0.2313872796464651,0.1806598718076231,0.2827919902188141,0.1746939472686386,0.2924101060460033,1.0,0.058678319082136,0.032583364925671,0.0854640033585052,0.0280928643417449,0.0898308426603361,1.0,1.0,0,0.145271395127274,0.3889201654586044,3.677197153079357,supported,strong_above_null,ok,Tier1b,stable_lag_dominant,stable_forward_over_reverse,True,stable_lag_dominant,core_stable_lag_candidate,"Positive-lag band is stably stronger than both lag0 and reverse. Still temporal eligibility, not causal proof.",0.0583557912904945,0.032583364925671,0.0854640033585052,1.0,0.2306462625467543,0.1806598718076231,0.2827919902188141,1.0,V→P,0.5341915605858785,0.1272960753787775,0.145271395127274,0.1904741017060933,0.3007483814336925,0.1188619335478539,0.1424744785218423,0.1808839779790928,0.4587674217311616,0.1084719942320879,0.1282030475630517,0.170978128998011,0.3889201654586044,0.1582739029118501,0.3305643741681098,0.5341915605858785,0.8558047624097268,0.8558047624097268,none,0.9057751234728724,0.9057751234728724,none,passed_stable_lag,Entered stable_lag_dominant: positive lag stably exceeds lag0 and reverse.,0.38892016545860447,
S1,V_pos_centroid_lat,P_main_minus_south,V,P,lead_lag_yes_with_same_day_coupling,lead_lag_yes,X_leads_Y_with_same_day_component,True,0.0009990009990009,0.0037523452157598,0.0076498087547811,0.0009990009990009,0.0069930069930069,0.0159151193633952,same_p_support_flag,2,0.4407617881104784,0.4407617881104784,-1,0.1081939224187744,0.1081939224187744,0.2694653199955719,0.2694653199955719,0.3259441597546645,0.24032937599986,0.3597591629359042,0.2227231168290856,0.374231945818492,1.0,0.1507606278447039,0.1053563336829794,0.1970441352267388,0.0982145990587183,0.2027005235074516,1.0,0.8558047624097268,0.910114435704538,0.8558047624097268,0.910114435704538,none,none,none,0.0,0.0,Tier1b_audit_stable_with_same_day,main yes; audit-FDR pass; same-day coupling present; no severe phi risk,"usable strict temporal candidate, but must retain same-day coupling warning",,same_day_coupling_present,,0.3259441597546645,0.1507606278447039,0.3044285448846208,0.24032937599986,0.3597591629359042,0.2227231168290856,0.374231945818492,1.0,0.1507517898456319,0.1053563336829794,0.1970441352267388,0.0982145990587183,0.2027005235074516,1.0,1.0,0,0.1538656386261765,0.2868961494843018,2.8645888194785893,supported,strong_above_null,ok,Tier1b,stable_lag_dominant,stable_forward_over_reverse,True,stable_lag_dominant,core_stable_lag_candidate,"Positive-lag band is stably stronger than both lag0 and reverse. Still temporal eligibility, not causal proof.",0.1507606278447039,0.1053563336829794,0.1970441352267388,1.0,0.3259441597546645,0.24032937599986,0.3597591629359042,1.0,V→P,0.4407617881104784,0.1259384299063581,0.1538656386261765,0.193881000632457,0.1081939224187744,0.1216150130886212,0.1472419326891371,0.1841205250356125,0.2694653199955719,0.1129080034586693,0.133329798355974,0.1781803197052555,0.2868961494843018,-0.0390480102703626,0.1361355216395979,0.4407617881104784,0.8558047624097268,0.8558047624097268,none,0.910114435704538,0.910114435704538,none,passed_stable_lag,Entered stable_lag_dominant: positive lag stably exceeds lag0 and reverse.,0.28689614948430187,
S1,V_pos_centroid_lat,P_spread_lat,V,P,lead_lag_yes_with_same_day_coupling,lead_lag_yes,X_leads_Y_with_same_day_component,True,0.0009990009990009,0.0037523452157598,0.0076498087547811,0.0009990009990009,0.0069930069930069,0.0159151193633952,same_p_support_flag,1,0.3806107526146394,0.3806107526146394,-1,0.2938775347797906,0.2938775347797906,0.3915041094202179,0.3915041094202179,0.0830264033139621,0.0234680437607711,0.1429944979193431,0.0118217857318939,0.151976479144263,0.988,-0.0271524397855235,-0.0614258959073527,0.0053731135804887,-0.0678231141220174,0.0106566307943649,0.085,0.8558047624097268,0.8814436877970864,0.8558047624097268,0.8814436877970864,none,none,none,0.0,0.0,Tier1b_audit_stable_with_same_day,main yes; audit-FDR pass; same-day coupling present; no severe phi risk,"usable strict temporal candidate, but must retain same-day coupling warning",,same_day_coupling_present,,0.0830264033139621,-0.0271524397855235,0.081717916203578,0.0234680437607711,0.1429944979193431,0.0118217857318939,0.151976479144263,0.988,-0.0279556765281586,-0.0614258959073527,0.0053731135804887,-0.0678231141220174,0.0106566307943649,0.085,1.0,0,0.1415716429071659,0.2390391097074735,2.688467441634628,supported,strong_above_null,ok,Tier1b,lag_tau0_close_or_coupled,stable_forward_over_reverse,True,significant_lagged_but_tau0_coupled,temporal_candidate_with_tau0_coupling,"Forward direction is stable versus reverse, but positive lag is not stably stronger than lag0 or has same-day coupling.",-0.0271524397855235,-0.0614258959073527,0.0053731135804887,0.085,0.0830264033139621,0.0234680437607711,0.1429944979193431,0.988,V→P,0.3806107526146394,0.1200095485546758,0.1415716429071659,0.178784663100625,0.2938775347797906,0.1154645369931496,0.1378648283862793,0.1776674052651883,0.3915041094202179,0.1024531357397016,0.1253125599272209,0.1722062636299621,0.2390391097074735,0.1560127063935113,0.266191549492997,0.3806107526146394,0.8558047624097268,0.8558047624097268,none,0.8814436877970864,0.8814436877970864,none,passed_tau0_coupled,"Entered temporal candidate pool, but lag0 is close/competitive.",0.2390391097074735,
S1,V_pos_centroid_lat,P_north_band_share_35_45,V,P,lead_lag_yes_with_same_day_coupling,lead_lag_yes,X_leads_Y_with_same_day_component,True,0.0009990009990009,0.0037523452157598,0.0076498087547811,0.0009990009990009,0.0069930069930069,0.0159151193633952,same_p_support_flag,1,0.3294238186962647,0.3294238186962647,-1,0.2260256811040374,0.2260256811040374,0.3125064286737881,0.3125064286737881,0.0992547815903382,0.0548757087531926,0.1418528863054785,0.0487477527177346,0.1520019822127769,1.0,0.001812178803938,-0.0219232597895691,0.0261250353965147,-0.0262001470996546,0.0313569506406787,0.535,0.8558047624097268,0.8574037085880818,0.8558047624097268,0.8574037085880818,none,none,none,0.0,0.0,Tier1b_audit_stable_with_same_day,main yes; audit-FDR pass; same-day coupling present; no severe phi risk,"usable strict temporal candidate, but must retain same-day coupling warning",,same_day_coupling_present,,0.0992547815903382,0.001812178803938,0.0987796852191779,0.0548757087531926,0.1418528863054785,0.0487477527177346,0.1520019822127769,1.0,0.0014430158735197,-0.0219232597895691,0.0261250353965147,-0.0262001470996546,0.0313569506406787,0.535,1.0,0,0.1314916236676566,0.1979321950286081,2.5052836789731883,supported,strong_above_null,ok,Tier1b,lag_tau0_close_or_coupled,stable_forward_over_reverse,True,significant_lagged_but_tau0_coupled,temporal_candidate_with_tau0_coupling,"Forward direction is stable versus reverse, but positive lag is not stably stronger than lag0 or has same-day coupling.",0.001812178803938,-0.0219232597895691,0.0261250353965147,0.535,0.0992547815903382,0.0548757087531926,0.1418528863054785,1.0,V→P,0.3294238186962647,0.1135564590410866,0.1314916236676566,0.1592997276365225,0.2260256811040374,0.1108610199575904,0.1273482676657676,0.165124683836995,0.3125064286737881,0.1007345707554005,0.116386412449118,0.1417851991679337,0.1979321950286081,0.0986774134382698,0.19612001622467,0.3294238186962647,0.8558047624097268,0.8558047624097268,none,0.8574037085880818,0.8574037085880818,none,passed_tau0_coupled,"Entered temporal candidate pool, but lag0 is close/competitive.",0.1979321950286081,
S1,V_pos_centroid_lat,P_north_minus_main_35_45,V,P,lead_lag_ambiguous_bidirectional_close,lead_lag_ambiguous,bidirectional_close,False,0.0029970029970029,0.0100334448160535,0.0174165457184325,0.0149850149850149,0.0556070435588507,0.0903010033444816,same_p_support_flag,3,-0.2014178598745448,0.2014178598745448,-2,0.1655282877661418,0.1655282877661418,0.0618218789630152,0.0618218789630152,0.0329275716677713,-0.082272310695909,0.1405181372276651,-0.1028082199022169,0.1639710036170409,0.67,0.1243257038946241,-0.0048738132493956,0.2297316088498986,-0.0243429469784775,0.2424565982347447,0.943,0.8558047624097268,0.8880473561335789,0.8558047624097268,0.8880473561335789,none,none,none,0.0,0.0,Tier4a_ambiguous_bidirectional_close,ambiguous bidirectional/feedback-like temporal structure,expanded temporal risk pool only; useful for feedback/same-day/transition audit,positive_and_negative_supported_but_direction_difference_uncertain,bidirectional_or_feedback_like,,0.0329275716677713,0.1243257038946241,0.0312257355088973,-0.082272310695909,0.1405181372276651,-0.1028082199022169,0.1639710036170409,0.67,0.1203268445029718,-0.0048738132493956,0.2297316088498986,-0.0243429469784775,0.2424565982347447,0.943,1.0,0,0.1373573300746952,0.0640605297998496,1.466378676442046,supported,strong_above_null,ok,Tier4a,lag_tau0_close_or_coupled,forward_reverse_close_or_uncertain,False,not_supported,not_candidate,No V1 temporal-eligibility support under the existing V1 classification.,0.1243257038946241,-0.0048738132493956,0.2297316088498986,0.943,0.0329275716677713,-0.082272310695909,0.1405181372276651,0.67,V→P,0.2014178598745448,0.1185989066081098,0.1373573300746952,0.1772660213531817,0.1655282877661418,0.116869686839377,0.1343953296340635,0.1708472790340701,0.0618218789630152,0.1039132873609467,0.1220870530577898,0.1579203457477388,0.0640605297998496,0.0311329581320783,-0.0602651740947745,0.2014178598745448,0.8558047624097268,0.8558047624097268,none,0.8880473561335789,0.8880473561335789,none,direction_uncertain,Forward-vs-reverse interval crosses zero; direction is not stable.,0.06406052979984961,
