window,source_object,target_object,pair_direction,k_eof,best_lag_all,best_abs_cv_r_all,best_signed_cv_r_all,best_lagged_lag,best_lagged_abs_cv_r,best_lagged_signed_cv_r,tau0_abs_cv_r,tau0_signed_cv_r,lagged_minus_tau0_abs_cv_r,cca_time_structure_label,perm_p_max_train_r,bootstrap_frac_abs_r_ge_threshold,cca_evidence_tier,interpretation_boundary
S1,V,P,V→P,5,0,0.8864171456148787,0.8864171456148787,1,0.8612232834026187,0.8612232834026187,0.8864171456148787,0.8864171456148787,-0.025193862212260054,lagged_tau0_close,0.004975124378109453,1.0,CCA_strong_coupling,CCA coupling-mode audit; not pathway proof; direction comes from X(t-lag) vs Y(t) design and remains non-causal.
S1,H,P,H→P,5,0,0.6289493638602993,0.6289493638602993,1,0.5894087134242842,0.5894087134242842,0.6289493638602993,0.6289493638602993,-0.03954065043601507,lagged_tau0_close,0.004975124378109453,1.0,CCA_strong_coupling,CCA coupling-mode audit; not pathway proof; direction comes from X(t-lag) vs Y(t) design and remains non-causal.
S1,H,V,H→V,5,0,0.6610362306197622,0.6610362306197622,1,0.5888129579276844,0.5888129579276844,0.6610362306197622,0.6610362306197622,-0.07222327269207784,tau0_dominant,0.004975124378109453,1.0,CCA_strong_coupling,CCA coupling-mode audit; not pathway proof; direction comes from X(t-lag) vs Y(t) design and remains non-causal.
S1,Jw,Je,Jw→Je,5,3,0.7151504494820801,0.7151504494820801,3,0.7151504494820801,0.7151504494820801,0.5674702977483239,0.5674702977483239,0.14768015173375615,lagged_dominant,0.004975124378109453,1.0,CCA_strong_coupling,CCA coupling-mode audit; not pathway proof; direction comes from X(t-lag) vs Y(t) design and remains non-causal.
S1,Je,H,Je→H,5,0,0.8763463081053593,0.8763463081053593,1,0.8164533041257257,0.8164533041257257,0.8763463081053593,0.8763463081053593,-0.0598930039796336,tau0_dominant,0.004975124378109453,1.0,CCA_strong_coupling,CCA coupling-mode audit; not pathway proof; direction comes from X(t-lag) vs Y(t) design and remains non-causal.
T1,V,P,V→P,5,0,0.9290245339351575,0.9290245339351575,1,0.8506143502133797,0.8506143502133797,0.9290245339351575,0.9290245339351575,-0.07841018372177777,tau0_dominant,0.004975124378109453,1.0,CCA_strong_coupling,CCA coupling-mode audit; not pathway proof; direction comes from X(t-lag) vs Y(t) design and remains non-causal.
T1,H,P,H→P,5,0,0.5488894999533074,0.5488894999533074,1,0.5021179035849735,0.5021179035849735,0.5488894999533074,0.5488894999533074,-0.046771596368333834,lagged_tau0_close,0.004975124378109453,1.0,CCA_strong_coupling,CCA coupling-mode audit; not pathway proof; direction comes from X(t-lag) vs Y(t) design and remains non-causal.
T1,H,V,H→V,5,0,0.5915619546561474,0.5915619546561474,1,0.5183427655780095,0.5183427655780095,0.5915619546561474,0.5915619546561474,-0.07321918907813785,tau0_dominant,0.004975124378109453,1.0,CCA_strong_coupling,CCA coupling-mode audit; not pathway proof; direction comes from X(t-lag) vs Y(t) design and remains non-causal.
T1,Jw,Je,Jw→Je,5,2,0.7530715528769016,0.7530715528769016,2,0.7530715528769016,0.7530715528769016,0.6507272755792711,0.6507272755792711,0.10234427729763051,lagged_dominant,0.004975124378109453,1.0,CCA_strong_coupling,CCA coupling-mode audit; not pathway proof; direction comes from X(t-lag) vs Y(t) design and remains non-causal.
T1,Je,H,Je→H,5,0,0.8206999215822263,0.8206999215822263,1,0.7406306677097977,0.7406306677097977,0.8206999215822263,0.8206999215822263,-0.08006925387242858,tau0_dominant,0.004975124378109453,1.0,CCA_strong_coupling,CCA coupling-mode audit; not pathway proof; direction comes from X(t-lag) vs Y(t) design and remains non-causal.
S2,V,P,V→P,5,0,0.9101958000191062,0.9101958000191062,1,0.8652634026199177,0.8652634026199177,0.9101958000191062,0.9101958000191062,-0.04493239739918842,lagged_tau0_close,0.004975124378109453,1.0,CCA_strong_coupling,CCA coupling-mode audit; not pathway proof; direction comes from X(t-lag) vs Y(t) design and remains non-causal.
S2,H,P,H→P,5,0,0.6370112774436792,0.6370112774436792,1,0.6068146673573,0.6068146673573,0.6370112774436792,0.6370112774436792,-0.030196610086379194,lagged_tau0_close,0.004975124378109453,1.0,CCA_strong_coupling,CCA coupling-mode audit; not pathway proof; direction comes from X(t-lag) vs Y(t) design and remains non-causal.
S2,H,V,H→V,5,0,0.5285229132732938,0.5285229132732938,1,0.506726648127315,0.506726648127315,0.5285229132732938,0.5285229132732938,-0.021796265145978766,lagged_tau0_close,0.004975124378109453,1.0,CCA_strong_coupling,CCA coupling-mode audit; not pathway proof; direction comes from X(t-lag) vs Y(t) design and remains non-causal.
S2,Jw,Je,Jw→Je,5,2,0.675443571396643,0.675443571396643,2,0.675443571396643,0.675443571396643,0.6060207827532254,0.6060207827532254,0.06942278864341767,lagged_dominant,0.004975124378109453,1.0,CCA_strong_coupling,CCA coupling-mode audit; not pathway proof; direction comes from X(t-lag) vs Y(t) design and remains non-causal.
S2,Je,H,Je→H,5,0,0.8785072771617503,0.8785072771617503,1,0.8317427268308303,0.8317427268308303,0.8785072771617503,0.8785072771617503,-0.046764550330919974,lagged_tau0_close,0.004975124378109453,1.0,CCA_strong_coupling,CCA coupling-mode audit; not pathway proof; direction comes from X(t-lag) vs Y(t) design and remains non-causal.
