window_id,target_name,object_A,object_B,quantile_scheme,fraction_each_tail,high_n,low_n,high_P_A_earlier,high_P_B_earlier,low_P_A_earlier,low_P_B_earlier,high_delta_median,low_delta_median,high_dominant_direction,low_dominant_direction,high_dominant_probability,low_dominant_probability,high_order_level,low_order_level,high_low_reversal_flag
W160,W160_P_vs_V_delta_peak,P,V,tercile,0.3333333333333333,333,333,0.8978978978978979,0.07807807807807808,0.5555555555555556,0.3633633633633634,3.0,1.0,P_earlier,P_earlier,0.8978978978978979,0.5555555555555556,weak_or_none,weak_or_none,False
W160,W160_P_vs_V_delta_peak,P,V,quartile,0.25,249,249,0.9357429718875502,0.05220883534136546,0.5301204819277109,0.3895582329317269,4.0,1.0,P_earlier,P_earlier,0.9357429718875502,0.5301204819277109,usable_90,weak_or_none,False
W160,W160_P_vs_V_delta_peak,P,V,quintile,0.2,199,199,0.9396984924623115,0.04522613065326633,0.47738693467336685,0.4371859296482412,4.0,0.0,P_earlier,P_earlier,0.9396984924623115,0.47738693467336685,usable_90,weak_or_none,False
W160,W160_P_vs_V_delta_peak,P,V,decile,0.1,99,99,0.9494949494949495,0.04040404040404041,0.3939393939393939,0.5353535353535354,4.0,-1.0,P_earlier,V_earlier,0.9494949494949495,0.5353535353535354,usable_90,weak_or_none,True
W160,W160_P_vs_H_delta_peak,P,H,tercile,0.3333333333333333,333,333,0.4444444444444444,0.4624624624624625,0.18018018018018017,0.7627627627627628,0.0,-3.0,H_earlier,H_earlier,0.4624624624624625,0.7627627627627628,weak_or_none,weak_or_none,False
W160,W160_P_vs_H_delta_peak,P,H,quartile,0.25,250,250,0.472,0.428,0.164,0.78,0.0,-3.5,P_earlier,H_earlier,0.472,0.78,weak_or_none,weak_or_none,True
W160,W160_P_vs_H_delta_peak,P,H,quintile,0.2,200,200,0.47,0.425,0.155,0.785,0.0,-3.5,P_earlier,H_earlier,0.47,0.785,weak_or_none,weak_or_none,True
W160,W160_P_vs_H_delta_peak,P,H,decile,0.1,100,100,0.52,0.38,0.17,0.79,1.0,-4.0,P_earlier,H_earlier,0.52,0.79,weak_or_none,weak_or_none,True
W160,W160_P_vs_Je_delta_peak,P,Je,tercile,0.3333333333333333,333,333,0.93993993993994,0.04504504504504504,0.6966966966966966,0.24324324324324326,6.0,2.0,P_earlier,P_earlier,0.93993993993994,0.6966966966966966,usable_90,weak_or_none,False
W160,W160_P_vs_Je_delta_peak,P,Je,quartile,0.25,250,250,0.944,0.036,0.664,0.264,6.0,2.0,P_earlier,P_earlier,0.944,0.664,usable_90,weak_or_none,False
W160,W160_P_vs_Je_delta_peak,P,Je,quintile,0.2,200,200,0.94,0.04,0.635,0.285,6.0,1.5,P_earlier,P_earlier,0.94,0.635,usable_90,weak_or_none,False
W160,W160_P_vs_Je_delta_peak,P,Je,decile,0.1,100,100,0.95,0.04,0.6,0.29,7.0,1.0,P_earlier,P_earlier,0.95,0.6,credible_95,weak_or_none,False
W160,W160_P_vs_Jw_delta_peak,P,Jw,tercile,0.3333333333333333,332,332,0.5090361445783133,0.42168674698795183,0.16566265060240964,0.8102409638554217,1.0,-7.0,P_earlier,Jw_earlier,0.5090361445783133,0.8102409638554217,weak_or_none,weak_or_none,True
W160,W160_P_vs_Jw_delta_peak,P,Jw,quartile,0.25,249,249,0.5461847389558233,0.37751004016064255,0.17670682730923695,0.7991967871485943,2.0,-8.0,P_earlier,Jw_earlier,0.5461847389558233,0.7991967871485943,weak_or_none,weak_or_none,True
W160,W160_P_vs_Jw_delta_peak,P,Jw,quintile,0.2,199,199,0.5678391959798995,0.35678391959798994,0.1658291457286432,0.8090452261306532,2.0,-8.0,P_earlier,Jw_earlier,0.5678391959798995,0.8090452261306532,weak_or_none,weak_or_none,True
W160,W160_P_vs_Jw_delta_peak,P,Jw,decile,0.1,99,99,0.6767676767676768,0.24242424242424243,0.15151515151515152,0.8181818181818182,5.0,-8.0,P_earlier,Jw_earlier,0.6767676767676768,0.8181818181818182,weak_or_none,weak_or_none,True
W160,W160_V_vs_H_delta_peak,V,H,tercile,0.3333333333333333,333,333,0.3963963963963964,0.5375375375375375,0.16516516516516516,0.8258258258258259,-1.0,-6.0,H_earlier,H_earlier,0.5375375375375375,0.8258258258258259,weak_or_none,weak_or_none,False
W160,W160_V_vs_H_delta_peak,V,H,quartile,0.25,249,249,0.44176706827309237,0.4859437751004016,0.17670682730923695,0.8192771084337349,0.0,-7.0,H_earlier,H_earlier,0.4859437751004016,0.8192771084337349,weak_or_none,weak_or_none,False
W160,W160_V_vs_H_delta_peak,V,H,quintile,0.2,199,199,0.46733668341708545,0.4623115577889447,0.1658291457286432,0.8291457286432161,0.0,-7.0,V_earlier,H_earlier,0.46733668341708545,0.8291457286432161,weak_or_none,weak_or_none,True
W160,W160_V_vs_H_delta_peak,V,H,decile,0.1,99,99,0.5252525252525253,0.40404040404040403,0.13131313131313133,0.8686868686868687,1.0,-7.0,V_earlier,H_earlier,0.5252525252525253,0.8686868686868687,weak_or_none,weak_or_none,True
W160,W160_V_vs_Je_delta_peak,V,Je,tercile,0.3333333333333333,333,333,0.8288288288288288,0.0990990990990991,0.24924924924924924,0.5525525525525525,3.0,-1.0,V_earlier,Je_earlier,0.8288288288288288,0.5525525525525525,weak_or_none,weak_or_none,True
W160,W160_V_vs_Je_delta_peak,V,Je,quartile,0.25,249,249,0.8714859437751004,0.08032128514056225,0.22088353413654618,0.5903614457831325,5.0,-1.0,V_earlier,Je_earlier,0.8714859437751004,0.5903614457831325,weak_or_none,weak_or_none,True
W160,W160_V_vs_Je_delta_peak,V,Je,quintile,0.2,199,199,0.8844221105527639,0.07035175879396985,0.19095477386934673,0.6331658291457286,6.0,-1.0,V_earlier,Je_earlier,0.8844221105527639,0.6331658291457286,weak_or_none,weak_or_none,True
W160,W160_V_vs_Je_delta_peak,V,Je,decile,0.1,99,99,0.9090909090909091,0.04040404040404041,0.16161616161616163,0.696969696969697,8.0,-1.0,V_earlier,Je_earlier,0.9090909090909091,0.696969696969697,usable_90,weak_or_none,True
W160,W160_Jw_vs_V_delta_peak,Jw,V,tercile,0.3333333333333333,332,332,0.8253012048192772,0.1566265060240964,0.5421686746987951,0.4186746987951807,9.0,2.0,Jw_earlier,Jw_earlier,0.8253012048192772,0.5421686746987951,weak_or_none,weak_or_none,False
W160,W160_Jw_vs_V_delta_peak,Jw,V,quartile,0.25,249,249,0.8514056224899599,0.13654618473895583,0.5020080321285141,0.46184738955823296,10.0,1.0,Jw_earlier,Jw_earlier,0.8514056224899599,0.5020080321285141,weak_or_none,weak_or_none,False
W160,W160_Jw_vs_V_delta_peak,Jw,V,quintile,0.2,199,199,0.8743718592964824,0.11557788944723618,0.4723618090452261,0.48743718592964824,10.0,0.0,Jw_earlier,V_earlier,0.8743718592964824,0.48743718592964824,weak_or_none,weak_or_none,True
W160,W160_Jw_vs_V_delta_peak,Jw,V,decile,0.1,99,99,0.9191919191919192,0.08080808080808081,0.3434343434343434,0.6161616161616161,11.0,-2.0,Jw_earlier,V_earlier,0.9191919191919192,0.6161616161616161,usable_90,weak_or_none,True
W160,W160_H_vs_Je_delta_peak,H,Je,tercile,0.3333333333333333,333,333,0.954954954954955,0.036036036036036036,0.5675675675675675,0.3963963963963964,7.0,4.0,H_earlier,H_earlier,0.954954954954955,0.5675675675675675,credible_95,weak_or_none,False
W160,W160_H_vs_Je_delta_peak,H,Je,quartile,0.25,250,250,0.952,0.044,0.512,0.452,6.0,1.5,H_earlier,H_earlier,0.952,0.512,credible_95,weak_or_none,False
W160,W160_H_vs_Je_delta_peak,H,Je,quintile,0.2,200,200,0.945,0.055,0.475,0.49,6.0,0.0,H_earlier,Je_earlier,0.945,0.49,usable_90,weak_or_none,True
W160,W160_H_vs_Je_delta_peak,H,Je,decile,0.1,100,100,0.95,0.05,0.32,0.64,6.0,-2.0,H_earlier,Je_earlier,0.95,0.64,credible_95,weak_or_none,True
W160,W160_H_vs_Jw_delta_peak,H,Jw,tercile,0.3333333333333333,332,332,0.6716867469879518,0.2740963855421687,0.1927710843373494,0.7921686746987951,3.0,-5.0,H_earlier,Jw_earlier,0.6716867469879518,0.7921686746987951,weak_or_none,weak_or_none,True
W160,W160_H_vs_Jw_delta_peak,H,Jw,quartile,0.25,249,249,0.6987951807228916,0.26104417670682734,0.1646586345381526,0.8192771084337349,3.0,-5.0,H_earlier,Jw_earlier,0.6987951807228916,0.8192771084337349,weak_or_none,weak_or_none,True
W160,W160_H_vs_Jw_delta_peak,H,Jw,quintile,0.2,199,199,0.7085427135678392,0.2663316582914573,0.1658291457286432,0.8190954773869347,3.0,-5.0,H_earlier,Jw_earlier,0.7085427135678392,0.8190954773869347,weak_or_none,weak_or_none,True
W160,W160_H_vs_Jw_delta_peak,H,Jw,decile,0.1,99,99,0.7676767676767676,0.21212121212121213,0.18181818181818182,0.8080808080808081,4.0,-5.0,H_earlier,Jw_earlier,0.7676767676767676,0.8080808080808081,weak_or_none,weak_or_none,True
W160,W160_Je_vs_Jw_delta_peak,Je,Jw,tercile,0.3333333333333333,332,332,0.3885542168674699,0.5692771084337349,0.0963855421686747,0.8855421686746988,-3.0,-10.0,Jw_earlier,Jw_earlier,0.5692771084337349,0.8855421686746988,weak_or_none,weak_or_none,False
W160,W160_Je_vs_Jw_delta_peak,Je,Jw,quartile,0.25,249,249,0.4457831325301205,0.5060240963855421,0.08433734939759036,0.891566265060241,-1.0,-11.0,Jw_earlier,Jw_earlier,0.5060240963855421,0.891566265060241,weak_or_none,weak_or_none,False
W160,W160_Je_vs_Jw_delta_peak,Je,Jw,quintile,0.2,199,199,0.4723618090452261,0.48743718592964824,0.07537688442211055,0.9045226130653267,0.0,-11.0,Jw_earlier,Jw_earlier,0.48743718592964824,0.9045226130653267,weak_or_none,usable_90,False
W160,W160_Je_vs_Jw_delta_peak,Je,Jw,decile,0.1,99,99,0.494949494949495,0.47474747474747475,0.10101010101010101,0.8787878787878788,0.0,-11.0,Je_earlier,Jw_earlier,0.494949494949495,0.8787878787878788,weak_or_none,weak_or_none,True
