baseline_config,field,branch,event_family,event_name,observed_day,event_status,invalid_reason,threshold,dynamic_range
C0_full_stage,H,distance,state,S25_day,4.0,left_censored,threshold_already_reached_before_search_start,0.25,
C0_full_stage,H,distance,state,S50_day,35.0,valid,,0.5,
C0_full_stage,H,distance,state,S75_day,51.0,valid,,0.75,
C0_full_stage,H,distance,state,durable_S50_day,35.0,valid,,0.5,
C0_full_stage,H,distance,state,durable_S75_day,51.0,valid,,0.75,
C0_full_stage,H,pattern,state,S25_day,37.0,valid,,0.25,0.017864114227701303
C0_full_stage,H,pattern,state,S50_day,41.0,valid,,0.5,0.017864114227701303
C0_full_stage,H,pattern,state,S75_day,58.0,right_censored,threshold_reached_after_search_end,0.75,0.017864114227701303
C0_full_stage,H,pattern,state,durable_S50_day,41.0,valid,,0.5,0.017864114227701303
C0_full_stage,H,pattern,state,durable_S75_day,58.0,right_censored,threshold_reached_after_search_end,0.75,0.017864114227701303
C0_full_stage,Jw,distance,state,S25_day,32.0,left_censored,threshold_already_reached_before_search_start,0.25,
C0_full_stage,Jw,distance,state,S50_day,46.0,valid,,0.5,
C0_full_stage,Jw,distance,state,S75_day,52.0,valid,,0.75,
C0_full_stage,Jw,distance,state,durable_S50_day,46.0,valid,,0.5,
C0_full_stage,Jw,distance,state,durable_S75_day,52.0,not_durable,first_passage_not_sustained_3d,0.75,
C0_full_stage,Jw,pattern,state,S25_day,37.0,valid,,0.25,2.284244813974088
C0_full_stage,Jw,pattern,state,S50_day,42.0,valid,,0.5,2.284244813974088
C0_full_stage,Jw,pattern,state,S75_day,48.0,valid,,0.75,2.284244813974088
C0_full_stage,Jw,pattern,state,durable_S50_day,42.0,valid,,0.5,2.284244813974088
C0_full_stage,Jw,pattern,state,durable_S75_day,48.0,valid,,0.75,2.284244813974088
C1_buffered_stage,H,distance,state,S25_day,27.0,left_censored,threshold_already_reached_before_search_start,0.25,
C1_buffered_stage,H,distance,state,S50_day,34.0,left_censored,threshold_already_reached_before_search_start,0.5,
C1_buffered_stage,H,distance,state,S75_day,50.0,valid,,0.75,
C1_buffered_stage,H,distance,state,durable_S50_day,34.0,left_censored,threshold_already_reached_before_search_start,0.5,
C1_buffered_stage,H,distance,state,durable_S75_day,50.0,valid,,0.75,
C1_buffered_stage,H,pattern,state,S25_day,37.0,valid,,0.25,0.017060246222339745
C1_buffered_stage,H,pattern,state,S50_day,40.0,valid,,0.5,0.017060246222339745
C1_buffered_stage,H,pattern,state,S75_day,55.0,right_censored,threshold_reached_after_search_end,0.75,0.017060246222339745
C1_buffered_stage,H,pattern,state,durable_S50_day,40.0,valid,,0.5,0.017060246222339745
C1_buffered_stage,H,pattern,state,durable_S75_day,55.0,right_censored,threshold_reached_after_search_end,0.75,0.017060246222339745
C1_buffered_stage,Jw,distance,state,S25_day,30.0,left_censored,threshold_already_reached_before_search_start,0.25,
