layer_name,field_or_pair,organization_label,evidence_summary,interpretation
field_process_layer,P,process_transition_usable_with_caution,"P: process_transition_usable_with_caution. Foundation=usable_with_caution; prepost=strong_prepost_foundation, direction=dominant_prepost_direction, projection=usable_progress_proxy_with_caution, single_curve=single_curve_adequate; caution=moderate_component_or_curve_caution (foundation=usable_with_caution;progress_outside_0_1=0.323).",field-level transition process card; caution fields must be retained
field_process_layer,V,process_transition_usable_with_caution,"V: process_transition_usable_with_caution. Foundation=usable_with_caution; prepost=strong_prepost_foundation, direction=dominant_prepost_direction, projection=usable_progress_proxy_with_caution, single_curve=single_curve_adequate; caution=moderate_component_or_curve_caution (foundation=usable_with_caution;progress_outside_0_1=0.290).",field-level transition process card; caution fields must be retained
field_process_layer,H,process_transition_usable_with_caution,"H: process_transition_usable_with_caution. Foundation=usable_with_caution; prepost=strong_prepost_foundation, direction=dominant_prepost_direction, projection=usable_progress_proxy_with_caution, single_curve=single_curve_adequate; caution=moderate_component_or_curve_caution (foundation=usable_with_caution;progress_outside_0_1=0.290).",field-level transition process card; caution fields must be retained
field_process_layer,Je,process_transition_usable_with_caution,"Je: process_transition_usable_with_caution. Foundation=usable_with_caution; prepost=strong_prepost_foundation, direction=dominant_prepost_direction, projection=usable_progress_proxy_with_caution, single_curve=single_curve_adequate; caution=moderate_component_or_curve_caution (foundation=usable_with_caution;progress_outside_0_1=0.355).",field-level transition process card; caution fields must be retained
field_process_layer,Jw,process_transition_usable_with_caution,"Jw: process_transition_usable_with_caution. Foundation=usable_with_caution; prepost=strong_prepost_foundation, direction=dominant_prepost_direction, projection=usable_progress_proxy_with_caution, single_curve=single_curve_adequate; caution=moderate_component_or_curve_caution (foundation=usable_with_caution;progress_outside_0_1=0.226).",field-level transition process card; caution fields must be retained
pair_relation_layer,P-V,same_phase_candidate,P-V: same_phase_candidate. 30-33:near_equal_phase_candidate;34-36:A_tendency_phase;37-38:not_resolved_phase;39-50:A_tendency_phase;51-51:not_resolved_phase;52-59:near_equal_phase_candidate;60-60:not_resolved_phase Layer evidence=threshold:t30:A_tendency:A;threshold:t35:A_tendency:A;threshold:t40:A_tendency:A;threshold:t45:A_tendency:A;threshold:t50:A_tendency:A;threshold:t75:A_tendency:A. Departure=same_day_candidate:2; early_progress=not_resolved:4;A_tendency:3; peak=not_resolved:2; midpoint=A_tendency median_delta=2.0 q05=-1.0 q95=4.0; finish=A_tendency median_delta=2.0 q05=0.0 q95=4.0.,pair relation card; layer-specific unless clean_lead
pair_relation_layer,P-H,front_loaded_vs_catchup,P-H: front_loaded_vs_catchup. 30-34:near_equal_phase_candidate;35-37:B_tendency_phase;38-38:B_ahead_phase;39-43:B_tendency_phase;44-46:not_resolved_phase;47-52:A_tendency_phase;53-54:A_ahead_phase;55-55:A_tendency_phase;56-56:near_equal_phase_candidate;57-57:B_tendency_phase;58-58:near_equal_phase_candidate;59-59:not_resolved_phase;60-60:B_tendency_phase Layer evidence=threshold:t10:B_tendency:B;threshold:t15:B_tendency:B;threshold:t20:B_tendency:B;threshold:t25:B_tendency:B;threshold:t30:B_tendency:B;threshold:t35:B_tendency:B;threshold:t40:B_tendency:B;threshold:t45:B_tendency:B;threshold:t50:B_tendency:B;peak_change:peak_change_raw:B_tendency:B;peak_change:peak_change_smooth3:B_tendency:B. Departure=same_day_candidate:2; early_progress=B_tendency:7; peak=B_tendency:2; midpoint=B_tendency median_delta=-4.0 q05=-8.0 q95=9.0; finish=not_resolved median_delta=4.0 q05=-8.049999999999997 q95=9.0.,pair relation card; layer-specific unless clean_lead
pair_relation_layer,P-Je,phase_crossing,P-Je: phase_crossing. 30-30:B_tendency_phase;31-31:not_resolved_phase;32-33:B_tendency_phase;34-38:A_tendency_phase;39-42:A_ahead_phase;43-52:A_tendency_phase;53-55:A_ahead_phase;56-56:near_equal_phase_candidate;57-57:B_tendency_phase;58-58:near_equal_phase_candidate;59-59:not_resolved_phase;60-60:B_tendency_phase Layer evidence=departure:departure90:A_leads_90:A;threshold:t20:A_leads_90:A;threshold:t25:A_leads_90:A;departure:departure95:A_tendency:A;threshold:t10:A_tendency:A;threshold:t15:A_tendency:A;threshold:t30:A_tendency:A;threshold:t35:A_tendency:A;threshold:t40:A_tendency:A;threshold:t45:A_tendency:A;threshold:t50:A_tendency:A;threshold:t75:A_tendency:A. Departure=A_leads_90:1;A_tendency:1; early_progress=A_tendency:5;A_leads_90:2; peak=not_resolved:2; midpoint=A_tendency median_delta=3.0 q05=0.0 q95=7.0; finish=A_tendency median_delta=4.0 q05=-1.0 q95=8.0.,pair relation card; layer-specific unless clean_lead
pair_relation_layer,P-Jw,phase_crossing,P-Jw: phase_crossing. 30-35:near_equal_phase_candidate;36-46:not_resolved_phase;47-52:A_tendency_phase;53-55:near_equal_phase_candidate;56-57:B_tendency_phase;58-58:near_equal_phase_candidate;59-60:not_resolved_phase Layer evidence=duration:duration_25_75:A_tendency:A. Departure=same_day_candidate:2; early_progress=not_resolved:7; peak=not_resolved:2; midpoint=not_resolved median_delta=0.0 q05=-4.0 q95=5.0; finish=not_resolved median_delta=2.0 q05=-3.0 q95=6.0.,pair relation card; layer-specific unless clean_lead
pair_relation_layer,V-H,phase_crossing,V-H: phase_crossing. 30-34:near_equal_phase_candidate;35-35:B_tendency_phase;36-40:B_ahead_phase;41-44:B_tendency_phase;45-47:not_resolved_phase;48-55:A_tendency_phase;56-57:B_tendency_phase;58-60:near_equal_phase_candidate Layer evidence=threshold:t10:B_tendency:B;threshold:t15:B_tendency:B;threshold:t20:B_tendency:B;threshold:t25:B_tendency:B;threshold:t30:B_tendency:B;threshold:t35:B_tendency:B;threshold:t40:B_tendency:B;threshold:t45:B_tendency:B;threshold:t50:B_tendency:B;peak_change:peak_change_raw:B_tendency:B;peak_change:peak_change_smooth3:B_tendency:B. Departure=same_day_candidate:2; early_progress=B_tendency:7; peak=B_tendency:2; midpoint=B_tendency median_delta=-6.0 q05=-9.0 q95=7.0; finish=not_resolved median_delta=2.0 q05=-11.0 q95=8.0.,pair relation card; layer-specific unless clean_lead
pair_relation_layer,V-Je,phase_crossing,V-Je: phase_crossing. 30-30:B_tendency_phase;31-31:not_resolved_phase;32-33:B_tendency_phase;34-35:near_equal_phase_candidate;36-45:A_tendency_phase;46-49:not_resolved_phase;50-53:A_tendency_phase;54-55:A_ahead_phase;56-60:near_equal_phase_candidate Layer evidence=departure:departure90:A_tendency:A;departure:departure95:A_tendency:A;threshold:t10:A_tendency:A;threshold:t15:A_tendency:A;threshold:t20:A_tendency:A;threshold:t25:A_tendency:A;threshold:t30:A_tendency:A;threshold:t35:A_tendency:A;threshold:t40:A_tendency:A;threshold:t75:A_tendency:A. Departure=A_tendency:2; early_progress=A_tendency:7; peak=not_resolved:2; midpoint=not_resolved median_delta=1.0 q05=-2.0 q95=5.0; finish=A_tendency median_delta=2.0 q05=-4.0 q95=7.0.,pair relation card; layer-specific unless clean_lead
pair_relation_layer,V-Jw,same_phase_candidate,V-Jw: same_phase_candidate. 30-33:near_equal_phase_candidate;34-34:B_tendency_phase;35-35:near_equal_phase_candidate;36-37:not_resolved_phase;38-41:B_tendency_phase;42-42:not_resolved_phase;43-43:B_tendency_phase;44-52:not_resolved_phase;53-55:near_equal_phase_candidate;56-56:B_tendency_phase;57-60:near_equal_phase_candidate Layer evidence=threshold:t15:B_tendency:B;threshold:t20:B_tendency:B;threshold:t25:B_tendency:B;threshold:t30:B_tendency:B;peak_change:peak_change_smooth3:B_tendency:B. Departure=same_day_candidate:2; early_progress=B_tendency:4;not_resolved:3; peak=not_resolved:1;B_tendency:1; midpoint=not_resolved median_delta=-1.0 q05=-6.0 q95=4.0; finish=not_resolved median_delta=0.0 q05=-6.0 q95=5.0.,pair relation card; layer-specific unless clean_lead
pair_relation_layer,H-Je,phase_crossing,H-Je: phase_crossing. 30-30:B_tendency_phase;31-31:not_resolved_phase;32-33:B_tendency_phase;34-34:near_equal_phase_candidate;35-35:A_tendency_phase;36-43:A_ahead_phase;44-45:A_tendency_phase;46-54:not_resolved_phase;55-56:A_tendency_phase;57-60:near_equal_phase_candidate Layer evidence=departure:departure90:A_leads_90:A;departure:departure95:A_leads_90:A;threshold:t15:A_leads_90:A;threshold:t20:A_leads_90:A;threshold:t25:A_leads_90:A;threshold:t30:A_leads_90:A;threshold:t35:A_leads_90:A;threshold:t40:A_leads_90:A;threshold:t10:A_tendency:A;threshold:t45:A_tendency:A;threshold:t50:A_tendency:A;peak_change:peak_change_raw:A_tendency:A;peak_change:peak_change_smooth3:A_tendency:A. Departure=A_leads_90:2; early_progress=A_leads_90:6;A_tendency:1; peak=A_tendency:2; midpoint=A_tendency median_delta=7.0 q05=-5.0 q95=10.0; finish=not_resolved median_delta=1.0 q05=-6.0 q95=12.0.,pair relation card; layer-specific unless clean_lead
pair_relation_layer,H-Jw,phase_crossing,H-Jw: phase_crossing. 30-34:near_equal_phase_candidate;35-35:A_tendency_phase;36-38:A_ahead_phase;39-43:A_tendency_phase;44-47:not_resolved_phase;48-55:B_tendency_phase;56-60:near_equal_phase_candidate Layer evidence=threshold:t10:A_tendency:A;threshold:t15:A_tendency:A;threshold:t20:A_tendency:A;threshold:t25:A_tendency:A;threshold:t30:A_tendency:A;threshold:t35:A_tendency:A;threshold:t40:A_tendency:A;threshold:t45:A_tendency:A;threshold:t50:A_tendency:A;peak_change:peak_change_raw:A_tendency:A;peak_change:peak_change_smooth3:A_tendency:A. Departure=same_day_candidate:2; early_progress=A_tendency:7; peak=A_tendency:2; midpoint=A_tendency median_delta=4.0 q05=-7.0 q95=9.0; finish=not_resolved median_delta=-1.0 q05=-9.0 q95=10.0.,pair relation card; layer-specific unless clean_lead
pair_relation_layer,Je-Jw,phase_crossing,Je-Jw: phase_crossing. 30-30:A_tendency_phase;31-31:not_resolved_phase;32-32:A_tendency_phase;33-33:near_equal_phase_candidate;34-36:B_tendency_phase;37-40:B_ahead_phase;41-46:B_tendency_phase;47-48:not_resolved_phase;49-51:B_tendency_phase;52-52:not_resolved_phase;53-54:B_tendency_phase;55-55:B_ahead_phase;56-56:B_tendency_phase;57-60:near_equal_phase_candidate Layer evidence=departure:departure90:B_leads_90:B;departure:departure95:B_leads_90:B;threshold:t10:B_tendency:B;threshold:t15:B_tendency:B;threshold:t20:B_tendency:B;threshold:t25:B_tendency:B;threshold:t30:B_tendency:B;threshold:t35:B_tendency:B;threshold:t40:B_tendency:B;threshold:t45:B_tendency:B;threshold:t50:B_tendency:B;threshold:t75:B_tendency:B;early_span:early_span_25_50:A_tendency:A. Departure=B_leads_90:2; early_progress=B_tendency:7; peak=not_resolved:2; midpoint=B_tendency median_delta=-3.0 q05=-7.0 q95=2.0; finish=B_tendency median_delta=-2.0 q05=-7.0 q95=3.0.,pair relation card; layer-specific unless clean_lead
confirmed_layer_specific_evidence_layer,all_pairs,confirmed_layer_specific_summary,"{'P-Je': 'departure:departure90:A_leads_90:A;threshold:t20:A_leads_90:A;threshold:t25:A_leads_90:A', 'H-Je': 'departure:departure90:A_leads_90:A;departure:departure95:A_leads_90:A;threshold:t15:A_leads_90:A;threshold:t20:A_leads_90:A;threshold:t25:A_leads_90:A;threshold:t30:A_leads_90:A;threshold:t35:A_leads_90:A;threshold:t40:A_leads_90:A', 'Je-Jw': 'departure:departure90:B_leads_90:B;departure:departure95:B_leads_90:B'}",Confirmed marker-family layer evidence; does not imply global lead.
tendency_layer_specific_evidence_layer,all_pairs,tendency_layer_specific_summary,"{'P-V': 'threshold:t30:A_tendency:A;threshold:t35:A_tendency:A;threshold:t40:A_tendency:A;threshold:t45:A_tendency:A;threshold:t50:A_tendency:A;threshold:t75:A_tendency:A', 'P-H': 'threshold:t10:B_tendency:B;threshold:t15:B_tendency:B;threshold:t20:B_tendency:B;threshold:t25:B_tendency:B;threshold:t30:B_tendency:B;threshold:t35:B_tendency:B;threshold:t40:B_tendency:B;threshold:t45:B_tendency:B;threshold:t50:B_tendency:B;peak_change:peak_change_raw:B_tendency:B;peak_change:peak_change_smooth3:B_tendency:B', 'P-Je': 'departure:departure95:A_tendency:A;threshold:t10:A_tendency:A;threshold:t15:A_tendency:A;threshold:t30:A_tendency:A;threshold:t35:A_tendency:A;threshold:t40:A_tendency:A;threshold:t45:A_tendency:A;threshold:t50:A_tendency:A;threshold:t75:A_tendency:A', 'P-Jw': 'duration:duration_25_75:A_tendency:A', 'V-H': 'threshold:t10:B_tendency:B;threshold:t15:B_tendency:B;threshold:t20:B_tendency:B;threshold:t25:B_tendency:B;threshold:t30:B_tendency:B;threshold:t35:B_tendency:B;threshold:t40:B_tendency:B;threshold:t45:B_tendency:B;threshold:t50:B_tendency:B;peak_change:peak_change_raw:B_tendency:B;peak_change:peak_change_smooth3:B_tendency:B', 'V-Je': 'departure:departure90:A_tendency:A;departure:departure95:A_tendency:A;threshold:t10:A_tendency:A;threshold:t15:A_tendency:A;threshold:t20:A_tendency:A;threshold:t25:A_tendency:A;threshold:t30:A_tendency:A;threshold:t35:A_tendency:A;threshold:t40:A_tendency:A;threshold:t75:A_tendency:A', 'V-Jw': 'threshold:t15:B_tendency:B;threshold:t20:B_tendency:B;threshold:t25:B_tendency:B;threshold:t30:B_tendency:B;peak_change:peak_change_smooth3:B_tendency:B', 'H-Je': 'threshold:t10:A_tendency:A;threshold:t45:A_tendency:A;threshold:t50:A_tendency:A;peak_change:peak_change_raw:A_tendency:A;peak_change:peak_change_smooth3:A_tendency:A', 'H-Jw': 'threshold:t10:A_tendency:A;threshold:t15:A_tendency:A;threshold:t20:A_tendency:A;threshold:t25:A_tendency:A;threshold:t30:A_tendency:A;threshold:t35:A_tendency:A;threshold:t40:A_tendency:A;threshold:t45:A_tendency:A;threshold:t50:A_tendency:A;peak_change:peak_change_raw:A_tendency:A;peak_change:peak_change_smooth3:A_tendency:A', 'Je-Jw': 'threshold:t10:B_tendency:B;threshold:t15:B_tendency:B;threshold:t20:B_tendency:B;threshold:t25:B_tendency:B;threshold:t30:B_tendency:B;threshold:t35:B_tendency:B;threshold:t40:B_tendency:B;threshold:t45:B_tendency:B;threshold:t50:B_tendency:B;threshold:t75:B_tendency:B;early_span:early_span_25_50:A_tendency:A'}",Tendency marker-family layer evidence; diagnostic only.
departure_layer,all_pairs,marker_family_summary,"{'same_day_candidate': 12, 'A_leads_90': 3, 'A_tendency': 3, 'B_leads_90': 2}",departure marker-family pairwise relation counts
peak_change_layer,all_pairs,marker_family_summary,"{'not_resolved': 11, 'B_tendency': 5, 'A_tendency': 4}",peak_change marker-family pairwise relation counts
early_progress_layer,all_pairs,early_threshold_summary,"{'B_tendency': 25, 'A_tendency': 23, 'not_resolved': 14, 'A_leads_90': 8}",early-progress threshold pairwise relation counts
