window_id,object,selected_candidate_id,selected_peak_day,selected_window_start,selected_window_end,selected_role,support_class,selection_reason,excluded_candidates,early_secondary_candidates,late_secondary_candidates,target_name,phase_group,phase_group_size,years_in_phase_group,group_role
W045,P,CP002,46,36,56,within_system_window,candidate_window,system_relevant_first,CP001@55:weak_window;CP003@31:candidate_window;CP004@38:weak_window;CP005@22:candidate_window,CP005@22:candidate_window,CP001@55:weak_window,W045_Je_earlier_minus_Jw_earlier,target_mode_high,15,1987;1988;1991;1994;1998;1999;2008;2010;2015;2016;2017;2018;2019;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W045,V,CP001,46,36,56,within_system_window,accepted_window,system_relevant_first,CP002@30:accepted_window;CP003@21:candidate_window,CP003@21:candidate_window,,W045_Je_earlier_minus_Jw_earlier,target_mode_high,15,1987;1988;1991;1994;1998;1999;2008;2010;2015;2016;2017;2018;2019;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W045,H,CP002,51,41,59,late_or_catchup,candidate_window,system_relevant_first,CP001@33:candidate_window;CP003@18:weak_window,CP003@18:weak_window,,W045_Je_earlier_minus_Jw_earlier,target_mode_high,15,1987;1988;1991;1994;1998;1999;2008;2010;2015;2016;2017;2018;2019;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W045,Je,CP001,44,34,54,within_system_window,accepted_window,system_relevant_first,CP002@34:accepted_window;CP003@15:unstable_window;CP004@57:weak_window,CP003@15:unstable_window,CP004@57:weak_window,W045_Je_earlier_minus_Jw_earlier,target_mode_high,15,1987;1988;1991;1994;1998;1999;2008;2010;2015;2016;2017;2018;2019;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W045,Jw,CP001,48,38,58,within_system_window,accepted_window,system_relevant_first,CP002@28:accepted_window;CP003@15:weak_window;CP004@37:candidate_window,CP002@28:accepted_window;CP003@15:weak_window,,W045_Je_earlier_minus_Jw_earlier,target_mode_high,15,1987;1988;1991;1994;1998;1999;2008;2010;2015;2016;2017;2018;2019;2021;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W045,P,CP001,45,35,55,within_system_window,accepted_window,system_relevant_first,CP002@56:candidate_window;CP003@15:weak_window;CP004@23:candidate_window,CP003@15:weak_window;CP004@23:candidate_window,CP002@56:candidate_window,W045_Je_earlier_minus_Jw_earlier,target_mode_low,15,1979;1981;1982;1984;1985;1986;1990;1992;1993;1997;2000;2007;2009;2012;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W045,V,CP001,44,34,54,within_system_window,accepted_window,system_relevant_first,CP002@15:weak_window;CP003@56:weak_window;CP004@30:candidate_window,CP002@15:weak_window,CP003@56:weak_window,W045_Je_earlier_minus_Jw_earlier,target_mode_low,15,1979;1981;1982;1984;1985;1986;1990;1992;1993;1997;2000;2007;2009;2012;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W045,H,CP002,31,21,41,front_or_early,candidate_window,system_relevant_first,CP001@20:accepted_window;CP003@52:weak_window,CP001@20:accepted_window,,W045_Je_earlier_minus_Jw_earlier,target_mode_low,15,1979;1981;1982;1984;1985;1986;1990;1992;1993;1997;2000;2007;2009;2012;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W045,Je,CP001,47,37,57,within_system_window,accepted_window,system_relevant_first,CP002@20:candidate_window,CP002@20:candidate_window,,W045_Je_earlier_minus_Jw_earlier,target_mode_low,15,1979;1981;1982;1984;1985;1986;1990;1992;1993;1997;2000;2007;2009;2012;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W045,Jw,CP001,39,29,49,front_or_early,accepted_window,system_relevant_first,CP002@28:accepted_window;CP003@57:weak_window;CP004@17:weak_window,CP002@28:accepted_window;CP004@17:weak_window,CP003@57:weak_window,W045_Je_earlier_minus_Jw_earlier,target_mode_low,15,1979;1981;1982;1984;1985;1986;1990;1992;1993;1997;2000;2007;2009;2012;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
