window_id,mode,pc_phase,object_A,object_B,peak_A,peak_B,delta_B_minus_A,tau_sync_primary_used,order_label,n_years_in_group,years_in_group
W045,1,high,P,V,48.0,47.0,-1.0,3.0,same_day_or_near,15,1994;2003;1980;1995;2010;2019;2015;2021;1987;2023;1983;1991;2018;2016;1998
W045,1,high,P,H,48.0,38.0,-10.0,3.0,B_earlier,15,1994;2003;1980;1995;2010;2019;2015;2021;1987;2023;1983;1991;2018;2016;1998
W045,1,high,P,Je,48.0,44.0,-4.0,3.0,B_earlier,15,1994;2003;1980;1995;2010;2019;2015;2021;1987;2023;1983;1991;2018;2016;1998
W045,1,high,P,Jw,48.0,45.0,-3.0,3.0,same_day_or_near,15,1994;2003;1980;1995;2010;2019;2015;2021;1987;2023;1983;1991;2018;2016;1998
W045,1,high,V,H,47.0,38.0,-9.0,3.0,B_earlier,15,1994;2003;1980;1995;2010;2019;2015;2021;1987;2023;1983;1991;2018;2016;1998
W045,1,high,V,Je,47.0,44.0,-3.0,3.0,same_day_or_near,15,1994;2003;1980;1995;2010;2019;2015;2021;1987;2023;1983;1991;2018;2016;1998
W045,1,high,V,Jw,47.0,45.0,-2.0,3.0,same_day_or_near,15,1994;2003;1980;1995;2010;2019;2015;2021;1987;2023;1983;1991;2018;2016;1998
W045,1,high,H,Je,38.0,44.0,6.0,3.0,A_earlier,15,1994;2003;1980;1995;2010;2019;2015;2021;1987;2023;1983;1991;2018;2016;1998
W045,1,high,H,Jw,38.0,45.0,7.0,3.0,A_earlier,15,1994;2003;1980;1995;2010;2019;2015;2021;1987;2023;1983;1991;2018;2016;1998
W045,1,high,Je,Jw,44.0,45.0,1.0,3.0,same_day_or_near,15,1994;2003;1980;1995;2010;2019;2015;2021;1987;2023;1983;1991;2018;2016;1998
W045,1,low,P,V,45.0,43.0,-2.0,3.0,same_day_or_near,15,1984;2000;1996;2009;1992;1982;1997;2008;1989;1985;1981;1979;2007;1999;2013
W045,1,low,P,H,45.0,33.0,-12.0,3.0,B_earlier,15,1984;2000;1996;2009;1992;1982;1997;2008;1989;1985;1981;1979;2007;1999;2013
