window_id,method,k,cluster_id,cluster_size,object_A,object_B,v9_best_direction,v9_best_probability,v9_order_level,v9_order_decision_original,type_best_direction,type_best_probability,type_order_level,type_improves_over_v9,opposite_order_vs_v9,type_internal_stabilization
W045,kmedoids_behavior_pca,2,0,12,P,V,A_earlier,0.578,unresolved,A_peak_earlier_tendency,A_earlier,0.446,unresolved,False,False,False
W045,kmedoids_behavior_pca,2,0,12,P,H,B_earlier,0.718,unresolved,B_peak_earlier_tendency,A_earlier,0.434,unresolved,False,True,False
W045,kmedoids_behavior_pca,2,0,12,P,Je,A_earlier,0.727,unresolved,A_peak_earlier_tendency,A_earlier,0.808,unresolved,True,False,False
W045,kmedoids_behavior_pca,2,0,12,P,Jw,B_earlier,0.582,unresolved,B_peak_earlier_tendency,B_earlier,0.88,unresolved,True,False,False
W045,kmedoids_behavior_pca,2,0,12,V,H,B_earlier,0.741,unresolved,B_peak_earlier_tendency,B_earlier,0.466,unresolved,False,False,False
W045,kmedoids_behavior_pca,2,0,12,V,Je,A_earlier,0.602,unresolved,A_peak_earlier_tendency,A_earlier,0.71,unresolved,True,False,False
W045,kmedoids_behavior_pca,2,0,12,V,Jw,B_earlier,0.658,unresolved,B_peak_earlier_tendency,B_earlier,0.75,unresolved,True,False,False
W045,kmedoids_behavior_pca,2,0,12,H,Je,A_earlier,0.737,unresolved,A_peak_earlier_tendency,A_earlier,0.714,unresolved,False,False,False
W045,kmedoids_behavior_pca,2,0,12,H,Jw,A_earlier,0.722,unresolved,A_peak_earlier_tendency,B_earlier,0.696,unresolved,False,True,False
W045,kmedoids_behavior_pca,2,0,12,Je,Jw,B_earlier,0.715,unresolved,B_peak_earlier_tendency,B_earlier,0.98,credible_95,True,False,True
W045,kmedoids_behavior_pca,2,1,33,P,V,A_earlier,0.578,unresolved,A_peak_earlier_tendency,A_earlier,0.506,unresolved,False,False,False
W045,kmedoids_behavior_pca,2,1,33,P,H,B_earlier,0.718,unresolved,B_peak_earlier_tendency,A_earlier,0.494,unresolved,False,True,False
W045,kmedoids_behavior_pca,2,1,33,P,Je,A_earlier,0.727,unresolved,A_peak_earlier_tendency,A_earlier,0.63,unresolved,False,False,False
W045,kmedoids_behavior_pca,2,1,33,P,Jw,B_earlier,0.582,unresolved,B_peak_earlier_tendency,A_earlier,0.82,unresolved,True,True,False
W045,kmedoids_behavior_pca,2,1,33,V,H,B_earlier,0.741,unresolved,B_peak_earlier_tendency,A_earlier,0.486,unresolved,False,True,False
W045,kmedoids_behavior_pca,2,1,33,V,Je,A_earlier,0.602,unresolved,A_peak_earlier_tendency,A_earlier,0.6,unresolved,False,False,False
W045,kmedoids_behavior_pca,2,1,33,V,Jw,B_earlier,0.658,unresolved,B_peak_earlier_tendency,A_earlier,0.806,unresolved,True,True,False
W045,kmedoids_behavior_pca,2,1,33,H,Je,A_earlier,0.737,unresolved,A_peak_earlier_tendency,A_earlier,0.548,unresolved,False,False,False
W045,kmedoids_behavior_pca,2,1,33,H,Jw,A_earlier,0.722,unresolved,A_peak_earlier_tendency,A_earlier,0.62,unresolved,False,False,False
W045,kmedoids_behavior_pca,2,1,33,Je,Jw,B_earlier,0.715,unresolved,B_peak_earlier_tendency,A_earlier,0.758,unresolved,False,True,False
W045,kmedoids_behavior_pca,3,0,33,P,V,A_earlier,0.578,unresolved,A_peak_earlier_tendency,A_earlier,0.506,unresolved,False,False,False
W045,kmedoids_behavior_pca,3,0,33,P,H,B_earlier,0.718,unresolved,B_peak_earlier_tendency,A_earlier,0.494,unresolved,False,True,False
W045,kmedoids_behavior_pca,3,0,33,P,Je,A_earlier,0.727,unresolved,A_peak_earlier_tendency,A_earlier,0.63,unresolved,False,False,False
W045,kmedoids_behavior_pca,3,0,33,P,Jw,B_earlier,0.582,unresolved,B_peak_earlier_tendency,A_earlier,0.82,unresolved,True,True,False
W045,kmedoids_behavior_pca,3,0,33,V,H,B_earlier,0.741,unresolved,B_peak_earlier_tendency,A_earlier,0.486,unresolved,False,True,False
W045,kmedoids_behavior_pca,3,0,33,V,Je,A_earlier,0.602,unresolved,A_peak_earlier_tendency,A_earlier,0.6,unresolved,False,False,False
W045,kmedoids_behavior_pca,3,0,33,V,Jw,B_earlier,0.658,unresolved,B_peak_earlier_tendency,A_earlier,0.806,unresolved,True,True,False
W045,kmedoids_behavior_pca,3,0,33,H,Je,A_earlier,0.737,unresolved,A_peak_earlier_tendency,A_earlier,0.548,unresolved,False,False,False
W045,kmedoids_behavior_pca,3,0,33,H,Jw,A_earlier,0.722,unresolved,A_peak_earlier_tendency,A_earlier,0.62,unresolved,False,False,False
W045,kmedoids_behavior_pca,3,0,33,Je,Jw,B_earlier,0.715,unresolved,B_peak_earlier_tendency,A_earlier,0.758,unresolved,False,True,False
W045,kmedoids_behavior_pca,3,1,10,P,V,A_earlier,0.578,unresolved,A_peak_earlier_tendency,B_earlier,0.534,unresolved,False,True,False
W045,kmedoids_behavior_pca,3,1,10,P,H,B_earlier,0.718,unresolved,B_peak_earlier_tendency,B_earlier,0.616,unresolved,False,False,False
