window_id,anchor_day,field_a,field_b,median_delta_b_minus_a,mean_delta_b_minus_a,q05_delta_b_minus_a,q95_delta_b_minus_a,q25_delta_b_minus_a,q75_delta_b_minus_a,q025_delta_b_minus_a,q975_delta_b_minus_a,pass_95,pass_90,final_evidence_label_v7_e1,significance_label_v7_e1,primary_failure_type,secondary_failure_flags,zero_in_iqr,zero_in_90ci,zero_in_95ci,field_a_progress_quality,field_b_progress_quality,field_a_prepost_separation,field_b_prepost_separation,field_a_midpoint_iqr,field_b_midpoint_iqr,field_a_midpoint_q95_width,field_b_midpoint_q95_width,larger_spread_field,loyo_direction,loyo_conflict_flag,failure_interpretation,recommended_next_action
W002,45,P,V,2.0,1.542,-1.0,4.0,1.0,3.0,-1.0,4.0,False,False,supported_directional_tendency,direction_significant,tail_uncertainty,zero_inside_90ci_tail;directional_signal_but_tail_uncertain;method_resolution_limit_risk;larger_spread_field=P,False,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,3.0,2.0,5.024999999999999,6.0,P,field_a_before_field_b,False,"The central distribution has a direction, but the 90% bootstrap tail crosses zero; this is a candidate tendency, not accepted evidence.",retain_as_candidate_tendency_and_consider_region_level_progress
W002,45,P,H,-4.0,-2.914,-8.0,9.0,-6.0,-2.0,-8.0,10.0,False,False,supported_directional_tendency,direction_significant,tail_uncertainty,zero_inside_90ci_tail;directional_signal_but_tail_uncertain;method_resolution_limit_risk,False,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,3.0,3.0,5.024999999999999,14.0,equal,field_b_before_field_a,False,"The central distribution has a direction, but the 90% bootstrap tail crosses zero; this is a candidate tendency, not accepted evidence.",retain_as_candidate_tendency_and_consider_region_level_progress
W002,45,P,Je,3.0,3.037,0.0,7.0,1.0,5.0,-1.0,8.0,False,False,supported_directional_tendency,direction_significant,tail_uncertainty,zero_inside_90ci_tail;directional_signal_but_tail_uncertain;method_resolution_limit_risk;larger_spread_field=P,False,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,3.0,2.0,5.024999999999999,6.0,P,field_a_before_field_b,False,"The central distribution has a direction, but the 90% bootstrap tail crosses zero; this is a candidate tendency, not accepted evidence.",retain_as_candidate_tendency_and_consider_region_level_progress
W002,45,P,Jw,0.0,0.332,-4.0,5.0,-2.0,2.0,-4.0,6.024999999999977,False,False,not_distinguishable,direction_not_significant,central_overlap,zero_inside_iqr,True,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,3.0,3.0,5.024999999999999,9.0,equal,tie_or_zero_median,False,Zero lies inside the central 50% bootstrap interval; the two fields are not separable under current whole-field progress timing.,accept_as_indistinguishable_under_current_whole_field_progress
W002,45,V,H,-6.0,-4.456,-9.0,7.0,-7.0,-3.0,-10.0,8.0,False,False,supported_directional_tendency,direction_significant,tail_uncertainty,zero_inside_90ci_tail;directional_signal_but_tail_uncertain;method_resolution_limit_risk;larger_spread_field=H,False,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,2.0,3.0,6.0,14.0,H,field_b_before_field_a,False,"The central distribution has a direction, but the 90% bootstrap tail crosses zero; this is a candidate tendency, not accepted evidence.",retain_as_candidate_tendency_and_consider_region_level_progress
W002,45,V,Je,1.0,1.495,-2.0,5.0,0.0,3.0,-2.0,6.0,False,False,supported_directional_tendency,direction_significant,central_overlap,zero_inside_iqr,True,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,2.0,2.0,6.0,6.0,equal,field_a_before_field_b,False,Zero lies inside the central 50% bootstrap interval; the two fields are not separable under current whole-field progress timing.,accept_as_indistinguishable_under_current_whole_field_progress
W002,45,V,Jw,-1.0,-1.21,-6.0,4.0,-3.0,1.0,-6.0,4.0,False,False,supported_directional_tendency,direction_significant,central_overlap,zero_inside_iqr;larger_spread_field=Jw,True,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,2.0,3.0,6.0,9.0,Jw,field_b_before_field_a,False,Zero lies inside the central 50% bootstrap interval; the two fields are not separable under current whole-field progress timing.,accept_as_indistinguishable_under_current_whole_field_progress
W002,45,H,Je,7.0,5.951,-5.0,10.0,5.0,8.0,-6.0,11.0,False,False,supported_directional_tendency,direction_significant,tail_uncertainty,zero_inside_90ci_tail;directional_signal_but_tail_uncertain;method_resolution_limit_risk;larger_spread_field=H,False,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,3.0,2.0,14.0,6.0,H,field_a_before_field_b,False,"The central distribution has a direction, but the 90% bootstrap tail crosses zero; this is a candidate tendency, not accepted evidence.",retain_as_candidate_tendency_and_consider_region_level_progress
W002,45,H,Jw,4.0,3.246,-7.0,9.0,2.0,6.0,-9.0,10.0,False,False,supported_directional_tendency,direction_significant,tail_uncertainty,zero_inside_90ci_tail;directional_signal_but_tail_uncertain;method_resolution_limit_risk,False,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,3.0,3.0,14.0,9.0,equal,field_a_before_field_b,False,"The central distribution has a direction, but the 90% bootstrap tail crosses zero; this is a candidate tendency, not accepted evidence.",retain_as_candidate_tendency_and_consider_region_level_progress
W002,45,Je,Jw,-3.0,-2.705,-7.0,2.0,-5.0,-1.0,-8.0,3.0,False,False,supported_directional_tendency,direction_significant,tail_uncertainty,zero_inside_90ci_tail;directional_signal_but_tail_uncertain;method_resolution_limit_risk;larger_spread_field=Jw,False,True,True,monotonic_clear_progress,monotonic_clear_progress,clear_separation,clear_separation,2.0,3.0,6.0,9.0,Jw,field_b_before_field_a,False,"The central distribution has a direction, but the 90% bootstrap tail crosses zero; this is a candidate tendency, not accepted evidence.",retain_as_candidate_tendency_and_consider_region_level_progress
