object,candidate_id,candidate_day,candidate_date,object_derived_window_id,object_window_start_day,object_window_end_day,is_object_window_main_peak,nearest_joint_candidate_day,distance_to_nearest_joint_candidate,nearest_joint_lineage_status,nearest_joint_derived_window_id,nearest_strict_accepted_window_id,nearest_strict_anchor_day,distance_to_nearest_strict_anchor,within_strict_accepted_window_band,was_selected_as_v10_window_conditioned_main_peak,v10_window_id_if_selected,candidate_relation_to_joint_lineage
P,CP001,18,04-19,W001,16,20,True,18,0,derived_non_strict_candidate_window,W001,W045,45,27,False,False,,near_joint_non_strict_candidate
P,CP002,34,05-05,W002,32,36,True,45,11,strict_accepted_main_window,W002,W045,45,11,False,False,,distant_from_joint_candidate
P,CP003,45,05-16,W003,38,48,True,45,0,strict_accepted_main_window,W002,W045,45,0,True,True,W045,near_joint_strict_accepted
P,CP004,65,06-05,W004,63,67,True,81,16,strict_accepted_main_window,W003,W081,81,16,False,False,,distant_from_joint_candidate
P,CP005,82,06-22,W005,74,91,True,81,1,strict_accepted_main_window,W003,W081,81,1,True,True,W081,near_joint_strict_accepted
P,CP006,95,07-05,W006,93,97,True,96,1,derived_non_strict_candidate_window,W004,W081,81,14,False,False,,near_joint_non_strict_candidate
P,CP007,113,07-23,W007,110,116,True,113,0,strict_accepted_main_window,W005,W113,113,0,True,True,W113,near_joint_strict_accepted
P,CP008,126,08-05,W008,124,128,True,132,6,derived_non_strict_candidate_window,W006,W113,113,13,False,False,,within_10d_of_joint_candidate
P,CP009,138,08-17,W009,136,140,True,135,3,derived_non_strict_candidate_window,W006,W160,160,22,False,False,,near_joint_non_strict_candidate
P,CP010,158,09-06,W010,153,161,True,160,2,strict_accepted_main_window,W007,W160,160,2,True,True,W160,near_joint_strict_accepted
V,CP001,16,04-17,W001,14,18,True,18,2,derived_non_strict_candidate_window,W001,W045,45,29,False,False,,near_joint_non_strict_candidate
V,CP002,30,05-01,W002,28,32,True,18,12,derived_non_strict_candidate_window,W001,W045,45,15,False,False,,distant_from_joint_candidate
V,CP003,45,05-16,W003,40,49,True,45,0,strict_accepted_main_window,W002,W045,45,0,True,True,W045,near_joint_strict_accepted
V,CP004,69,06-09,W004,67,86,False,81,12,strict_accepted_main_window,W003,W081,81,12,False,False,,distant_from_joint_candidate
V,CP005,80,06-20,W004,67,86,True,81,1,strict_accepted_main_window,W003,W081,81,1,True,True,W081,near_joint_strict_accepted
V,CP006,95,07-05,W005,93,97,True,96,1,derived_non_strict_candidate_window,W004,W081,81,14,False,False,,near_joint_non_strict_candidate
V,CP007,114,07-24,W006,109,123,True,113,1,strict_accepted_main_window,W005,W113,113,1,True,True,W113,near_joint_strict_accepted
V,CP008,136,08-15,W007,134,139,True,135,1,derived_non_strict_candidate_window,W006,W113,113,23,False,False,,near_joint_non_strict_candidate
V,CP009,161,09-09,W008,158,164,True,160,1,strict_accepted_main_window,W007,W160,160,1,True,True,W160,near_joint_strict_accepted
H,CP001,19,04-20,W001,17,21,True,18,1,derived_non_strict_candidate_window,W001,W045,45,26,False,False,,near_joint_non_strict_candidate
H,CP002,35,05-06,W002,32,37,True,45,10,strict_accepted_main_window,W002,W045,45,10,False,True,W045,within_10d_of_joint_candidate
H,CP003,57,05-28,W003,55,59,True,45,12,strict_accepted_main_window,W002,W045,45,12,False,False,,distant_from_joint_candidate
H,CP004,77,06-17,W004,72,82,True,81,4,strict_accepted_main_window,W003,W081,81,4,True,True,W081,near_joint_strict_accepted
