window_id,bootstrap_id,object,selected_peak_day
W045,0,P,43.0
W045,0,V,43.0
W045,0,H,32.0
W045,0,Je,46.0
W045,0,Jw,40.0
W045,1,P,46.0
W045,1,V,49.0
W045,1,H,46.0
W045,1,Je,46.0
W045,1,Jw,51.0
W045,2,P,45.0
W045,2,V,44.0
W045,2,H,47.0
W045,2,Je,46.0
W045,2,Jw,39.0
W045,3,P,46.0
W045,3,V,45.0
W045,3,H,45.0
W045,3,Je,44.0
W045,3,Jw,39.0
W045,4,P,45.0
W045,4,V,44.0
W045,4,H,37.0
W045,4,Je,49.0
W045,4,Jw,41.0
W045,5,P,35.0
W045,5,V,40.0
W045,5,H,52.0
W045,5,Je,43.0
W045,5,Jw,48.0
W045,6,P,41.0
W045,6,V,44.0
W045,6,H,35.0
W045,6,Je,48.0
W045,6,Jw,40.0
W045,7,P,44.0
W045,7,V,43.0
W045,7,H,32.0
W045,7,Je,46.0
W045,7,Jw,40.0
W045,8,P,45.0
W045,8,V,45.0
W045,8,H,48.0
W045,8,Je,51.0
W045,8,Jw,39.0
W045,9,P,45.0
W045,9,V,46.0
W045,9,H,34.0
W045,9,Je,46.0
W045,9,Jw,39.0
W045,10,P,44.0
W045,10,V,43.0
W045,10,H,23.0
W045,10,Je,48.0
W045,10,Jw,47.0
W045,11,P,45.0
W045,11,V,45.0
W045,11,H,33.0
W045,11,Je,45.0
W045,11,Jw,44.0
W045,12,P,43.0
W045,12,V,45.0
W045,12,H,33.0
W045,12,Je,45.0
W045,12,Jw,41.0
W045,13,P,46.0
W045,13,V,45.0
W045,13,H,35.0
W045,13,Je,46.0
W045,13,Jw,43.0
W045,14,P,40.0
W045,14,V,48.0
W045,14,H,51.0
W045,14,Je,44.0
W045,14,Jw,48.0
W045,15,P,44.0
W045,15,V,45.0
W045,15,H,35.0
W045,15,Je,47.0
W045,15,Jw,41.0
W045,16,P,40.0
W045,16,V,44.0
W045,16,H,43.0
W045,16,Je,45.0
W045,16,Jw,46.0
W045,17,P,45.0
W045,17,V,45.0
W045,17,H,36.0
W045,17,Je,48.0
W045,17,Jw,39.0
W045,18,P,42.0
W045,18,V,45.0
W045,18,H,35.0
W045,18,Je,47.0
W045,18,Jw,48.0
W045,19,P,47.0
W045,19,V,49.0
W045,19,H,37.0
W045,19,Je,46.0
W045,19,Jw,38.0
W045,20,P,45.0
W045,20,V,45.0
W045,20,H,35.0
W045,20,Je,49.0
W045,20,Jw,46.0
W045,21,P,41.0
W045,21,V,45.0
W045,21,H,46.0
W045,21,Je,45.0
W045,21,Jw,49.0
W045,22,P,45.0
W045,22,V,45.0
W045,22,H,35.0
W045,22,Je,45.0
W045,22,Jw,45.0
W045,23,P,42.0
W045,23,V,45.0
W045,23,H,36.0
W045,23,Je,47.0
W045,23,Jw,45.0
W045,24,P,45.0
W045,24,V,44.0
W045,24,H,39.0
W045,24,Je,47.0
W045,24,Jw,43.0
W045,25,P,46.0
W045,25,V,51.0
W045,25,H,34.0
W045,25,Je,46.0
W045,25,Jw,42.0
W045,26,P,44.0
W045,26,V,45.0
W045,26,H,35.0
W045,26,Je,47.0
W045,26,Jw,45.0
W045,27,P,41.0
W045,27,V,46.0
W045,27,H,34.0
W045,27,Je,46.0
W045,27,Jw,40.0
W045,28,P,46.0
