window_id,mode,object_A,object_B,target_metric,corr_pc_with_order_influence,spearman_pc_with_order_influence,n_years,pc_order_relationship_status
W081,1,H,Je,presence_effect_on_A_earlier,-0.07223763886629929,-0.02108036890645586,45,diagnostic_only_not_physical_type
W081,1,H,Je,presence_effect_on_B_earlier,0.08127751791990824,0.010935441370223977,45,diagnostic_only_not_physical_type
W081,1,H,Je,high_count_effect_on_A_earlier,-0.09489181749304645,0.00013175230566534913,45,diagnostic_only_not_physical_type
W081,1,H,Je,high_count_effect_on_B_earlier,0.13236686100239373,0.07444005270092226,45,diagnostic_only_not_physical_type
W081,1,H,Jw,presence_effect_on_A_earlier,-0.022662612807581473,-0.05263677989613972,45,diagnostic_only_not_physical_type
W081,1,H,Jw,presence_effect_on_B_earlier,0.07585007013153541,0.13504611330698285,45,diagnostic_only_not_physical_type
W081,1,H,Jw,high_count_effect_on_A_earlier,-0.07857780664009757,-0.08484848484848484,45,diagnostic_only_not_physical_type
W081,1,H,Jw,high_count_effect_on_B_earlier,0.12958363333542544,0.13504611330698285,45,diagnostic_only_not_physical_type
W081,1,Je,Jw,presence_effect_on_A_earlier,-0.0899084865189305,-0.15171777734769684,45,diagnostic_only_not_physical_type
W081,1,Je,Jw,presence_effect_on_B_earlier,0.12964048333539221,0.13214756258234517,45,diagnostic_only_not_physical_type
W081,1,Je,Jw,high_count_effect_on_A_earlier,-0.08583363610095121,-0.16376811594202897,45,diagnostic_only_not_physical_type
W081,1,Je,Jw,high_count_effect_on_B_earlier,0.10805591817423375,0.16587615283267454,45,diagnostic_only_not_physical_type
W081,1,P,H,presence_effect_on_A_earlier,-0.0673098374571983,0.018972332015810275,45,diagnostic_only_not_physical_type
W081,1,P,H,presence_effect_on_B_earlier,0.06325262241416675,0.041106719367588924,45,diagnostic_only_not_physical_type
W081,1,P,H,high_count_effect_on_A_earlier,-0.0005697747000349096,0.06758893280632411,45,diagnostic_only_not_physical_type
W081,1,P,H,high_count_effect_on_B_earlier,-0.005010474638147972,-0.0005270092226613965,45,diagnostic_only_not_physical_type
W081,1,P,Je,presence_effect_on_A_earlier,-0.05375377321960772,0.027140974967061922,45,diagnostic_only_not_physical_type
W081,1,P,Je,presence_effect_on_B_earlier,0.09959848056381303,-0.025429870270615072,45,diagnostic_only_not_physical_type
W081,1,P,Je,high_count_effect_on_A_earlier,-0.06278573888791568,0.03596837944664031,45,diagnostic_only_not_physical_type
W081,1,P,Je,high_count_effect_on_B_earlier,0.10953009132676093,-0.016073781291172595,45,diagnostic_only_not_physical_type
W081,1,P,Jw,presence_effect_on_A_earlier,-0.22603899308240466,-0.24664031620553356,45,diagnostic_only_not_physical_type
W081,1,P,Jw,presence_effect_on_B_earlier,0.2552383195426842,0.23577851720686366,45,diagnostic_only_not_physical_type
W081,1,P,Jw,high_count_effect_on_A_earlier,-0.23966844899633638,-0.26890645586297757,45,diagnostic_only_not_physical_type
W081,1,P,Jw,high_count_effect_on_B_earlier,0.28049454644740984,0.2546772068511199,45,diagnostic_only_not_physical_type
W081,1,P,V,presence_effect_on_A_earlier,0.050889400161407056,0.0984189723320158,45,diagnostic_only_not_physical_type
W081,1,P,V,presence_effect_on_B_earlier,-0.013830578428626691,-0.09190026026923018,45,diagnostic_only_not_physical_type
W081,1,P,V,high_count_effect_on_A_earlier,-0.005668673819566698,0.02885375494071146,45,diagnostic_only_not_physical_type
W081,1,P,V,high_count_effect_on_B_earlier,0.05863186592709848,-0.03992094861660079,45,diagnostic_only_not_physical_type
W081,1,V,H,presence_effect_on_A_earlier,-0.12525847438666354,-0.08853754940711461,45,diagnostic_only_not_physical_type
W081,1,V,H,presence_effect_on_B_earlier,0.14731832979554474,0.1139036200756265,45,diagnostic_only_not_physical_type
W081,1,V,H,high_count_effect_on_A_earlier,-0.10539743010125796,-0.09051383399209485,45,diagnostic_only_not_physical_type
W081,1,V,H,high_count_effect_on_B_earlier,0.07977986513744786,0.06073781291172595,45,diagnostic_only_not_physical_type
W081,1,V,Je,presence_effect_on_A_earlier,-0.1301488567242021,-0.04611330698287219,45,diagnostic_only_not_physical_type
W081,1,V,Je,presence_effect_on_B_earlier,0.13800623537167292,0.03596837944664031,45,diagnostic_only_not_physical_type
W081,1,V,Je,high_count_effect_on_A_earlier,-0.10635145610478881,-0.0026350461133069825,45,diagnostic_only_not_physical_type
W081,1,V,Je,high_count_effect_on_B_earlier,0.13021209036925432,0.05322793148880105,45,diagnostic_only_not_physical_type
W081,1,V,Jw,presence_effect_on_A_earlier,-0.17400898618247218,-0.19341238471673253,45,diagnostic_only_not_physical_type
W081,1,V,Jw,presence_effect_on_B_earlier,0.1393899306428204,0.15164690382081686,45,diagnostic_only_not_physical_type
W081,1,V,Jw,high_count_effect_on_A_earlier,-0.199268620585254,-0.21462450592885374,45,diagnostic_only_not_physical_type
W081,1,V,Jw,high_count_effect_on_B_earlier,0.19534422654718242,0.2108036890645586,45,diagnostic_only_not_physical_type
W081,2,H,Je,presence_effect_on_A_earlier,0.06202176790631468,-0.04571805006587615,45,diagnostic_only_not_physical_type
W081,2,H,Je,presence_effect_on_B_earlier,0.0015918757014828724,0.052832674571805,45,diagnostic_only_not_physical_type
