scope,object,config_id,window_id,candidate_id,point_day,is_main_peak,bootstrap_match_fraction_5d,sensitivity_group,changed_factor,changed_value,input_source,smoothed_fields_path,bootstrap_status
Je_only,Je,SMOOTH5_CLOSE_NEIGHBOR_5,W001,CP001,18,True,,smooth5_window_merge,close_neighbor_exemption_days,5,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,not_run_by_mode
Je_only,Je,SMOOTH5_CLOSE_NEIGHBOR_5,W002,CP002,26,True,,smooth5_window_merge,close_neighbor_exemption_days,5,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,not_run_by_mode
Je_only,Je,SMOOTH5_CLOSE_NEIGHBOR_5,W003,CP003,34,True,,smooth5_window_merge,close_neighbor_exemption_days,5,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,not_run_by_mode
Je_only,Je,SMOOTH5_CLOSE_NEIGHBOR_5,W004,CP004,46,True,,smooth5_window_merge,close_neighbor_exemption_days,5,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,not_run_by_mode
Je_only,Je,SMOOTH5_CLOSE_NEIGHBOR_5,W005,CP005,78,True,,smooth5_window_merge,close_neighbor_exemption_days,5,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,not_run_by_mode
Je_only,Je,SMOOTH5_CLOSE_NEIGHBOR_5,W006,CP006,84,True,,smooth5_window_merge,close_neighbor_exemption_days,5,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,not_run_by_mode
Je_only,Je,SMOOTH5_CLOSE_NEIGHBOR_5,W007,CP007,91,True,,smooth5_window_merge,close_neighbor_exemption_days,5,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,not_run_by_mode
Je_only,Je,SMOOTH5_CLOSE_NEIGHBOR_5,W008,CP008,98,True,,smooth5_window_merge,close_neighbor_exemption_days,5,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,not_run_by_mode
Je_only,Je,SMOOTH5_CLOSE_NEIGHBOR_5,W009,CP009,111,True,,smooth5_window_merge,close_neighbor_exemption_days,5,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,not_run_by_mode
Je_only,Je,SMOOTH5_CLOSE_NEIGHBOR_5,W010,CP010,135,True,,smooth5_window_merge,close_neighbor_exemption_days,5,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,not_run_by_mode
Je_only,Je,SMOOTH5_CLOSE_NEIGHBOR_5,W011,CP011,162,True,,smooth5_window_merge,close_neighbor_exemption_days,5,smooth5,D:\easm_project01\foundation\V1\outputs\baseline_smooth5_a\preprocess\smoothed_fields.npz,not_run_by_mode
